   PID                           Task                                  Package   Read Calls   Read Bytes   Max Read Bytes  Write Calls  Write Bytes  Max Write Bytes
==========================================================================================================================================================================
 21632                   do_recipe_qa                     quilt-native-0.68-r0           50       496900           299421          102       127036             8188
 21633                   do_recipe_qa        gnu-config-native-20240101+git-r0           38       766900           299421           99       123284             8157
 21634                   do_recipe_qa              texinfo-dummy-native-1.0-r0           36       466106           299421           95       121364             8187
 21635                   do_recipe_qa         gettext-minimal-native-0.22.5-r0           36       466798           299421           96       122903             8122
 21636                   do_recipe_qa                      m4-native-1.4.19-r0           52       498086           299421          105       127860             8176
 21637                   do_recipe_qa                 autoconf-native-2.72e-r0           46       788718           299421          106       129160             8091
 21638                   do_recipe_qa                automake-native-1.16.5-r0           48       787614           299421          107       128807             8146
 21639                   do_recipe_qa                  libtool-native-2.5.0-r0           46       487480           299421          102       127189             8087
 21831                       do_fetch              texinfo-dummy-native-1.0-r0           23       398135           299421           41        22131             2252
 21841                       do_fetch         gettext-minimal-native-0.22.5-r0        17794       439966           299421          179        69272            16021
 21855                       do_fetch                      m4-native-1.4.19-r0         2004       434810           299421          149        74783            16021
 21880                       do_fetch                     quilt-native-0.68-r0          445       430352           299421          105        69746            16021
 21884                       do_fetch                  libtool-native-2.5.0-r0         1312       422369           299421          151        92203            16021
 21896                       do_fetch        gnu-config-native-20240101+git-r0          283       713346           299421          381        93927            16021
 21898                       do_fetch                automake-native-1.16.5-r0         1554       722646           299421          156        87961            16021
 21905                       do_fetch                 autoconf-native-2.72e-r0         1442       723154           299421          150        87210            16021
 21921                      do_unpack              texinfo-dummy-native-1.0-r0           28       401000           299421           63        37042             3531
 21945      do_prepare_recipe_sysroot              texinfo-dummy-native-1.0-r0           26       401007           299421           44        69191            16021
 21954                   do_recipe_qa                       xz-native-5.4.6-r0           53       811994           299421          107       128544             8175
 21987                       do_fetch                       xz-native-5.4.6-r0         1951       748771           299421          149        71300            16021
 21998                      do_unpack                     quilt-native-0.68-r0           45       431361           299421           76        45893             4076
 22019                       do_patch                     quilt-native-0.68-r0           57       490897           299421           86        94092            16021
 22042    do_deploy_source_date_epoch                     quilt-native-0.68-r0           61       498468           299421          107       154641             8188
 22078      do_prepare_recipe_sysroot                     quilt-native-0.68-r0           40       431361           299421           51        73163            16021
 22087                   do_configure                     quilt-native-0.68-r0          182       437167           299421          227       214796            16021
 22229                      do_unpack                       xz-native-5.4.6-r0           46       745342           299421           69        40261             4003
 22382                   do_recipe_qa                     attr-native-2.5.2-r0           55       812146           299421          110       130661             8188
 22525                       do_fetch                     attr-native-2.5.2-r0          444       744198           299421          107        70711            16021
 22560                     do_compile                     quilt-native-0.68-r0           87       432815           299421          100       101711             8124
 22646                      do_unpack                      m4-native-1.4.19-r0           47       432758           299421           77        46917             4069
 22913                   do_recipe_qa           pkgconfig-native-0.29.2+git-r0           49       788236           299421          109       141527             8163
 22924                     do_install                     quilt-native-0.68-r0           73       437162           299421           86       121102             8124
 22979                       do_fetch           pkgconfig-native-0.29.2+git-r0          330       738864           299421          439       110508            16021
 23004            do_populate_sysroot                     quilt-native-0.68-r0          350       868488           299421          171       248292             8188
 23055                   do_recipe_qa                     flex-native-2.6.4-r0           54       799929           299421          110       130647             8188
 23168                       do_fetch                     flex-native-2.6.4-r0          982       733851           299421          141        85738            16021
 23200                       do_patch              texinfo-dummy-native-1.0-r0           34       464714           299421           69        88967            16021
 23218                       do_patch                      m4-native-1.4.19-r0           75       501962           299421           89        96462            16021
 23408    do_deploy_source_date_epoch              texinfo-dummy-native-1.0-r0           47       468782           299421          100       146911             8187
 23427    do_deploy_source_date_epoch                      m4-native-1.4.19-r0           63       500512           299421          108       155162             8176
 23456                      do_unpack                 autoconf-native-2.72e-r0           45       722286           299421          102        62276             4021
 23462                   do_configure              texinfo-dummy-native-1.0-r0           31       401009           299421           61       115969            16021
 23511                     do_compile              texinfo-dummy-native-1.0-r0           30       401035           299421           38        61151             8187
 23520                      do_unpack                automake-native-1.16.5-r0           47       721408           299421          103        63831             4022
 23529                      do_unpack                  libtool-native-2.5.0-r0           47       421734           299421          110        70390             4081
 23561                       do_patch                 autoconf-native-2.72e-r0           97       799935           299421          118       111151            16021
 23564                     do_install              texinfo-dummy-native-1.0-r0           36       401012           299421           40        64416             8187
 23647                       do_patch                  libtool-native-2.5.0-r0          111       499525           299421          128       119070            16021
 23674            do_populate_sysroot              texinfo-dummy-native-1.0-r0          127       612243           299421          158       228244             8187
 23827                       do_patch                automake-native-1.16.5-r0           99       799075           299421          119       112778            16021
 24013                       do_patch                       xz-native-5.4.6-r0           51       809045           299421           76        89600            16021
 24205                      do_unpack                     attr-native-2.5.2-r0           49       745285           299421           76        44877             4009
 24362    do_deploy_source_date_epoch                       xz-native-5.4.6-r0           64       813095           299421          112       156339             8175
 24607                       do_patch                     attr-native-2.5.2-r0           64       810313           299421           84        94215            16021
 24824    do_deploy_source_date_epoch                 autoconf-native-2.72e-r0           57       790265           299421          109       155486             8091
 24872                   do_recipe_qa                    patch-native-2.7.6-r0           49       802012           299421          107       129099             7983
 25124                      do_unpack                     flex-native-2.6.4-r0           52       732625           299421          100        61043             4077
 25285                       do_fetch                    patch-native-2.7.6-r0          924       733976           299421          145        95453            16021
 25301                   do_recipe_qa                      gmp-native-6.3.0-r0           50       790681           299421          108       129543             8176
 25357    do_deploy_source_date_epoch                automake-native-1.16.5-r0           59       789594           299421          110       156499             8146
 25366    do_deploy_source_date_epoch                  libtool-native-2.5.0-r0           57       489918           299421          105       154204             8087
 25416                       do_patch                     flex-native-2.6.4-r0           91       803133           299421          112       108940            16021
 25442                       do_fetch                      gmp-native-6.3.0-r0         1791       725045           299421          723       354966            16021
 25488                   do_recipe_qa                    bison-native-3.8.2-r0           48       790699           299421          105       127704             7983
 25499                   do_recipe_qa                     zlib-native-1.3.1-r0           42       777811           299421          103       124836             8190
 25676                       do_fetch                    bison-native-3.8.2-r0         1989       724675           299421          144        71570            16021
 25687                       do_fetch                     zlib-native-1.3.1-r0         1163       710021           299421          121        70391            16021
 25874    do_deploy_source_date_epoch                     attr-native-2.5.2-r0           66       813890           299421          113       157282             8188
 25910                   do_recipe_qa               sqlite3-native-3_3.45.3-r0           48       789787           299421          107       128730             8159
 25944                       do_fetch               sqlite3-native-3_3.45.3-r0         2185       724003           299421          145        67490            16021
 25955                      do_unpack                    patch-native-2.7.6-r0           51       734498           299421          121        74519             3584
 25990                       do_patch                    patch-native-2.7.6-r0          121       822163           299421          140       122873            16021
 26468                   do_recipe_qa               pseudo-native-1.9.0+git-r0           45       785367           299421          106       126561             8157
 26625                       do_fetch               pseudo-native-1.9.0+git-r0          372       722276           299421          390       110039            16021
 26635                   do_recipe_qa            binutils-cross-x86_64-2.42-r0           59       510664           299421          103       132178             7200
 26673                       do_fetch            binutils-cross-x86_64-2.42-r0        48329       548722           299421          346       142464            16021
 26685    do_deploy_source_date_epoch                     flex-native-2.6.4-r0           65       801910           299421          113       157338             8188
 26723                      do_unpack                     zlib-native-1.3.1-r0           36       709663           299421           69        40357             4009
 26746                       do_patch                     zlib-native-1.3.1-r0           51       776393           299421           77        89713            16021
 26832                   do_recipe_qa    autoconf-archive-native-2023.02.20-r0           48       791879           299421          107       130600             8190
 26867                       do_fetch    autoconf-archive-native-2023.02.20-r0          516       721607           299421           95        63716            16021
 26878                   do_recipe_qa                     mpfr-native-4.2.1-r0           46       789745           299421          104       126803             8188
 26911                       do_fetch                     mpfr-native-4.2.1-r0         1093       720366           299421          110        62144            16021
 26922    do_deploy_source_date_epoch                    patch-native-2.7.6-r0           60       804251           299421          110       155461             7983
