Package, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
libassuan-native, 739453, 4.10, 18, 0, 374, 55, 39288869, 1276824, 19930, 2855, 4096, 884736, 94208, 0.180805, 0.004203999999999999, 70524, 8884, 0, 0, 280, 119, 73, 3.745201, 0.555059, 67828, 385958, 12, 8, 1448, 4451, 4442
kmod-native, 960486, 6.74, 19, 1, 447, 54, 49727732, 2360162, 18549, 3841, 512000, 1617920, 110592, 0.192379, 0.013116, 70000, 8371, 0, 8, 328, 108, 60, 4.476764, 0.546833, 67308, 304460, 8, 992, 2832, 2839, 2960
libcap-native, 161212, 1.65, 13, 2, 160, 26, 19201335, 1010444, 12111, 1639, 192512, 765952, 28672, 0.13289199999999998, 0.024916999999999998, 64232, 8474, 0, 0, 152, 62, 83, 1.604028, 0.264235, 61524, 130285, 11, 376, 1344, 1571, 1764
libcap-ng-native, 165514, 0.77, 16, 2, 122, 23, 14995679, 562563, 10485, 1491, 0, 393216, 12288, 0.16194999999999998, 0.025571, 64020, 8317, 0, 0, 168, 48, 31, 1.226616, 0.233843, 61324, 187034, 4, 0, 600, 2231, 1080
qemu-helper-native, 3997842, 0.51, 4, 0, 2, 1, 1442407, 39861, 482, 133, 4096, 45056, 0, 0.048943, 0.008157, 70372, 7975, 0, 0, 40, 3, 1, 0.020827, 0.015477, 67652, 5466, 0, 8, 48, 19, 2
libyaml-native, 729056, 6.43, 19, 0, 803, 68, 39513557, 2877324, 25593, 3802, 0, 1622016, 36864, 0.191461, 0.004452, 70208, 8859, 0, 0, 256, 124, 52, 8.032829, 0.6891689999999999, 67508, 509772, 20, 0, 2912, 5848, 6693
freetype-native, 422052, 2.48, 10, 1, 1209, 76, 78215296, 6227858, 22141, 4077, 0, 2748416, 176128, 0.10056799999999999, 0.011174, 66472, 8617, 0, 0, 648, 100, 3, 12.094159, 0.760289, 81272, 553807, 6, 0, 4720, 5055, 4721
tzcode-native, 685107, 1.16, 7, 1, 174, 10, 11323692, 3237749, 3686, 1217, 0, 2924544, 4096, 0.070834, 0.012499999999999999, 68416, 7949, 0, 0, 64, 25, 47, 1.7462309999999999, 0.10887999999999999, 65724, 48651, 1, 0, 5648, 237, 385
icon-naming-utils-native, 854198, 0.18, 14, 2, 0, 0, 582156, 46645, 146, 137, 0, 40960, 0, 0.144202, 0.021206, 70904, 6831, 0, 0, 72, 4, 35, 0.007858, 0.0, 68204, 919, 0, 0, 8, 8, 4
libcomps-native, 980300, 0.69, 16, 2, 461, 50, 64830132, 11960332, 14716, 4364, 872448, 4845568, 520192, 0.164152, 0.020017999999999998, 70988, 8981, 0, 0, 376, 43, 20, 4.614547, 0.501279, 68288, 240705, 4, 1704, 9088, 2100, 4747
libxfixes-native, 1174209, 1.64, 17, 0, 72, 14, 10171430, 309806, 3984, 671, 69632, 217088, 24576, 0.174955, 0.007606, 71912, 6859, 0, 0, 152, 30, 45, 0.7286349999999999, 0.14549399999999998, 69208, 81511, 2, 136, 272, 904, 626
util-linux-libuuid-native, 290199, 0.41, 10, 1, 118, 20, 16898142, 504843, 8410, 1168, 0, 385024, 57344, 0.108222, 0.012024, 65160, 8367, 0, 0, 264, 41, 4, 1.185074, 0.20554599999999998, 62460, 163965, 2, 0, 488, 1646, 760
libxcb-native, 1027601, 7.56, 24, 2, 1874, 183, 151598564, 13074520, 62909, 10968, 454656, 18292736, 212992, 0.244504, 0.021261, 71084, 8828, 0, 0, 920, 289, 45, 18.749882, 1.830793, 74640, 1303639, 54, 888, 34808, 14643, 11542
dtc-native, 960621, 6.35, 23, 3, 2431, 302, 305818359, 14469626, 94340, 13135, 159744, 9650176, 1740800, 0.23793499999999998, 0.039654999999999996, 70392, 8724, 0, 0, 1008, 341, 100, 24.314789, 3.022358, 67688, 1288311, 55, 312, 17840, 5340, 14490
ca-certificates-native, 604727, 0.11, 7, 0, 7, 0, 2178013, 247016, 462, 359, 4096, 552960, 0, 0.07278, 0.007660999999999999, 67780, 8377, 0, 0, 64, 11, 1, 0.077268, 0.00475, 65084, 2745, 1, 8, 1016, 24, 7
python3-pygments-native, 950638, 7.01, 31, 2, 235, 24, 31526794, 18157370, 7096, 6082, 4997120, 19570688, 5033984, 0.317943, 0.02239, 71108, 8584, 0, 0, 296, 1001, 36, 2.3566409999999998, 0.24093099999999998, 68284, 24087, 0, 9760, 37928, 370, 1553
libpciaccess-native, 743090, 2.32, 16, 2, 143, 20, 13442383, 553357, 7823, 1331, 0, 385024, 45056, 0.161511, 0.020187999999999998, 70492, 8887, 0, 0, 224, 77, 85, 1.434706, 0.207704, 67792, 156751, 38, 0, 528, 1811, 1486
cmake-native, 685298, 73.31, 55, 5, 90845, 5326, 4322598200, 393590732, 756183, 240773, 17420288, 270323712, 364544, 0.555021, 0.060002, 69456, 9033, 0, 0, 5648, 2178, 232, 908.451001, 53.267792, 667912, 25752710, 282, 34024, 522328, 47988, 433122
flex-native, 83940, 1.45, 9, 1, 583, 58, 62241964, 5630666, 18309, 2669, 110592, 2863104, 12288, 0.09519799999999999, 0.019833, 63768, 8504, 0, 0, 224, 91, 3, 5.836825, 0.5854619999999999, 64892, 324366, 7, 216, 5368, 1742, 1704
unfs3-native, 816362, 0.33, 8, 0, 177, 17, 21607969, 1817304, 6366, 1001, 40960, 770048, 4096, 0.08261299999999999, 0.007866999999999999, 70760, 6832, 0, 0, 136, 34, 23, 1.7757779999999999, 0.178675, 68056, 91694, 2, 80, 1368, 405, 314
libffi-native, 150324, 0.69, 9, 1, 119, 13, 11619330, 667210, 6720, 1161, 0, 536576, 45056, 0.098892, 0.01141, 64208, 8464, 0, 0, 152, 43, 6, 1.193166, 0.139282, 61504, 136637, 1, 0, 896, 1452, 572
m4-native, 54068, 1.68, 7, 2, 688, 108, 154415962, 6395275, 39700, 4844, 53248, 4370432, 12288, 0.070169, 0.023389, 62720, 8138, 0, 0, 624, 218, 18, 6.880554, 1.08163, 75992, 692441, 107, 104, 7912, 2416, 2235
