Package, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
gstreamer1.0, 3229380, 0.23, 11, 0, 0, 0, 320816, 29995, 64, 66, 0, 24576, 0, 0.119672, 0.0041259999999999995, 58480, 6660, 0, 0, 48, 1, 51, 0.0027389999999999997, 0.0, 55736, 372, 0, 0, 0, 1, 0
libgpg-error, 1619302, 0.05, 9, 0, 0, 0, 375180, 33343, 120, 139, 0, 24576, 0, 0.099212, 0.008267, 70840, 8238, 0, 0, 48, 4, 4, 0.001251, 0.0025269999999999997, 68108, 556, 0, 0, 0, 2, 2
lua, 2229235, 0.06, 11, 1, 0, 0, 312549, 26135, 50, 58, 0, 24576, 0, 0.120043, 0.014549999999999999, 71656, 5998, 0, 0, 48, 2, 124, 0.0029579999999999997, 0.0, 68964, 370, 0, 0, 0, 1, 3
bzip2, 1566898, 0.03, 8, 0, 0, 0, 327616, 24147, 53, 57, 0, 28672, 0, 0.08030999999999999, 0.008031, 70296, 6099, 0, 0, 56, 2, 16, 0.002862, 0.0, 67600, 364, 0, 0, 0, 1, 3
libexif, 1993098, 1.51, 16, 2, 222, 34, 30995772, 2362319, 15361, 2623, 90112, 1056768, 0, 0.16291, 0.021435, 71064, 8354, 0, 8, 416, 93, 72, 2.229327, 0.340327, 68364, 214748, 3, 168, 1648, 2534, 1924
glib-networking, 3350439, 0.46, 16, 2, 0, 0, 318368, 30021, 64, 66, 16384, 28672, 0, 0.16879, 0.021639, 58052, 8609, 3, 32, 56, 4, 77, 0.002925, 0.0, 55320, 371, 0, 0, 0, 1, 0
bluez5, 3371537, 60.68, 15, 1, 2964, 172, 220854302, 36138131, 60684, 14149, 1142784, 19210240, 0, 0.159975, 0.014542999999999999, 59020, 8683, 0, 8, 824, 175, 36, 29.646758, 1.726551, 240772, 849894, 14, 2224, 36696, 9454, 11851
libgcrypt, 1875639, 0.12, 14, 2, 0, 0, 314466, 36527, 4418, 130, 0, 24576, 0, 0.148883, 0.029776, 71264, 8178, 0, 0, 48, 27, 61, 0.0, 0.002937, 68540, 364, 0, 0, 0, 1, 29
bc, 2299637, 0.07, 12, 1, 0, 0, 326512, 30469, 81, 99, 0, 24576, 0, 0.128354, 0.011325, 71592, 7986, 0, 0, 48, 16, 166, 0.0, 0.0034479999999999997, 68876, 365, 0, 0, 0, 1, 14
e2fsprogs, 2651630, 3.13, 14, 1, 1, 0, 479221, 195095, 509, 350, 16384, 172032, 0, 0.141841, 0.013297, 72556, 8619, 0, 0, 56, 55, 113, 0.016825, 0.004652, 69856, 2344, 0, 32, 280, 69, 80
coreutils, 2327241, 0.10, 15, 1, 0, 0, 336033, 25010, 56, 58, 0, 24576, 0, 0.15287499999999998, 0.010919, 71828, 8395, 0, 0, 48, 2, 62, 0.003068, 0.0, 69100, 365, 0, 0, 0, 1, 1
pango, 3767224, 0.05, 15, 0, 0, 0, 320297, 41067, 5213, 139, 0, 24576, 0, 0.153657, 0.004268, 59272, 8549, 0, 0, 48, 27, 38, 0.0, 0.0036409999999999997, 56532, 370, 0, 0, 0, 1, 27
mdadm, 2685388, 2.69, 13, 2, 72, 7, 8845298, 1562716, 3016, 962, 24576, 524288, 0, 0.131252, 0.020508, 72860, 6454, 0, 0, 96, 9, 65, 0.724483, 0.07887799999999999, 70168, 26406, 1, 48, 928, 485, 1267
curl, 2787549, 93.48, 34, 7, 8356, 954, 1280363705, 74451605, 398514, 64708, 1683456, 30728192, 4096, 0.34534, 0.074001, 73320, 9495, 0, 0, 7120, 1080, 81, 83.564258, 9.540487, 610244, 6241571, 122, 3288, 52896, 57177, 53647
json-glib, 3006043, 0.17, 9, 1, 0, 0, 322865, 38626, 102, 112, 0, 28672, 0, 0.09966499999999999, 0.011073, 61676, 6575, 0, 0, 56, 16, 66, 0.002522, 0.0, 58972, 370, 0, 0, 0, 1, 16
perl, 2657900, 0.04, 10, 2, 0, 0, 325363, 20938, 50, 54, 0, 24576, 0, 0.10743899999999999, 0.023021999999999997, 72200, 8107, 0, 0, 48, 2, 42, 0.0028859999999999997, 0.0, 69480, 355, 0, 0, 0, 1, 0
liberror-perl, 2785914, 0.15, 17, 1, 0, 0, 1335556, 34997, 3792, 128, 0, 24576, 0, 0.174488, 0.019828, 72904, 8115, 0, 0, 48, 27, 555, 0.003227, 0.0, 70168, 362, 0, 0, 0, 1, 30
expat, 1464514, 0.10, 10, 1, 0, 0, 297786, 32030, 3030, 126, 0, 24576, 0, 0.100515, 0.016082, 70244, 6041, 0, 0, 48, 27, 72, 0.0, 0.003238, 67548, 367, 0, 0, 0, 1, 27
glib-2.0, 2631557, 0.19, 17, 0, 0, 0, 330509, 42924, 1527, 142, 0, 28672, 0, 0.171076, 0.003978, 73296, 8634, 0, 0, 56, 27, 76, 0.0, 0.003379, 70600, 366, 0, 0, 0, 1, 30
elfutils, 3509626, 45.39, 20, 2, 1056, 245, 425289008, 27763982, 123247, 25561, 749568, 19275776, 0, 0.200485, 0.027337999999999998, 58660, 6646, 0, 0, 2064, 394, 82, 10.566804, 2.455901, 55916, 820936, 19, 1464, 35584, 4803, 6685
gawk, 2485964, 0.11, 17, 1, 0, 0, 329106, 36037, 5354, 130, 0, 24576, 0, 0.17459, 0.01027, 71588, 7923, 0, 0, 48, 27, 60, 0.003155, 0.0, 68892, 366, 0, 0, 0, 1, 27
