Package, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
libassuan-native, 703527, 32.31, 21, 3, 629, 101, 100059622, 16487685, 54981, 15829, 4096, 15966208, 7811072, 0.21806199999999998, 0.037029, 70636, 17798, 0, 0, 336, 224, 10, 6.293491, 1.012514, 67724, 705297, 23, 8, 30848, 9168, 8797
kmod-native, 935479, 49.56, 31, 6, 762, 124, 116737779, 18614813, 75807, 19296, 94208, 18419712, 8613888, 0.317498, 0.064357, 71612, 19460, 0, 0, 360, 362, 175, 7.625806, 1.243376, 68864, 938904, 30, 184, 35616, 11568, 10989
libcap-native, 159651, 0.12, 13, 1, 0, 0, 516752, 66060, 93, 125, 0, 69632, 0, 0.13072699999999998, 0.012255, 64132, 8830, 0, 0, 128, 8, 23, 0.003846, 0.0, 61276, 597, 0, 0, 8, 7, 11
libcap-ng-native, 99130, 6.21, 19, 2, 374, 62, 84835032, 15790224, 45161, 14103, 20480, 14790656, 7540736, 0.19397599999999998, 0.02889, 63852, 16597, 0, 0, 320, 222, 35, 3.745333, 0.6238389999999999, 61136, 597250, 20, 40, 28568, 5952, 2594
qemu-helper-native, 3997830, 0.06, 9, 0, 0, 0, 303764, 67946, 83, 111, 4096, 69632, 0, 0.095263, 0.00433, 70756, 8517, 0, 8, 128, 5, 1, 0.00079, 0.001952, 67872, 600, 0, 0, 8, 5, 1
libyaml-native, 706599, 22.07, 31, 3, 379, 58, 63989922, 10210428, 35864, 12098, 0, 9752576, 5644288, 0.31665499999999996, 0.032899, 70648, 20961, 0, 0, 320, 215, 309, 3.792194, 0.585984, 67712, 452594, 10, 0, 18728, 5156, 4804
freetype-native, 402807, 7.20, 25, 4, 287, 61, 67133773, 10074583, 42469, 13794, 0, 9166848, 4382720, 0.253328, 0.042220999999999995, 66524, 16720, 0, 0, 328, 297, 259, 2.8739879999999998, 0.6187159999999999, 63832, 523593, 9, 0, 17576, 5561, 2176
tzcode-native, 684987, 0.05, 8, 0, 0, 0, 304103, 62937, 85, 115, 0, 69632, 0, 0.08204499999999999, 0.004102, 68684, 8252, 0, 0, 128, 3, 51, 0.000731, 0.002374, 65768, 601, 0, 0, 8, 6, 1
icon-naming-utils-native, 849616, 7.38, 31, 3, 135, 17, 17021834, 1785429, 14142, 5129, 0, 1490944, 364544, 0.31212799999999996, 0.035558, 71276, 18910, 0, 0, 304, 144, 84, 1.358069, 0.17002499999999998, 68416, 117014, 3, 0, 2608, 2641, 2345
libcomps-native, 979009, 0.39, 20, 2, 17, 5, 5341056, 711855, 5127, 7609, 45056, 692224, 172032, 0.201508, 0.024180999999999998, 71260, 11567, 0, 0, 144, 20, 597, 0.17718899999999999, 0.054567, 68336, 18953, 0, 88, 1208, 323, 335
libxfixes-native, 1145105, 27.88, 29, 5, 594, 96, 99369080, 17748738, 52225, 15778, 593920, 17084416, 9244672, 0.290981, 0.051349, 72120, 18817, 0, 168, 320, 248, 100, 5.946649, 0.967166, 69424, 645042, 33, 992, 33048, 7352, 7117
util-linux-libuuid-native, 189996, 18.81, 37, 6, 1305, 259, 302066263, 47407447, 152443, 46077, 286720, 46030848, 27148288, 0.377523, 0.061551999999999996, 65276, 16523, 0, 0, 400, 670, 124, 13.050942, 2.593202, 62584, 2020867, 115, 560, 89504, 14417, 5889
libxcb-native, 999770, 43.48, 31, 6, 763, 106, 114943599, 20960471, 63555, 18798, 708608, 20148224, 10727424, 0.310473, 0.06379499999999999, 71292, 17371, 0, 8, 344, 332, 60, 7.636695, 1.068153, 68492, 813704, 19, 1376, 39008, 8351, 8039
dtc-native, 957744, 4.43, 17, 3, 155, 16, 16120869, 5676500, 5197, 2507, 4096, 5935104, 139264, 0.177345, 0.038553, 70432, 11354, 0, 0, 152, 30, 451, 1.5533730000000001, 0.164026, 67508, 58305, 1, 8, 11440, 1708, 1889
ca-certificates-native, 603769, 0.05, 11, 0, 0, 0, 521431, 66971, 87, 119, 0, 69632, 0, 0.11491699999999999, 0.007925, 68076, 8701, 0, 0, 128, 4, 16, 0.0008659999999999999, 0.002087, 65180, 606, 0, 0, 8, 5, 2
python3-pygments-native, 950338, 0.12, 14, 3, 0, 0, 507565, 78004, 7348, 158, 0, 65536, 0, 0.147338, 0.031017999999999997, 71236, 7089, 0, 0, 128, 27, 111, 0.0, 0.002822, 68312, 369, 0, 0, 0, 1, 27
libpciaccess-native, 705739, 32.04, 32, 4, 587, 107, 100265300, 16519776, 59109, 15928, 16384, 16572416, 10067968, 0.329331, 0.047666, 70704, 20890, 0, 0, 336, 257, 92, 5.871782, 1.076552, 67800, 699639, 16, 32, 32032, 8405, 8998
cmake-native, 600176, 39.06, 21, 3, 33400, 2300, 1737769244, 132551461, 453800, 88305, 14532608, 111316992, 59342848, 0.213418, 0.033116, 67920, 11263, 0, 0, 1224, 880, 50, 334.00211, 23.009761, 656184, 12920636, 45, 28384, 216192, 43039, 132547
flex-native, 69845, 5.43, 14, 4, 395, 64, 135995032, 24572120, 68408, 20323, 139264, 23265280, 12468224, 0.144806, 0.04305, 64008, 16464, 0, 0, 336, 295, 65, 3.959895, 0.6482829999999999, 61092, 868746, 5, 272, 45104, 7727, 934
unfs3-native, 801738, 4.89, 18, 2, 232, 48, 39551022, 3367685, 23495, 8352, 81920, 3428352, 1859584, 0.183165, 0.027873, 71128, 18561, 0, 0, 296, 129, 14, 2.327604, 0.482446, 68212, 341982, 7, 160, 6400, 2706, 1825
libffi-native, 89175, 6.84, 20, 4, 409, 72, 114465547, 20585596, 59354, 17587, 782336, 19628032, 10629120, 0.20159, 0.040318, 63792, 16575, 0, 0, 320, 272, 201, 4.094208, 0.726551, 61100, 733551, 43, 1528, 38016, 7950, 4188
m4-native, 45008, 8.94, 20, 2, 758, 239, 311768322, 13616344, 169621, 48269, 1478656, 18251776, 13668352, 0.20227699999999998, 0.020227, 62372, 15165, 0, 0, 368, 807, 26, 7.582678, 2.392234, 59424, 2739907, 15, 2888, 35280, 16062, 2321
make-native, 184368, 10.84, 31, 3, 516, 114, 110824426, 12995673, 63724, 17641, 4096, 14151680, 7335936, 0.316665, 0.037862, 65080, 16184, 0, 0, 328, 338, 253, 5.160726, 1.148409, 62304, 925213, 21, 8, 27312, 5859, 3567
makedevs-native, 762934, 0.06, 13, 2, 0, 0, 514717, 76239, 139, 196, 0, 69632, 0, 0.137535, 0.023576999999999997, 70416, 9135, 0, 0, 128, 32, 30, 0.004232, 0.0, 67532, 605, 0, 0, 8, 7, 32
python3-markupsafe-native, 950312, 0.12, 17, 2, 0, 0, 517077, 67998, 62, 88, 0, 65536, 0, 0.17277099999999998, 0.021068999999999997, 71372, 7155, 0, 0, 128, 2, 36, 0.003225, 0.0, 68456, 365, 0, 0, 0, 1, 0
texinfo-dummy-native, 11496, 0.03, 5, 0, 0, 0, 304155, 62825, 84, 114, 0, 69632, 0, 0.058503, 0.0039, 58940, 7858, 0, 0, 128, 4, 2, 0.002044, 0.0, 56024, 611, 0, 0, 8, 6, 0
cargo-native, 2753966, 0.17, 18, 0, 0, 0, 583884, 89541, 227, 230, 4096, 73728, 0, 0.18753699999999998, 0.00798, 73396, 9160, 0, 8, 136, 25, 166, 0.0035489999999999996, 0.004477, 70524, 1167, 0, 0, 8, 20, 29
