Package, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
libassuan-native, 703184, 0.09, 11, 3, 1, 0, 773518, 159102, 480, 297, 0, 118784, 0, 0.118659, 0.038277, 69852, 18900, 0, 0, 192, 30, 60, 0.015415, 0.008628, 67048, 4674, 0, 0, 40, 96, 9
kmod-native, 495829, 0.09, 14, 2, 1, 0, 786171, 162720, 493, 304, 0, 122880, 0, 0.144655, 0.02284, 67324, 19149, 0, 0, 200, 28, 11, 0.015057, 0.003509, 64524, 4617, 0, 0, 40, 138, 12
libcap-native, 158158, 0.11, 16, 2, 1, 0, 732088, 149229, 464, 289, 0, 114688, 0, 0.16014399999999998, 0.023434999999999997, 64096, 18663, 0, 0, 184, 31, 5, 0.014929, 0.006299, 61296, 4615, 0, 0, 40, 122, 9
libcap-ng-native, 28180, 0.07, 10, 0, 1, 0, 743525, 158054, 497, 298, 0, 118784, 0, 0.103742, 0.008298999999999999, 61940, 18641, 0, 0, 192, 32, 5, 0.010274, 0.005412999999999999, 59140, 4707, 0, 0, 40, 130, 5
qemu-helper-native, 795990, 0.26, 13, 3, 2, 0, 535297, 153431, 458, 317, 0, 114688, 0, 0.134165, 0.033541, 69140, 16082, 0, 0, 184, 34, 69, 0.025885, 0.0060929999999999995, 66340, 4633, 0, 0, 40, 78, 63
libyaml-native, 706156, 0.50, 18, 4, 2, 0, 769092, 156078, 496, 293, 0, 118784, 0, 0.188752, 0.04016, 70468, 19039, 0, 0, 192, 49, 235, 0.029575999999999998, 0.006881, 67628, 4696, 0, 0, 40, 109, 83
freetype-native, 333381, 0.54, 21, 4, 2, 0, 758354, 175318, 2665, 406, 0, 118784, 0, 0.219943, 0.040729999999999995, 66116, 18832, 0, 0, 192, 87, 92, 0.023274, 0.008364, 63352, 4701, 0, 0, 40, 117, 101
tzcode-native, 684610, 0.12, 11, 1, 1, 1, 528515, 148601, 468, 288, 0, 114688, 0, 0.11272, 0.017341, 68724, 18144, 0, 0, 184, 31, 8, 0.012659, 0.010997999999999999, 65924, 4589, 0, 0, 40, 144, 19
icon-naming-utils-native, 695539, 0.12, 20, 3, 2, 0, 771107, 160889, 480, 298, 0, 118784, 0, 0.206761, 0.03446, 69752, 18871, 0, 0, 192, 30, 10, 0.022402, 0.006255999999999999, 66884, 4707, 0, 0, 40, 88, 27
libcomps-native, 759783, 0.20, 18, 3, 1, 1, 761988, 158502, 445, 294, 0, 118784, 0, 0.190018, 0.037177, 70912, 19357, 0, 0, 192, 20, 105, 0.015321999999999999, 0.016621999999999998, 68112, 4700, 0, 0, 40, 108, 58
libxfixes-native, 499540, 3.91, 21, 2, 2, 0, 760696, 157984, 468, 293, 8192, 122880, 0, 0.213582, 0.025629, 67628, 19148, 0, 0, 200, 29, 89, 0.022883, 0.003526, 64828, 4683, 2, 16, 40, 94, 71
util-linux-libuuid-native, 153634, 0.14, 17, 2, 1, 1, 760353, 161041, 563, 296, 0, 118784, 0, 0.173005, 0.021625, 64260, 18742, 0, 0, 192, 70, 65, 0.013873, 0.013332, 61436, 4687, 0, 0, 40, 115, 78
libxcb-native, 335714, 0.44, 19, 1, 2, 0, 757927, 162147, 550, 328, 0, 122880, 0, 0.197599, 0.018999, 66540, 18932, 0, 0, 200, 75, 297, 0.023424, 0.0062239999999999995, 63696, 4699, 0, 0, 40, 102, 89
dtc-native, 810658, 0.26, 20, 4, 2, 0, 771551, 158659, 498, 301, 0, 114688, 0, 0.205531, 0.04433, 70904, 17302, 0, 0, 184, 43, 98, 0.023882999999999998, 0.009333, 68168, 4709, 0, 0, 40, 123, 79
ca-certificates-native, 63873, 0.07, 9, 1, 1, 0, 736987, 152648, 491, 292, 0, 114688, 0, 0.091129, 0.018985, 63060, 18523, 0, 0, 184, 33, 3, 0.012078, 0.003257, 60260, 4573, 0, 0, 40, 156, 9
python3-pygments-native, 40994, 0.07, 8, 2, 1, 0, 736685, 162243, 503, 302, 0, 118784, 0, 0.089445, 0.020328, 62484, 18677, 0, 0, 192, 33, 1, 0.013415999999999999, 0.0037059999999999997, 59668, 4698, 0, 0, 40, 154, 9
libpciaccess-native, 705060, 0.54, 21, 4, 3, 0, 772861, 158961, 489, 296, 0, 118784, 0, 0.21617899999999998, 0.040788, 70480, 19092, 0, 0, 192, 43, 75, 0.033199, 0.00216, 67744, 4678, 0, 0, 40, 107, 62
cmake-native, 37726, 0.07, 7, 0, 0, 0, 512898, 147960, 474, 285, 0, 114688, 0, 0.07693, 0.008097, 61984, 18004, 0, 0, 184, 28, 5, 0.007104999999999999, 0.008772, 59184, 4624, 0, 0, 40, 149, 8
flex-native, 12721, 0.07, 11, 1, 1, 0, 745750, 158280, 492, 298, 0, 118784, 0, 0.11877199999999999, 0.011876999999999999, 60120, 18364, 0, 0, 192, 31, 13, 0.01223, 0.003588, 57320, 4695, 0, 0, 40, 154, 2
