Package, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
alsa-ucm-conf, 1356982, 0.56, 18, 2, 4, 1, 788919, 257512, 788, 298, 0, 172032, 0, 0.185914, 0.028291, 70428, 22577, 0, 0, 192, 53, 73, 0.042596999999999996, 0.01678, 67628, 6815, 0, 0, 144, 115, 112
encodings, 1350153, 0.94, 19, 2, 3, 2, 721039, 217255, 851, 310, 0, 180224, 0, 0.194876, 0.029654999999999997, 71204, 22812, 0, 0, 200, 54, 72, 0.036035, 0.021738999999999998, 68404, 6828, 2, 0, 152, 169, 116
alsa-topology-conf, 1356693, 0.70, 16, 3, 3, 2, 662931, 186962, 800, 290, 0, 135168, 0, 0.16966399999999998, 0.034624999999999996, 70428, 22544, 0, 0, 192, 72, 87, 0.036171, 0.022439999999999998, 67628, 6772, 1, 0, 72, 126, 138
netbase, 1354997, 0.57, 19, 2, 3, 2, 681526, 202794, 863, 301, 0, 176128, 0, 0.19472399999999998, 0.021165, 70432, 22479, 0, 0, 192, 71, 92, 0.034866, 0.022254, 67632, 6791, 0, 0, 152, 125, 126
pulseaudio-client-conf-sato, 1358569, 0.63, 14, 4, 3, 1, 688160, 207367, 863, 302, 0, 180224, 0, 0.143647, 0.041041999999999995, 70584, 20433, 0, 0, 200, 68, 67, 0.037503, 0.018838999999999998, 67768, 6736, 0, 0, 152, 102, 120
run-postinsts, 1365981, 0.87, 16, 1, 4, 0, 703784, 206786, 899, 303, 0, 176128, 0, 0.161824, 0.016597, 70596, 23046, 0, 0, 192, 86, 46, 0.048423, 0.009347, 67768, 6788, 0, 0, 152, 104, 167
tzdata, 1371594, 0.88, 15, 7, 4, 2, 1153937, 487016, 986, 348, 0, 364544, 0, 0.154044, 0.070723, 70532, 23288, 0, 0, 216, 44, 78, 0.040887, 0.024388999999999997, 67732, 6871, 0, 0, 496, 143, 81
xcursor-transparent-theme, 1357978, 0.82, 17, 2, 3, 2, 746977, 235603, 869, 310, 4096, 192512, 0, 0.17188799999999999, 0.024555, 70840, 20763, 0, 8, 216, 67, 60, 0.03841, 0.020042, 68040, 6832, 1, 0, 160, 99, 135
shutdown-desktop, 1357773, 0.59, 15, 4, 4, 1, 685274, 205283, 877, 302, 0, 180224, 0, 0.151252, 0.041594, 70648, 20470, 0, 0, 200, 78, 84, 0.04145, 0.014006999999999999, 67848, 6765, 2, 0, 152, 112, 113
packagegroup-core-ssh-dropbear, 1358696, 0.61, 14, 4, 3, 1, 686568, 206788, 860, 299, 0, 167936, 0, 0.142484, 0.040187, 70560, 20234, 0, 0, 208, 81, 49, 0.039166, 0.01722, 67760, 6768, 0, 0, 120, 132, 109
ca-certificates, 1353680, 0.62, 15, 5, 2, 2, 734439, 233249, 847, 306, 0, 192512, 0, 0.151761, 0.052939, 70496, 22597, 0, 0, 200, 59, 146, 0.029209, 0.026993, 67696, 6752, 1, 0, 176, 159, 142
cantarell-fonts, 1356280, 0.56, 20, 2, 3, 2, 734139, 224494, 919, 318, 4096, 188416, 0, 0.206562, 0.027281, 71388, 23161, 0, 8, 216, 87, 74, 0.039188, 0.020531, 68568, 6818, 0, 0, 152, 171, 149
packagegroup-core-x11-base, 1358500, 0.65, 16, 2, 4, 1, 689165, 206862, 847, 300, 0, 163840, 0, 0.163096, 0.027181999999999998, 70580, 20354, 0, 0, 200, 73, 61, 0.041518, 0.013939, 67780, 6794, 3, 0, 120, 143, 138
update-rc.d, 1350702, 1.28, 15, 1, 3, 2, 682626, 204105, 896, 301, 0, 176128, 0, 0.157359, 0.017983, 70444, 22598, 0, 0, 192, 84, 56, 0.035282, 0.020215999999999998, 67644, 6773, 0, 0, 152, 114, 178
