Package, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
libassuan-native, 697617, 0.05, 8, 1, 3, 0, 844568, 67200, 601, 122, 0, 86016, 4096, 0.090052, 0.019576, 68560, 10204, 0, 0, 128, 11, 5, 0.03422, 0.00709, 62760, 8749, 0, 0, 40, 130, 14
kmod-native, 415872, 0.14, 17, 2, 3, 1, 962021, 142729, 699, 151, 0, 159744, 4096, 0.172655, 0.024090999999999998, 65568, 11603, 0, 0, 128, 13, 86, 0.035903, 0.016488, 59208, 9451, 0, 0, 184, 140, 59
libcap-native, 156582, 0.11, 12, 2, 6, 0, 1226371, 141824, 1316, 183, 0, 163840, 4096, 0.12894, 0.029115, 63048, 12019, 0, 0, 128, 17, 3, 0.062552, 0.009574, 56984, 18862, 0, 0, 192, 295, 30
libcap-ng-native, 26341, 0.03, 7, 0, 0, 0, 643654, 121014, 182, 86, 0, 126976, 4096, 0.075473, 0.007944, 60436, 10054, 0, 0, 120, 6, 7, 0.00528, 0.0, 54428, 943, 0, 0, 128, 12, 1
qemu-helper-native, 795546, 0.10, 5, 2, 1, 0, 411928, 118421, 168, 79, 0, 126976, 4096, 0.051403, 0.029373, 67288, 7685, 0, 0, 120, 6, 15, 0.010426, 0.001723, 61816, 936, 0, 0, 128, 14, 10
libyaml-native, 701331, 0.02, 8, 0, 0, 0, 549726, 56617, 81, 65, 0, 61440, 4096, 0.088047, 0.008385, 68420, 9038, 0, 0, 120, 4, 53, 0.00047, 0.002742, 62760, 351, 0, 0, 0, 4, 4
freetype-native, 321098, 0.05, 10, 1, 0, 0, 645940, 121611, 182, 86, 0, 126976, 4096, 0.10638099999999999, 0.01576, 64852, 10169, 0, 0, 120, 6, 5, 0.008497, 0.0, 59012, 950, 0, 0, 128, 12, 4
tzcode-native, 670032, 0.02, 2, 1, 0, 0, 411467, 116011, 170, 76, 0, 126976, 4096, 0.028166, 0.017603, 66512, 7544, 0, 0, 120, 6, 7, 0.005693, 0.0, 61040, 927, 0, 0, 128, 13, 1
icon-naming-utils-native, 681806, 0.03, 8, 1, 0, 0, 646470, 121628, 182, 86, 0, 126976, 4096, 0.083089, 0.016617, 67816, 10099, 0, 0, 120, 6, 4, 0.005075, 0.00407, 61904, 945, 0, 0, 128, 13, 1
libcomps-native, 699118, 0.12, 16, 1, 6, 1, 1238292, 143930, 1337, 188, 0, 176128, 4096, 0.16852799999999998, 0.012962999999999999, 68560, 12437, 0, 0, 136, 17, 1, 0.06972199999999999, 0.016811, 62504, 18910, 0, 0, 208, 299, 14
libxfixes-native, 428102, 0.03, 6, 1, 0, 0, 646319, 122212, 184, 87, 0, 126976, 4096, 0.067289, 0.019791, 65552, 10392, 0, 0, 120, 6, 3, 0.005031, 0.000837, 59468, 941, 0, 0, 128, 12, 4
