Package, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
libassuan-native, 718338, 0.45, 19, 3, 4, 0, 1404085, 326961, 690, 285, 0, 163840, 0, 0.19724699999999998, 0.036982999999999995, 70788, 18596, 0, 0, 240, 62, 38, 0.044793, 0.0, 67704, 5099, 4, 0, 80, 120, 100
kmod-native, 755083, 0.21, 21, 3, 2, 1, 1268301, 284903, 663, 282, 0, 143360, 0, 0.212501, 0.037946, 71332, 18868, 0, 0, 224, 59, 315, 0.026379999999999997, 0.013859, 68248, 4996, 1, 0, 56, 87, 84
libcap-native, 732650, 0.53, 17, 2, 3, 0, 973294, 218357, 581, 262, 20480, 143360, 0, 0.17677099999999998, 0.025252999999999998, 70896, 18515, 1, 40, 224, 44, 203, 0.033835, 0.009399, 67812, 4901, 2, 0, 56, 91, 74
libcap-ng-native, 734068, 0.43, 18, 2, 3, 0, 1215797, 281546, 650, 274, 53248, 143360, 0, 0.18675799999999998, 0.022868, 70960, 18508, 2, 104, 224, 65, 328, 0.034648, 0.008374999999999999, 67876, 5050, 0, 0, 56, 86, 117
qemu-helper-native, 796001, 0.24, 11, 3, 2, 1, 656855, 192674, 557, 254, 0, 135168, 0, 0.115422, 0.033509, 69156, 15693, 0, 0, 224, 39, 91, 0.028589999999999997, 0.011203999999999999, 66140, 4926, 0, 0, 40, 82, 77
libyaml-native, 718295, 0.49, 17, 3, 3, 0, 820859, 171944, 576, 259, 0, 131072, 0, 0.180039, 0.036826, 70656, 18575, 0, 0, 224, 46, 69, 0.032348999999999996, 0.009984, 67636, 4988, 0, 0, 32, 123, 82
freetype-native, 708224, 0.47, 20, 2, 2, 1, 1049589, 239921, 622, 272, 12288, 147456, 0, 0.20521499999999998, 0.025127999999999998, 70828, 18607, 0, 8, 224, 51, 116, 0.029483, 0.012255, 67744, 5041, 1, 16, 64, 121, 79
tzcode-native, 780160, 0.45, 9, 3, 2, 1, 586262, 167404, 573, 251, 0, 131072, 0, 0.09866799999999999, 0.037949, 69276, 15667, 0, 0, 224, 48, 147, 0.024072999999999997, 0.014027999999999999, 66288, 4823, 2, 0, 32, 94, 91
icon-naming-utils-native, 722926, 0.45, 18, 4, 2, 1, 984191, 223754, 574, 266, 0, 135168, 0, 0.185411, 0.046352, 70744, 18488, 0, 0, 224, 41, 186, 0.026435999999999998, 0.018626, 67660, 5042, 0, 0, 40, 91, 96
libcomps-native, 752342, 0.21, 21, 2, 2, 1, 970494, 219821, 564, 264, 0, 135168, 0, 0.21656699999999998, 0.028058999999999997, 71224, 18899, 0, 0, 224, 34, 61, 0.021276999999999997, 0.018094, 68132, 5058, 0, 0, 40, 85, 67
