Package, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
libassuan-native, 672533, 0.06, 11, 1, 1, 0, 715098, 129889, 399, 223, 0, 110592, 0, 0.110581, 0.012286, 68892, 16339, 0, 0, 184, 24, 7, 0.011652, 0.006286, 66088, 4017, 1, 0, 32, 147, 9
kmod-native, 67775, 0.04, 8, 2, 0, 0, 730747, 131658, 412, 227, 0, 106496, 0, 0.08481699999999999, 0.020194, 63480, 16274, 0, 0, 176, 25, 3, 0.006664, 0.006494, 60680, 3976, 0, 0, 32, 126, 5
libcap-native, 24153, 0.05, 7, 1, 0, 0, 665754, 122940, 379, 215, 0, 106496, 0, 0.073113, 0.01924, 61136, 16337, 0, 0, 176, 23, 4, 0.008839999999999999, 0.004216, 58332, 3929, 0, 0, 32, 106, 4
libcap-ng-native, 25290, 0.05, 7, 1, 1, 0, 687691, 128301, 390, 221, 0, 106496, 0, 0.078822, 0.015012999999999999, 61340, 16406, 0, 0, 176, 24, 5, 0.010938, 0.002542, 58540, 4021, 0, 0, 32, 124, 7
qemu-helper-native, 794030, 0.32, 10, 2, 1, 1, 484983, 121163, 386, 210, 0, 106496, 0, 0.101005, 0.021041999999999998, 68900, 13548, 0, 0, 176, 32, 58, 0.017679999999999998, 0.011014, 66100, 3988, 1, 0, 32, 144, 55
libyaml-native, 682572, 0.08, 18, 2, 1, 0, 711348, 127155, 387, 219, 0, 106496, 0, 0.18212399999999998, 0.020694999999999998, 69248, 16210, 0, 0, 176, 24, 16, 0.015893, 0.0053219999999999995, 66444, 4015, 0, 0, 32, 131, 11
freetype-native, 44153, 0.05, 7, 2, 0, 0, 702082, 128366, 404, 221, 0, 106496, 0, 0.076428, 0.020111999999999998, 62736, 16143, 0, 0, 176, 28, 10, 0.008725, 0.004991, 59936, 4020, 0, 0, 32, 160, 2
tzcode-native, 584546, 0.20, 9, 3, 1, 0, 477246, 122178, 412, 211, 0, 106496, 0, 0.097966, 0.032654999999999997, 67512, 15740, 0, 0, 176, 43, 62, 0.016685, 0.007398, 64692, 3861, 0, 0, 32, 82, 76
icon-naming-utils-native, 636611, 0.05, 9, 1, 1, 0, 714831, 130069, 406, 221, 0, 110592, 0, 0.09367099999999999, 0.015611, 68552, 16275, 0, 0, 184, 26, 9, 0.015401, 0.0008799999999999999, 65748, 4031, 0, 0, 32, 157, 10
libcomps-native, 690974, 0.34, 19, 2, 2, 0, 703831, 127116, 367, 219, 0, 106496, 0, 0.19755499999999998, 0.02881, 68964, 16320, 0, 0, 176, 15, 99, 0.021519, 0.006745999999999999, 66228, 4023, 0, 0, 32, 81, 38
libxfixes-native, 69197, 0.06, 7, 2, 1, 0, 706548, 129287, 405, 222, 0, 106496, 0, 0.077261, 0.025752999999999998, 63656, 16756, 0, 0, 176, 28, 9, 0.013179999999999999, 0.0005369999999999999, 60856, 4009, 0, 0, 32, 144, 3
util-linux-libuuid-native, 18114, 0.05, 9, 1, 0, 0, 687075, 131046, 395, 222, 0, 106496, 0, 0.090335, 0.019638, 60432, 16293, 0, 0, 176, 24, 3, 0.008891999999999999, 0.0046689999999999995, 57632, 4010, 0, 0, 32, 128, 5
