Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_prepare_recipe_sysroot, 81733, 0.02, 7, 1, 1, 0, 1837848, 1338637, 467, 376, 0, 1368064, 0, 0.079785, 0.011967, 62488, 7931, 0, 0, 136, 2, 4, 0.013026, 0.0, 56784, 615, 0, 0, 2536, 9, 3
do_collect_spdx_deps, 48921, 0.01, 6, 1, 0, 0, 575309, 46766, 42, 54, 0, 53248, 0, 0.067204, 0.011859, 62088, 6801, 0, 0, 104, 0, 2, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_install, 120170, 0.17, 12, 1, 15, 2, 2835112, 548492, 8728, 972, 4096, 552960, 12288, 0.127245, 0.011567, 63716, 13734, 0, 0, 136, 40, 123, 0.157626, 0.029075999999999998, 61016, 38480, 1, 8, 944, 614, 82
do_recipe_qa, 7889, 0.09, 16, 2, 1, 0, 689660, 128475, 381, 222, 0, 106496, 0, 0.165618, 0.028276, 59472, 15607, 0, 0, 176, 21, 59, 0.011224, 0.008395, 56672, 3994, 0, 0, 32, 83, 32
do_populate_lic, 718351, 0.56, 19, 1, 3, 0, 1228413, 281533, 641, 275, 53248, 147456, 0, 0.19683499999999998, 0.012563, 70904, 18656, 2, 104, 224, 55, 217, 0.037558, 0.00745, 67812, 5042, 0, 0, 64, 132, 79
do_compile, 114971, 0.59, 9, 2, 369, 73, 50276270, 1278610, 30320, 4342, 8192, 1208320, 221184, 0.09734999999999999, 0.021162999999999998, 63596, 8499, 0, 0, 400, 115, 6, 3.69748, 0.730711, 60904, 651300, 50, 16, 1960, 7207, 4074
do_fetch, 9072, 3.33, 10, 0, 1, 0, 1095919, 592798, 640, 914, 0, 581632, 0, 0.10945099999999999, 0.008107, 59072, 7994, 0, 0, 120, 43, 8, 0.018087, 0.0, 55404, 916, 0, 0, 1016, 331, 3
do_unpack, 10648, 0.03, 7, 1, 1, 0, 3735729, 5066271, 576, 635, 8192, 3006464, 0, 0.070233, 0.019509, 59076, 11786, 0, 0, 64, 14, 11, 0.015893, 0.005678, 55360, 3050, 0, 16, 5808, 97, 3
do_patch, 13324, 0.09, 7, 2, 6, 1, 1572058, 155527, 1936, 239, 0, 176128, 4096, 0.07526999999999999, 0.020908, 58980, 12091, 0, 0, 136, 21, 4, 0.061646, 0.019944, 53104, 28575, 0, 0, 208, 451, 12
do_deploy_source_date_epoch, 14153, 0.07, 12, 0, 1, 0, 743978, 156787, 489, 296, 0, 118784, 0, 0.121695, 0.003925, 60152, 18315, 0, 0, 192, 29, 2, 0.015153999999999999, 0.001924, 57336, 4706, 0, 0, 40, 150, 18
do_configure, 82568, 4.81, 16, 1, 342, 44, 87421654, 18364382, 43273, 14653, 4096, 16707584, 8470528, 0.16319699999999998, 0.017641999999999998, 63736, 16185, 0, 0, 320, 203, 12, 3.424751, 0.444407, 60852, 536946, 7, 8, 32312, 5366, 912
do_populate_sysroot, 121199, 0.40, 24, 5, 7, 6, 2597113, 784329, 2471, 1015, 0, 557056, 0, 0.247722, 0.053673, 64176, 34650, 0, 0, 680, 186, 93, 0.073444, 0.060889, 61956, 21284, 2, 0, 408, 272, 355
do_create_runtime_spdx, 775440, 0.19, 18, 2, 1, 1, 1002361, 355787, 419, 249, 0, 139264, 0, 0.183925, 0.02299, 71192, 16428, 0, 0, 192, 26, 42, 0.015444, 0.013578, 68464, 4234, 0, 0, 80, 77, 55
do_create_spdx, 49088, 0.07, 11, 1, 1, 0, 1241564, 507432, 661, 309, 0, 217088, 0, 0.11158799999999999, 0.012875, 64312, 20771, 0, 0, 320, 40, 26, 0.017137, 0.004018, 61412, 5214, 0, 0, 104, 140, 12
