Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_fetch, 794200, 0.02, 13, 1, 0, 0, 503682, 50298, 33, 65, 4096, 53248, 0, 0.133028, 0.012872999999999999, 68604, 5248, 0, 8, 104, 1, 25, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 792784, 0.41, 16, 3, 2, 0, 718990, 128065, 386, 220, 0, 106496, 0, 0.16294599999999998, 0.034917, 70492, 14085, 0, 0, 176, 31, 84, 0.024804999999999997, 0.005373, 67684, 4028, 0, 0, 32, 106, 39
do_populate_lic, 796936, 0.24, 17, 3, 3, 1, 1132570, 259818, 595, 272, 0, 147456, 0, 0.17582199999999998, 0.039959, 70852, 16449, 0, 0, 224, 34, 124, 0.030108, 0.011269999999999999, 67764, 5028, 0, 0, 64, 90, 38
do_install, 842856, 5.77, 19, 1, 47, 11, 9901859, 2703027, 13606, 1827, 0, 2838528, 4096, 0.19807899999999998, 0.019046, 70768, 11962, 0, 0, 264, 222, 125, 0.47273499999999996, 0.11330399999999999, 68060, 78441, 7, 0, 5280, 1134, 729
do_compile, 820975, 10.76, 13, 1, 2142, 225, 209222672, 14238308, 74432, 11979, 0, 9650176, 495616, 0.132325, 0.013687999999999999, 70792, 7009, 0, 0, 600, 335, 34, 21.426722, 2.252847, 68040, 1537617, 116, 0, 18248, 15145, 13152
do_patch, 795996, 0.18, 14, 1, 5, 0, 927891, 131475, 718, 139, 0, 155648, 4096, 0.146198, 0.016708, 68612, 9562, 0, 0, 128, 12, 38, 0.050052, 0.008584999999999999, 62580, 9397, 0, 0, 176, 149, 75
do_prepare_recipe_sysroot, 794613, 0.11, 11, 1, 2, 0, 1828136, 1340052, 467, 376, 0, 1376256, 0, 0.116228, 0.011621999999999999, 68880, 6230, 0, 0, 136, 2, 351, 0.021754, 0.0, 63428, 628, 0, 0, 2552, 8, 8
do_deploy_source_date_epoch, 796929, 0.23, 18, 4, 1, 2, 772036, 162390, 468, 327, 0, 118784, 0, 0.18724, 0.045769, 70516, 17009, 0, 0, 192, 33, 82, 0.012374, 0.020205, 67780, 4663, 0, 0, 40, 93, 42
do_configure, 798112, 8.06, 22, 3, 507, 74, 119134360, 19947659, 63843, 18950, 0, 18558976, 11685888, 0.22566999999999998, 0.036927, 71140, 18608, 0, 0, 328, 245, 24, 5.07746, 0.743031, 68244, 776953, 16, 0, 35920, 7498, 1774
do_populate_sysroot, 845791, 2.12, 33, 5, 22, 4, 13009552, 5870894, 3895, 1244, 0, 3743744, 0, 0.335117, 0.057921, 70936, 33954, 0, 0, 3528, 258, 147, 0.222718, 0.046673, 68996, 20652, 4, 0, 3784, 298, 357
do_unpack, 794605, 0.50, 10, 2, 28, 4, 8747460, 13849640, 2493, 2874, 0, 7770112, 0, 0.103492, 0.024148, 68964, 8807, 0, 0, 56, 8, 180, 0.282778, 0.041781, 65056, 2274, 0, 0, 15120, 1737, 1752
