Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 1477005, 0.08, 9, 1, 0, 0, 328575, 40074, 22, 40, 0, 53248, 0, 0.09727, 0.011672, 68976, 4881, 0, 0, 104, 0, 39, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_packagedata, 1469386, 1.32, 18, 2, 4, 0, 710956, 222208, 870, 307, 0, 204800, 0, 0.182755, 0.029074, 71020, 23324, 0, 0, 232, 66, 74, 0.047596, 0.009370999999999999, 68204, 6892, 1, 0, 168, 155, 115
do_recipe_qa, 596416, 0.08, 7, 2, 0, 0, 488927, 118916, 385, 201, 0, 106496, 0, 0.078576, 0.024812999999999998, 67536, 16171, 0, 0, 176, 24, 34, 0.008646, 0.007976, 64736, 3983, 0, 0, 32, 133, 4
do_install, 1442288, 0.74, 16, 1, 1, 1, 434031, 87603, 644, 231, 12288, 98304, 0, 0.160993, 0.015705999999999998, 61820, 14611, 0, 0, 152, 346, 75, 0.016753999999999998, 0.010093999999999999, 59724, 3397, 0, 24, 40, 139, 69
do_prepare_recipe_sysroot, 1441141, 1.28, 10, 4, 0, 0, 807056, 166424, 207, 71, 73728, 180224, 0, 0.108738, 0.048327999999999996, 67764, 8289, 0, 144, 144, 31, 43, 0.004664, 0.0, 62444, 600, 0, 0, 208, 9, 0
do_compile, 1442186, 0.03, 9, 1, 0, 0, 287035, 21194, 41, 80, 0, 24576, 0, 0.09464299999999999, 0.015142, 69300, 8049, 0, 0, 48, 2, 33, 0.0, 0.002365, 66600, 365, 0, 0, 0, 1, 0
do_fetch, 598564, 0.00, 3, 0, 0, 0, 266624, 20030, 15, 45, 0, 20480, 0, 0.038127999999999995, 0.003812, 65464, 4375, 0, 0, 40, 0, 1, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_patch, 672262, 0.04, 5, 1, 0, 0, 939612, 641018, 305, 214, 0, 651264, 4096, 0.05651, 0.018836, 66396, 9822, 0, 0, 128, 6, 46, 0.008893999999999999, 0.001054, 60728, 955, 0, 0, 1144, 13, 0
do_configure, 1441315, 0.20, 9, 0, 0, 0, 300981, 64393, 81, 112, 12288, 69632, 0, 0.092998, 0.004428, 69624, 8522, 0, 24, 128, 10, 43, 0.0035559999999999997, 0.0, 66700, 601, 0, 0, 8, 5, 4
do_create_runtime_spdx, 3079946, 1.11, 17, 1, 4, 0, 1044271, 404769, 684, 246, 122880, 155648, 0, 0.170975, 0.013862, 62820, 18855, 0, 168, 224, 63, 72, 0.042449999999999995, 0.003671, 59220, 5356, 0, 72, 80, 134, 66
do_package_qa, 3079613, 1.64, 26, 2, 3, 1, 614694, 205307, 809, 249, 57344, 155648, 0, 0.261726, 0.027549999999999998, 56772, 17142, 3, 112, 264, 104, 347, 0.031366, 0.015545999999999999, 54456, 6476, 2, 0, 40, 114, 108
do_package, 1447963, 6.31, 73, 35, 143, 7, 3195991, 1794361, 3521, 856, 28672, 1773568, 0, 0.734136, 0.350754, 63320, 37697, 0, 0, 568, 451, 1067, 1.436366, 0.072644, 61196, 31079, 1, 56, 2896, 1931, 1044
do_package_write_rpm, 3079445, 3.28, 33, 4, 162, 14, 1339819, 437334, 1849, 530, 1724416, 311296, 0, 0.338598, 0.041743999999999996, 56820, 24030, 3, 2544, 472, 378, 304, 1.627705, 0.140116, 306536, 102468, 0, 824, 136, 1857, 742
do_populate_lic, 743362, 0.52, 13, 4, 2, 1, 660825, 192208, 562, 247, 0, 135168, 0, 0.138375, 0.040698, 69500, 18244, 0, 0, 224, 40, 94, 0.025089999999999998, 0.014535999999999999, 66412, 4987, 3, 0, 40, 84, 87
do_create_spdx, 1477357, 1.40, 23, 3, 5, 1, 1165625, 531473, 720, 295, 0, 233472, 0, 0.232424, 0.038012, 72584, 22532, 0, 0, 352, 65, 67, 0.052636999999999996, 0.018480999999999997, 69432, 6566, 0, 0, 104, 241, 113
do_unpack, 668790, 0.02, 3, 1, 0, 0, 321516, 28474, 153, 72, 0, 49152, 0, 0.035293, 0.011764, 66528, 8638, 0, 0, 72, 10, 2, 0.006232, 0.000432, 62960, 1766, 0, 0, 24, 11, 1
do_deploy_source_date_epoch, 685513, 0.33, 16, 0, 2, 1, 556967, 152588, 486, 279, 0, 110592, 0, 0.167399, 0.008369, 68884, 18653, 0, 0, 176, 45, 153, 0.020132999999999998, 0.013484999999999999, 66072, 4671, 1, 0, 40, 83, 90
