Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_recipe_qa, 620338, 0.33, 14, 2, 1, 0, 435093, 114539, 362, 201, 0, 98304, 0, 0.146032, 0.020281999999999998, 67428, 15779, 0, 0, 160, 28, 38, 0.019764, 0.009254, 64628, 3921, 0, 0, 32, 93, 51
do_fetch, 622701, 0.36, 8, 1, 0, 0, 363346, 97310, 157, 153, 0, 106496, 0, 0.082035, 0.014267, 65672, 5656, 0, 0, 120, 10, 30, 0.005712999999999999, 0.002626, 62468, 890, 0, 0, 88, 35, 2
do_collect_spdx_deps, 702045, 0.01, 6, 1, 0, 0, 325667, 39564, 22, 40, 0, 49152, 0, 0.06466999999999999, 0.011412, 66876, 6581, 0, 0, 96, 0, 3, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_populate_lic, 776525, 0.24, 13, 2, 2, 1, 541797, 160425, 518, 241, 0, 122880, 0, 0.130715, 0.021785, 69432, 15854, 0, 0, 208, 27, 70, 0.020093, 0.015946, 66340, 4890, 0, 0, 32, 100, 68
do_compile, 692225, 0.08, 12, 2, 0, 0, 280411, 39796, 3536, 221, 0, 20480, 0, 0.12304599999999999, 0.023070999999999998, 68532, 8037, 0, 0, 40, 52, 21, 0.002979, 0.0, 65840, 375, 0, 0, 0, 1, 56
do_install, 692470, 0.31, 15, 2, 1, 6, 831851, 406973, 2653, 487, 0, 1572864, 0, 0.155433, 0.029071, 59172, 13874, 0, 0, 128, 62, 292, 0.011576999999999999, 0.066915, 57088, 2371, 0, 0, 2944, 173, 1548
do_packagedata, 1356982, 0.56, 18, 2, 4, 1, 788919, 257512, 788, 298, 0, 172032, 0, 0.185914, 0.028291, 70428, 22577, 0, 0, 192, 53, 73, 0.042596999999999996, 0.01678, 67628, 6815, 0, 0, 144, 115, 112
do_unpack, 671419, 0.03, 4, 0, 1, 1, 1101955, 1119341, 182, 622, 4096, 1540096, 0, 0.046578999999999995, 0.0, 66396, 7307, 0, 0, 56, 6, 3, 0.010388999999999999, 0.017632, 63008, 1295, 0, 8, 2952, 61, 4
do_prepare_recipe_sysroot, 691612, 0.03, 7, 1, 0, 0, 268130, 65578, 20, 42, 0, 69632, 0, 0.079085, 0.015063, 66984, 6557, 0, 0, 136, 0, 31, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_create_spdx, 1360405, 0.75, 21, 4, 4, 0, 1757003, 1011120, 659, 359, 4096, 466944, 0, 0.219085, 0.049104999999999996, 72320, 21003, 0, 8, 760, 42, 90, 0.045749, 0.007528999999999999, 68704, 5818, 1, 0, 152, 210, 100
do_configure, 691968, 0.11, 13, 0, 0, 0, 294385, 71460, 133, 190, 0, 65536, 0, 0.130888, 0.007698999999999999, 68784, 8417, 0, 0, 120, 32, 70, 0.001246, 0.00377, 65916, 603, 0, 0, 8, 6, 45
do_patch, 674723, 0.03, 4, 1, 0, 0, 991977, 630397, 309, 200, 0, 647168, 4096, 0.046855, 0.012778, 66744, 8339, 0, 0, 120, 6, 3, 0.009405, 0.0010329999999999998, 61048, 937, 0, 0, 1144, 13, 4
do_create_runtime_spdx, 1366222, 0.47, 12, 2, 3, 0, 1358000, 370384, 639, 240, 0, 139264, 0, 0.122913, 0.024582, 71692, 18688, 0, 0, 192, 56, 90, 0.032806999999999996, 0.009649, 68176, 5273, 0, 0, 80, 98, 98
do_package, 1346552, 5.87, 112, 57, 451, 47, 9857140, 4396986, 30398, 1439, 1601536, 3629056, 0, 1.127928, 0.571689, 62512, 29258, 0, 144, 1032, 1362, 10997, 4.518647, 0.473945, 423016, 166955, 0, 2984, 6056, 11657, 7875
do_package_write_rpm, 1365925, 3.13, 18, 6, 221, 23, 4427694, 992376, 8551, 531, 0, 540672, 0, 0.185831, 0.065815, 61168, 19483, 0, 0, 504, 274, 686, 2.216508, 0.235416, 359352, 67628, 0, 0, 552, 7250, 2240
do_package_qa, 1366156, 1.48, 17, 11, 2, 1, 1673120, 194369, 7213, 236, 0, 151552, 0, 0.173765, 0.11729099999999999, 61248, 14014, 0, 0, 256, 1140, 4899, 0.029886, 0.016315, 59108, 6382, 0, 0, 40, 112, 82
do_deploy_source_date_epoch, 689255, 0.41, 16, 2, 2, 1, 482901, 137553, 450, 275, 0, 106496, 0, 0.166593, 0.028442, 68768, 18108, 0, 0, 168, 35, 59, 0.023894, 0.010206999999999999, 65968, 4579, 0, 0, 40, 55, 56
