Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_package_write_rpm, 3086080, 15.29, 35, 5, 1685, 92, 44909387, 8079380, 10400, 2107, 290816, 5165056, 0, 0.354075, 0.05518, 58092, 24387, 0, 488, 608, 922, 675, 16.854483, 0.924813, 1780884, 629965, 0, 80, 9480, 10129, 6922
do_configure, 2665485, 62.77, 35, 5, 683, 117, 147673224, 23824470, 68448, 21023, 1753088, 21999616, 12414976, 0.35012499999999996, 0.057666999999999996, 73372, 18357, 0, 160, 368, 375, 151, 6.83371, 1.171268, 70464, 754881, 14, 3264, 42600, 8952, 6951
do_collect_spdx_deps, 2688814, 0.10, 15, 2, 0, 0, 354555, 45341, 36, 47, 0, 49152, 0, 0.15889, 0.023252, 72836, 5549, 0, 0, 96, 0, 84, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 581871, 0.15, 15, 1, 1, 1, 515353, 125663, 386, 208, 0, 102400, 0, 0.150478, 0.016718999999999998, 67876, 16340, 0, 0, 168, 24, 82, 0.010208, 0.015224999999999999, 65076, 4002, 0, 0, 32, 110, 99
do_install, 2826270, 25.74, 22, 3, 132, 35, 16760532, 5190746, 23422, 2516, 1728512, 5046272, 86016, 0.227233, 0.034298999999999996, 67684, 14366, 0, 0, 336, 694, 315, 1.3251249999999999, 0.356255, 65568, 290421, 4, 3376, 9520, 4572, 5658
do_create_spdx, 2870571, 5.27, 38, 12, 12, 5, 2746466, 2248224, 1478, 2307, 24576, 888832, 0, 0.38086699999999996, 0.120056, 72812, 48317, 4, 48, 1576, 222, 424, 0.125923, 0.055131, 67516, 13097, 0, 0, 160, 1156, 368
do_populate_lic, 744568, 0.39, 14, 4, 2, 2, 770275, 221139, 571, 257, 0, 139264, 0, 0.147727, 0.041665999999999995, 69868, 18612, 0, 0, 224, 37, 95, 0.020953, 0.020558, 66780, 4985, 0, 0, 48, 91, 70
do_packagedata, 2866952, 1.42, 17, 2, 5, 1, 1093716, 499773, 1229, 385, 0, 438272, 0, 0.175832, 0.029928, 74072, 24061, 0, 0, 288, 77, 66, 0.053806, 0.015892, 71328, 7070, 0, 0, 568, 169, 160
do_compile, 2763233, 40.57, 14, 2, 1655, 182, 159358252, 24850522, 49930, 10787, 1855488, 7680000, 36864, 0.14682299999999998, 0.025169, 73620, 8732, 0, 0, 1008, 258, 67, 16.5577, 1.821804, 71240, 797384, 8, 3624, 13992, 8706, 10614
do_fetch, 582412, 1.42, 14, 2, 0, 1, 1978362, 1695159, 1313, 2414, 0, 1687552, 0, 0.143962, 0.02273, 66096, 8521, 0, 0, 120, 94, 81, 0.002388, 0.019492, 62728, 907, 0, 0, 3176, 770, 16
do_package_qa, 3086605, 6.00, 58, 17, 24, 21, 10064063, 491843, 6343, 449, 724992, 172032, 0, 0.588519, 0.170585, 58240, 49661, 0, 0, 280, 152, 3685, 0.24645599999999998, 0.21803, 55856, 90034, 12, 1416, 56, 348, 688
do_prepare_recipe_sysroot, 2664545, 0.43, 15, 5, 2, 1, 1923630, 1141607, 617, 328, 401408, 1196032, 0, 0.153199, 0.056901999999999994, 71216, 7616, 0, 776, 160, 39, 71, 0.021601, 0.010121999999999999, 66308, 1214, 0, 8, 2176, 18, 12
do_create_runtime_spdx, 3086729, 2.78, 34, 6, 2, 1, 2643304, 588842, 1339, 298, 303104, 303104, 0, 0.348614, 0.061779, 63436, 22718, 0, 560, 496, 84, 150, 0.029101, 0.018706, 59764, 5455, 4, 32, 96, 143, 127
do_patch, 646394, 0.11, 8, 1, 7, 1, 1898696, 670705, 1485, 312, 0, 704512, 4096, 0.086115, 0.019570999999999998, 67068, 12330, 0, 0, 144, 17, 9, 0.070223, 0.01864, 60880, 18946, 2, 0, 1232, 294, 28
do_deploy_source_date_epoch, 682661, 0.10, 13, 1, 1, 0, 588467, 163056, 474, 287, 0, 114688, 0, 0.131267, 0.015910999999999998, 68844, 18701, 0, 0, 184, 29, 10, 0.015163999999999999, 0.008154999999999999, 66044, 4665, 1, 0, 40, 120, 16
do_package, 2855114, 12.65, 124, 87, 1090, 77, 80700610, 30444350, 40033, 5611, 0, 19378176, 6934528, 1.245233, 0.874057, 70736, 92250, 0, 0, 1232, 757, 8136, 10.907157, 0.774011, 147704, 318013, 11, 0, 36616, 7633, 9886
do_unpack, 618543, 0.69, 12, 2, 30, 1, 8507076, 12779766, 2451, 2622, 8192, 7151616, 0, 0.12014599999999999, 0.028999999999999998, 65760, 12138, 0, 0, 64, 10, 104, 0.304538, 0.016236999999999998, 62160, 2766, 1, 16, 13904, 1561, 1601
