Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_populate_sysroot, 79959, 0.21, 16, 7, 7, 2, 2317190, 647103, 2530, 1040, 0, 454656, 0, 0.163897, 0.070241, 63752, 34509, 0, 0, 584, 130, 16, 0.074483, 0.024137, 61540, 21842, 0, 0, 304, 324, 40
do_populate_lic, 755495, 0.19, 19, 2, 2, 2, 1272910, 286378, 698, 283, 73728, 155648, 0, 0.19636699999999999, 0.028051999999999997, 71316, 18821, 2, 144, 240, 77, 303, 0.020867999999999998, 0.020367, 68212, 5022, 0, 0, 64, 106, 95
do_collect_spdx_deps, 48186, 0.01, 6, 1, 0, 0, 589534, 47840, 47, 56, 0, 53248, 0, 0.068688, 0.011448, 62092, 6902, 0, 0, 104, 0, 3, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_create_spdx, 48302, 0.07, 11, 1, 1, 0, 1242152, 497152, 630, 293, 0, 212992, 0, 0.111874, 0.015982, 64292, 20886, 0, 0, 312, 38, 34, 0.014239, 0.006297, 61392, 5234, 0, 0, 104, 152, 11
do_recipe_qa, 7877, 0.08, 18, 3, 1, 0, 703341, 129475, 390, 224, 0, 106496, 0, 0.18720299999999998, 0.032556999999999996, 59888, 15773, 0, 0, 176, 21, 66, 0.01034, 0.008471, 57088, 4001, 0, 0, 32, 84, 34
do_install, 79177, 0.12, 10, 2, 13, 2, 2865673, 377509, 4333, 771, 0, 348160, 20480, 0.10027599999999999, 0.020055, 63292, 13835, 0, 0, 136, 44, 7, 0.136154, 0.021681, 60600, 43259, 2, 0, 544, 621, 56
do_compile, 76239, 0.31, 8, 1, 124, 25, 17402190, 609724, 12056, 1741, 77824, 483328, 49152, 0.08552, 0.015548999999999999, 63608, 8576, 0, 0, 184, 38, 6, 1.248842, 0.25002199999999997, 60916, 236911, 13, 152, 760, 2596, 394
do_fetch, 9050, 2.04, 14, 0, 1, 0, 1057412, 532644, 493, 831, 0, 528384, 0, 0.145179, 0.0, 59132, 7983, 0, 0, 120, 33, 8, 0.014761999999999999, 0.00148, 55400, 921, 0, 0, 912, 201, 1
do_create_runtime_spdx, 791211, 0.45, 21, 0, 1, 1, 1016695, 357130, 451, 251, 0, 135168, 0, 0.212891, 0.008515, 70936, 16577, 0, 0, 184, 46, 61, 0.016446, 0.017631, 68136, 4228, 0, 0, 80, 94, 64
do_patch, 11555, 0.02, 7, 1, 0, 0, 669443, 125227, 189, 93, 0, 126976, 4096, 0.07110899999999999, 0.015802, 59396, 9920, 0, 0, 120, 6, 6, 0.004928999999999999, 0.0, 53408, 953, 0, 0, 128, 11, 0
do_prepare_recipe_sysroot, 69781, 0.02, 6, 1, 1, 0, 1850253, 1339660, 470, 378, 0, 1368064, 0, 0.069324, 0.011554, 62764, 8082, 0, 0, 136, 2, 2, 0.012634999999999999, 0.0, 56496, 610, 0, 0, 2536, 9, 2
do_unpack, 9489, 0.02, 6, 0, 1, 0, 3190298, 4217078, 417, 456, 0, 2375680, 0, 0.068516, 0.00806, 59140, 10440, 0, 0, 56, 8, 5, 0.014124999999999999, 0.0, 55168, 1512, 0, 0, 4584, 75, 1
do_configure, 69804, 4.06, 15, 2, 270, 44, 88915143, 18096514, 44128, 14674, 0, 16592896, 8482816, 0.150441, 0.022566, 63940, 16409, 0, 0, 320, 211, 12, 2.7014329999999998, 0.440281, 61092, 553154, 5, 0, 32088, 5386, 476
do_deploy_source_date_epoch, 11902, 0.06, 11, 1, 1, 0, 758374, 158675, 489, 301, 0, 118784, 0, 0.11602, 0.012001999999999999, 60576, 18385, 0, 0, 192, 29, 7, 0.014544999999999999, 0.001491, 57740, 4668, 0, 0, 40, 138, 9
