Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 1454515, 0.10, 12, 2, 0, 0, 369334, 45376, 39, 48, 77824, 53248, 0, 0.128389, 0.024849, 69492, 7062, 0, 152, 104, 19, 156, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_populate_sysroot, 1580934, 0.54, 22, 5, 6, 2, 1336368, 460911, 1320, 632, 0, 339968, 28672, 0.226371, 0.052819, 71600, 25139, 0, 0, 496, 116, 624, 0.063428, 0.0219, 69432, 10775, 1, 0, 168, 168, 359
do_compile_ptest_base, 1567996, 0.05, 10, 1, 0, 0, 327867, 35972, 2870, 130, 0, 28672, 0, 0.10285899999999999, 0.011868, 70196, 6101, 0, 0, 56, 27, 13, 0.003123, 0.0, 67472, 363, 0, 0, 0, 1, 31
do_deploy_source_date_epoch, 261464, 0.11, 14, 1, 1, 0, 569910, 161775, 475, 288, 0, 114688, 0, 0.14105499999999999, 0.019060999999999998, 64692, 18703, 0, 0, 184, 30, 19, 0.015087999999999999, 0.009134, 61892, 4682, 0, 0, 40, 100, 32
do_recipe_qa, 31573, 0.05, 8, 2, 0, 0, 490000, 124955, 393, 209, 0, 102400, 0, 0.085533, 0.020364999999999998, 61844, 15897, 0, 0, 168, 25, 5, 0.007787, 0.006049, 59024, 4003, 0, 0, 32, 129, 9
do_install, 1569094, 2.31, 20, 3, 36, 9, 3405299, 571546, 7042, 857, 184320, 561152, 20480, 0.20945999999999998, 0.031616, 63104, 14112, 0, 0, 208, 225, 302, 0.36543899999999996, 0.097324, 61024, 76491, 7, 360, 888, 1562, 1769
do_create_runtime_spdx, 3113170, 2.32, 35, 3, 3, 1, 9226260, 510618, 3508, 279, 339968, 241664, 0, 0.358139, 0.033707, 77484, 28241, 0, 656, 376, 85, 105, 0.033914, 0.014563999999999999, 64720, 5413, 1, 8, 96, 125, 76
do_packagedata, 1669527, 3.10, 19, 3, 5, 1, 930822, 391141, 1054, 354, 0, 323584, 0, 0.196905, 0.039381, 71764, 23306, 0, 0, 272, 68, 84, 0.050993, 0.016708999999999998, 68964, 6970, 0, 0, 360, 189, 175
do_compile, 1564051, 0.61, 11, 1, 175, 30, 20254756, 2063630, 10909, 2075, 143360, 950272, 131072, 0.11473699999999999, 0.013238, 70268, 6197, 0, 0, 304, 42, 36, 1.754929, 0.30819799999999997, 67576, 197034, 6, 280, 1552, 2418, 1896
do_install_ptest_base, 1578229, 0.51, 15, 1, 1, 2, 1629353, 1099957, 968, 316, 36864, 1130496, 77824, 0.155497, 0.019437, 63512, 10381, 0, 0, 64, 119, 213, 0.011576999999999999, 0.02693, 61436, 5108, 0, 72, 2144, 230, 156
do_fetch, 31622, 0.02, 5, 0, 0, 0, 308299, 48794, 34, 61, 0, 53248, 0, 0.054991, 0.004229999999999999, 60012, 6529, 0, 0, 104, 0, 2, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_prepare_recipe_sysroot, 1527422, 0.25, 12, 8, 1, 0, 1868620, 1137333, 572, 325, 45056, 1175552, 0, 0.120267, 0.080178, 69036, 9036, 0, 88, 144, 20, 137, 0.015085, 0.007013999999999999, 63868, 1215, 0, 0, 2152, 18, 41
do_patch, 256005, 0.09, 11, 3, 0, 0, 977791, 638661, 322, 214, 0, 651264, 4096, 0.11973199999999999, 0.031928, 63044, 10038, 0, 0, 128, 6, 46, 0.008721, 0.005508, 57456, 965, 0, 0, 1144, 12, 26
do_configure, 1528110, 10.76, 30, 3, 492, 73, 121915189, 20948254, 51717, 17499, 700416, 19161088, 10985472, 0.303189, 0.037378999999999996, 71040, 19835, 0, 368, 328, 242, 155, 4.920448, 0.732931, 68140, 527935, 16, 1000, 37096, 6209, 4538
do_unpack, 31711, 0.02, 4, 1, 1, 0, 2970090, 4213895, 405, 448, 0, 2375680, 0, 0.046674, 0.010771, 60004, 8124, 0, 0, 56, 8, 2, 0.01541, 0.0, 56380, 1502, 0, 0, 4584, 69, 0
do_package_qa, 3032197, 2.38, 33, 6, 8, 5, 2847587, 280405, 2668, 314, 1359872, 159744, 0, 0.33538399999999996, 0.06368, 57944, 25319, 76, 2656, 272, 453, 1481, 0.083655, 0.059865999999999996, 55568, 27269, 1, 0, 40, 188, 295
