Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_patch, 109508, 0.04, 11, 1, 0, 0, 646784, 122249, 182, 86, 0, 126976, 4096, 0.119934, 0.015991, 62752, 10130, 0, 0, 120, 6, 5, 0.0048449999999999995, 0.001098, 56796, 943, 0, 0, 128, 13, 2
do_collect_spdx_deps, 177843, 0.03, 8, 0, 0, 0, 567369, 47048, 40, 53, 0, 49152, 0, 0.086847, 0.004135, 63584, 6930, 0, 0, 96, 0, 110, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_fetch, 8971, 3.40, 14, 1, 0, 0, 1242276, 741121, 666, 1104, 0, 741376, 0, 0.141039, 0.015247, 58760, 7795, 0, 0, 112, 44, 15, 0.004966, 0.006594999999999999, 55048, 903, 0, 0, 1336, 350, 7
do_recipe_qa, 7887, 0.12, 14, 2, 1, 1, 680015, 130202, 423, 221, 0, 106496, 0, 0.140751, 0.028149999999999998, 59764, 16084, 0, 0, 176, 49, 30, 0.011321999999999999, 0.010362, 56964, 4002, 1, 0, 32, 78, 73
do_install, 143806, 0.30, 15, 1, 11, 6, 6260236, 2519033, 36121, 1516, 0, 3579904, 1159168, 0.154772, 0.017995999999999998, 63792, 14381, 0, 0, 272, 36, 68, 0.11887299999999999, 0.061170999999999996, 61100, 18916, 1, 0, 6720, 238, 122
do_compile, 142522, 0.07, 8, 1, 2, 0, 872673, 47519, 478, 165, 0, 49152, 12288, 0.085704, 0.016323999999999998, 63764, 8360, 0, 0, 72, 8, 117, 0.021838, 0.0046229999999999995, 61080, 4100, 0, 0, 24, 53, 7
do_prepare_recipe_sysroot, 69978, 0.03, 6, 0, 1, 0, 1828347, 1339659, 461, 375, 0, 1372160, 0, 0.064318, 0.008039, 62664, 8019, 0, 0, 144, 2, 2, 0.013259, 0.000895, 56756, 633, 0, 0, 2536, 9, 2
do_configure, 115464, 2.92, 23, 3, 120, 17, 20467362, 3430335, 11193, 5084, 0, 2428928, 1159168, 0.234988, 0.030817999999999998, 63936, 16690, 0, 0, 296, 90, 40, 1.209411, 0.171064, 61072, 120142, 1, 0, 4448, 1292, 991
do_populate_sysroot, 147035, 0.32, 22, 4, 7, 3, 11454091, 3440702, 5725, 1091, 0, 741376, 0, 0.22785799999999998, 0.042482, 64184, 26447, 0, 0, 688, 68, 118, 0.07292599999999999, 0.032859, 61384, 9045, 1, 0, 760, 347, 87
do_create_runtime_spdx, 787680, 0.48, 15, 3, 2, 1, 995942, 357879, 450, 248, 0, 135168, 0, 0.158833, 0.030990999999999998, 70852, 15963, 0, 0, 184, 53, 199, 0.022057999999999998, 0.011942, 68036, 4271, 0, 0, 80, 78, 76
do_populate_lic, 749948, 0.21, 17, 2, 2, 2, 1013357, 230264, 601, 269, 45056, 143360, 0, 0.17377399999999998, 0.027031, 71032, 18572, 3, 88, 224, 49, 395, 0.021453999999999997, 0.020203, 67948, 5033, 0, 0, 56, 90, 99
do_unpack, 108230, 0.08, 8, 1, 4, 1, 7618760, 11929577, 1135, 2658, 4096, 8273920, 0, 0.083728, 0.011961, 62728, 9965, 0, 0, 120, 6, 3, 0.041236999999999996, 0.013937999999999999, 58960, 2464, 0, 8, 16040, 459, 8
do_create_spdx, 178361, 0.11, 13, 1, 2, 0, 1222007, 496098, 614, 286, 0, 212992, 0, 0.135329, 0.016403, 65764, 20842, 0, 0, 312, 35, 11, 0.020905999999999998, 0.007423, 62864, 5235, 0, 0, 104, 108, 28
do_deploy_source_date_epoch, 114409, 0.10, 13, 1, 1, 0, 761121, 161001, 474, 295, 0, 118784, 0, 0.13357, 0.011784999999999999, 63844, 18764, 0, 0, 192, 28, 6, 0.018335, 0.000242, 60996, 4705, 0, 0, 40, 144, 5
