Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_configure, 55356, 0.76, 15, 1, 44, 17, 4758189, 921848, 6544, 4812, 45056, 679936, 253952, 0.150753, 0.017735, 63696, 21679, 0, 0, 304, 75, 23, 0.447586, 0.171263, 60888, 70556, 3, 88, 1024, 1174, 164
do_collect_spdx_deps, 45519, 0.02, 6, 1, 0, 0, 569131, 45416, 38, 52, 0, 53248, 0, 0.061803, 0.01236, 61980, 6846, 0, 0, 104, 0, 3, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 7873, 0.14, 17, 1, 1, 0, 685587, 131075, 391, 221, 0, 110592, 0, 0.174844, 0.011401999999999999, 59848, 15782, 0, 0, 184, 28, 219, 0.018741, 0.002309, 57048, 4014, 0, 0, 32, 89, 42
do_populate_sysroot, 56617, 0.15, 12, 2, 6, 2, 9949479, 2865113, 2748, 1095, 0, 741376, 4096, 0.129621, 0.024302999999999998, 63848, 30403, 0, 0, 400, 84, 4, 0.065186, 0.024394, 61448, 21735, 0, 0, 1048, 285, 34
do_install, 56235, 0.13, 8, 1, 12, 1, 6914839, 2398697, 5700, 576, 0, 2445312, 0, 0.088003, 0.016, 63432, 14440, 0, 0, 160, 37, 12, 0.125908, 0.018262999999999998, 60740, 30437, 4, 0, 4616, 430, 57
do_compile, 55873, 0.12, 7, 1, 48, 7, 17715464, 2201055, 9763, 1727, 778240, 1318912, 126976, 0.075988, 0.015196999999999999, 63424, 8521, 0, 0, 152, 66, 4, 0.48471, 0.076213, 60728, 85132, 32, 1520, 2424, 1331, 129
do_fetch, 9046, 4.51, 12, 1, 0, 1, 2693307, 2298506, 1839, 3276, 0, 2228224, 0, 0.12018899999999999, 0.017169, 58384, 8213, 0, 0, 192, 120, 10, 0.001789, 0.015505, 54976, 898, 0, 0, 4160, 1082, 5
do_prepare_recipe_sysroot, 55306, 0.02, 6, 1, 0, 0, 548899, 81841, 118, 60, 0, 81920, 0, 0.061744999999999994, 0.011576999999999999, 62556, 8073, 0, 0, 144, 2, 4, 0.0029679999999999997, 0.0, 56904, 587, 0, 0, 16, 9, 1
do_patch, 14534, 0.74, 10, 2, 74, 11, 20912028, 9305214, 21580, 3982, 0, 9154560, 4096, 0.103562, 0.024657, 59176, 31251, 0, 0, 216, 149, 11, 0.746169, 0.11173599999999999, 53524, 339721, 4, 0, 17664, 5435, 169
do_create_runtime_spdx, 791204, 0.43, 16, 2, 2, 0, 996879, 355661, 420, 247, 0, 135168, 0, 0.162707, 0.020338, 70964, 16091, 0, 0, 184, 38, 98, 0.02624, 0.00635, 68164, 4246, 0, 0, 80, 100, 60
do_populate_lic, 755477, 0.20, 21, 2, 2, 1, 1230258, 287847, 669, 274, 61440, 151552, 0, 0.214891, 0.025786, 71048, 18606, 3, 120, 224, 66, 102, 0.023707, 0.018283999999999998, 68012, 5063, 0, 0, 72, 98, 109
do_deploy_source_date_epoch, 17546, 0.07, 10, 1, 1, 0, 739431, 157218, 482, 297, 0, 118784, 0, 0.100862, 0.011637999999999999, 60484, 18457, 0, 0, 192, 29, 10, 0.013968, 0.002957, 57656, 4691, 0, 0, 40, 149, 4
do_create_spdx, 45813, 0.08, 10, 1, 1, 0, 1347847, 631147, 699, 495, 0, 249856, 0, 0.107099, 0.015865999999999998, 64260, 20852, 0, 0, 384, 36, 5, 0.017481, 0.002826, 61360, 5254, 0, 0, 104, 185, 8
do_unpack, 14173, 0.14, 8, 2, 7, 1, 10677835, 14934785, 2310, 1388, 0, 7901184, 0, 0.089837, 0.021389, 59060, 28900, 0, 0, 144, 76, 8, 0.07836, 0.019327, 55404, 18599, 0, 0, 15288, 333, 21
