Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 2975324, 0.47, 19, 1, 0, 0, 389075, 51175, 53, 54, 0, 49152, 0, 0.198205, 0.011011, 61792, 5824, 0, 0, 96, 0, 62, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 69341, 0.06, 8, 1, 1, 0, 532934, 131639, 420, 216, 0, 102400, 0, 0.08319499999999999, 0.014468, 63324, 16600, 0, 0, 168, 27, 86, 0.014258999999999999, 0.0, 60516, 4026, 0, 0, 32, 148, 6
do_package_qa, 3294070, 4.51, 72, 20, 16, 27, 9309023, 489843, 8309, 505, 4096, 167936, 0, 0.726626, 0.204846, 58900, 45182, 0, 8, 280, 98, 5639, 0.166064, 0.278735, 56560, 86213, 2, 0, 48, 397, 750
do_install, 3133685, 35.64, 38, 3, 179, 23, 16509741, 4116171, 27666, 2945, 2453504, 4116480, 0, 0.387721, 0.035247, 57360, 15538, 1, 560, 400, 797, 459, 1.795704, 0.231421, 55264, 285579, 18, 4232, 7640, 4410, 7851
do_unpack, 420142, 0.12, 12, 2, 5, 3, 11464303, 17355906, 1821, 1883, 0, 9682944, 0, 0.12332699999999999, 0.025516, 64280, 15706, 0, 0, 104, 38, 5, 0.057447, 0.037024, 60684, 9119, 0, 0, 18808, 303, 31
do_create_runtime_spdx, 3300465, 2.54, 47, 5, 3, 1, 2491603, 767834, 1501, 351, 8192, 438272, 0, 0.47786799999999996, 0.056888999999999995, 63408, 23205, 1, 16, 752, 64, 232, 0.032369, 0.015234, 59756, 5580, 0, 0, 104, 153, 125
do_package_write_rpm, 3293786, 23.17, 49, 7, 3408, 189, 34508459, 6231419, 13606, 3915, 352256, 3735552, 0, 0.493112, 0.079964, 58308, 26503, 0, 480, 824, 2750, 1204, 34.088258, 1.897903, 1351028, 1205269, 3, 208, 6472, 25694, 18002
do_packagedata, 3164793, 1.52, 20, 4, 6, 2, 1641193, 958696, 1752, 511, 49152, 790528, 0, 0.202419, 0.04131, 59996, 23834, 6, 96, 400, 89, 89, 0.060837999999999996, 0.020342, 57060, 7224, 2, 0, 1144, 176, 107
do_compile, 3095465, 60.91, 23, 4, 2008, 249, 211857095, 33009789, 72249, 15704, 4935680, 15286272, 2813952, 0.233869, 0.045633, 61552, 9139, 0, 16, 1928, 599, 145, 20.080396, 2.493306, 62464, 1210032, 107, 9624, 27928, 16327, 14581
do_fetch, 69533, 1.13, 7, 2, 0, 0, 2038606, 1718548, 1473, 2489, 0, 1675264, 0, 0.07503699999999999, 0.022511, 62308, 8460, 0, 0, 152, 101, 7, 0.0013599999999999999, 0.008721999999999999, 58500, 934, 0, 0, 3120, 712, 3
do_package, 3152233, 29.05, 150, 108, 744, 92, 69627850, 25265703, 51374, 5315, 12623872, 15728640, 6123520, 1.5039639999999999, 1.081883, 59836, 128191, 21, 20768, 1824, 2036, 14488, 7.441428, 0.923167, 186932, 295455, 16, 3888, 28896, 8588, 12288
do_patch, 425397, 0.51, 14, 5, 42, 8, 7322662, 1116186, 8641, 993, 0, 1138688, 4096, 0.14226, 0.056155, 64732, 19664, 0, 0, 168, 65, 7, 0.423743, 0.08240299999999999, 59052, 134872, 1, 0, 2056, 2160, 133
do_prepare_recipe_sysroot, 2966811, 4.72, 33, 21, 9, 3, 4646204, 2436090, 2793, 1204, 159744, 2596864, 40960, 0.332638, 0.21914899999999998, 62572, 15162, 1, 312, 304, 243, 134, 0.09099399999999999, 0.030944, 59596, 11796, 0, 0, 4768, 352, 354
do_configure, 2971175, 129.43, 38, 8, 1200, 182, 253472817, 41910700, 117784, 34579, 2215936, 38273024, 21803008, 0.387994, 0.08667899999999999, 62540, 20761, 0, 1800, 488, 558, 170, 12.003939, 1.821861, 59848, 1233282, 25, 2528, 74264, 15505, 13595
do_create_spdx, 3165797, 8.96, 59, 14, 24, 7, 3587200, 2556717, 2345, 2296, 3088384, 1073152, 0, 0.59966, 0.144918, 63644, 67896, 7, 6032, 1920, 379, 533, 0.24823599999999998, 0.078841, 59816, 20705, 0, 0, 176, 2767, 647
do_populate_sysroot, 3152216, 4.70, 33, 5, 13, 5, 8260913, 3827830, 2676, 909, 2715648, 3031040, 475136, 0.337872, 0.055001999999999995, 59836, 28702, 12, 2096, 3688, 280, 150, 0.13907999999999998, 0.056624, 56968, 22682, 0, 3208, 2232, 243, 214
do_deploy_source_date_epoch, 496967, 0.09, 9, 2, 1, 0, 600445, 170525, 492, 298, 0, 118784, 0, 0.09928999999999999, 0.026732, 66944, 18869, 0, 0, 192, 28, 64, 0.013637, 0.0033499999999999997, 64144, 4759, 0, 0, 40, 172, 9
do_populate_lic, 743830, 0.51, 18, 2, 3, 0, 998845, 280069, 671, 289, 8192, 159744, 0, 0.183035, 0.022321, 70136, 18770, 0, 16, 248, 53, 259, 0.034935, 0.008407, 67032, 5078, 1, 0, 64, 96, 80
