Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_package, 1346486, 3.40, 45, 41, 78, 11, 3316410, 1952328, 5141, 856, 1036288, 1888256, 0, 0.45555799999999996, 0.419593, 61808, 32994, 0, 880, 560, 784, 1554, 0.787311, 0.11283699999999999, 192400, 38759, 0, 1144, 3128, 1089, 1690
do_collect_spdx_deps, 496215, 0.01, 3, 1, 0, 0, 328750, 38920, 20, 39, 0, 53248, 0, 0.036065, 0.012020999999999999, 64808, 4726, 0, 0, 104, 0, 2, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_create_runtime_spdx, 1372285, 0.69, 12, 5, 3, 0, 902648, 402614, 580, 246, 0, 159744, 0, 0.12897, 0.052393999999999996, 71652, 20771, 0, 0, 232, 38, 74, 0.033311, 0.009767999999999999, 68140, 5390, 0, 0, 80, 119, 86
do_recipe_qa, 34301, 0.40, 12, 2, 2, 0, 440858, 119260, 363, 200, 0, 106496, 0, 0.121374, 0.029129, 61616, 15635, 0, 0, 176, 25, 308, 0.021484, 0.003823, 58816, 3997, 0, 0, 32, 81, 40
do_install, 362828, 0.61, 17, 3, 6, 2, 1008053, 148036, 2360, 828, 0, 151552, 4096, 0.179474, 0.034367, 59428, 13935, 0, 0, 184, 190, 530, 0.065979, 0.028995, 57352, 15560, 0, 0, 112, 402, 1001
do_package_qa, 1372209, 0.63, 15, 3, 1, 2, 576710, 203468, 1005, 244, 16384, 155648, 0, 0.152632, 0.033000999999999996, 61412, 13908, 0, 32, 264, 99, 527, 0.019693, 0.025011, 59208, 6440, 1, 0, 40, 71, 95
do_prepare_recipe_sysroot, 358307, 0.02, 8, 1, 0, 0, 271214, 64934, 18, 41, 0, 73728, 0, 0.082437, 0.011776, 63892, 4685, 0, 0, 144, 1, 16, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_packagedata, 1351329, 1.22, 14, 4, 4, 1, 697254, 217958, 825, 298, 0, 172032, 0, 0.147194, 0.042054999999999995, 70632, 22950, 0, 0, 208, 62, 94, 0.045537, 0.010607, 67828, 6878, 0, 0, 128, 114, 112
do_compile, 360662, 0.07, 12, 1, 0, 0, 287402, 21308, 44, 82, 0, 24576, 0, 0.127774, 0.010952, 65472, 7930, 0, 0, 48, 4, 50, 0.0, 0.002774, 62744, 368, 0, 0, 0, 1, 5
do_fetch, 34490, 0.04, 8, 1, 0, 0, 266800, 52804, 13, 84, 0, 32768, 0, 0.086271, 0.018854, 59840, 4142, 0, 0, 64, 0, 55, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_populate_sysroot, 866320, 0.89, 17, 7, 8, 2, 961876, 289880, 1620, 689, 8192, 188416, 0, 0.178456, 0.073004, 69676, 22828, 0, 0, 312, 191, 54, 0.085695, 0.024128999999999998, 67232, 13035, 1, 16, 56, 187, 287
do_configure, 359268, 0.07, 11, 1, 0, 0, 301386, 62473, 77, 111, 0, 69632, 0, 0.11434499999999999, 0.016335, 65736, 8464, 0, 0, 128, 4, 11, 0.003763, 0.0, 62840, 607, 0, 0, 8, 6, 2
do_patch, 267556, 0.05, 9, 1, 1, 0, 951903, 674062, 303, 253, 0, 667648, 4096, 0.09858, 0.019715999999999997, 63028, 7968, 0, 0, 160, 6, 6, 0.010069, 0.005222999999999999, 57244, 966, 0, 0, 1144, 13, 2
do_unpack, 35344, 0.03, 3, 1, 1, 0, 484192, 90113, 518, 138, 0, 102400, 0, 0.038710999999999995, 0.012903, 60132, 13070, 0, 0, 88, 30, 2, 0.017533999999999998, 0.0020139999999999997, 56576, 6788, 0, 0, 112, 41, 1
do_package_write_rpm, 1372131, 2.24, 22, 4, 205, 17, 1342760, 446123, 2218, 506, 0, 307200, 0, 0.22572399999999998, 0.048368999999999995, 61232, 22907, 0, 0, 456, 193, 448, 2.051766, 0.17548, 331816, 108141, 1, 0, 144, 1267, 1434
do_populate_lic, 745377, 0.35, 16, 3, 3, 0, 670456, 212239, 540, 246, 24576, 135168, 0, 0.16028699999999999, 0.032056999999999995, 69488, 18160, 1, 48, 216, 40, 249, 0.032626999999999996, 0.009818, 66396, 4987, 0, 0, 48, 88, 71
do_deploy_source_date_epoch, 275606, 0.16, 13, 2, 1, 1, 496180, 151775, 435, 269, 0, 110592, 0, 0.139951, 0.025445, 64880, 18569, 0, 0, 176, 27, 33, 0.011800999999999999, 0.01492, 62068, 4687, 1, 0, 40, 89, 50
do_create_spdx, 1353363, 0.78, 17, 3, 4, 1, 1067261, 568960, 702, 336, 24576, 253952, 0, 0.17207799999999998, 0.036874, 72076, 24491, 0, 48, 392, 78, 271, 0.04826, 0.014887, 68456, 6585, 0, 0, 104, 245, 205
