Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_configure, 1528602, 6.14, 27, 5, 160, 27, 23957509, 3067045, 19971, 6758, 794624, 2793472, 942080, 0.279113, 0.055035999999999995, 70656, 19747, 0, 1352, 288, 189, 493, 1.6070769999999999, 0.278145, 67744, 175534, 6, 200, 5168, 2331, 2073
do_prepare_recipe_sysroot, 1528135, 0.16, 14, 5, 1, 0, 1746553, 1048478, 527, 299, 28672, 1089536, 0, 0.145563, 0.053627999999999995, 68148, 8630, 0, 56, 144, 11, 96, 0.015184999999999999, 0.009089999999999999, 62968, 1201, 0, 0, 1984, 18, 6
do_collect_spdx_deps, 1454432, 0.08, 12, 1, 0, 0, 347166, 42410, 28, 43, 344064, 53248, 0, 0.125909, 0.013989, 68948, 6990, 0, 672, 104, 22, 28, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 32948, 0.05, 7, 0, 1, 0, 470363, 123268, 394, 204, 0, 102400, 0, 0.073636, 0.008180999999999999, 61668, 15822, 0, 0, 168, 26, 3, 0.011804, 0.002538, 58860, 4001, 0, 0, 32, 111, 8
do_install, 1564518, 0.44, 17, 1, 2, 1, 753411, 274375, 997, 306, 49152, 299008, 53248, 0.173145, 0.011805, 62716, 13800, 0, 0, 192, 85, 245, 0.025529999999999997, 0.015162, 60624, 5589, 0, 96, 392, 376, 65
do_packagedata, 1700504, 0.65, 16, 2, 2, 2, 761715, 245267, 879, 311, 0, 208896, 0, 0.160296, 0.020037, 71852, 21139, 0, 0, 232, 55, 51, 0.02906, 0.022432, 69044, 6921, 0, 0, 176, 135, 76
do_compile, 1561779, 0.46, 12, 0, 38, 2, 3139794, 746771, 1045, 379, 45056, 262144, 0, 0.12081, 0.004095, 70348, 6257, 0, 0, 88, 8, 14, 0.385719, 0.023821, 67648, 11804, 0, 88, 424, 120, 497
do_create_runtime_spdx, 3092413, 1.40, 16, 3, 3, 0, 1019883, 423471, 678, 254, 229376, 172032, 0, 0.16716499999999998, 0.038576, 61600, 19029, 0, 376, 248, 69, 73, 0.037898, 0.007866, 58088, 5389, 0, 72, 88, 132, 98
do_fetch, 33008, 0.80, 6, 1, 0, 0, 408334, 140916, 279, 280, 0, 135168, 0, 0.066194, 0.012411, 59836, 5845, 0, 0, 136, 23, 21, 0.004269, 0.005709, 56464, 910, 0, 0, 128, 51, 8
do_package_qa, 3092033, 1.92, 26, 4, 4, 2, 984774, 223188, 1123, 261, 462848, 159744, 0, 0.266821, 0.047515999999999996, 56488, 20590, 10, 896, 272, 143, 571, 0.042676, 0.022973, 54188, 11116, 0, 8, 40, 83, 130
do_unpack, 263209, 0.14, 11, 2, 2, 1, 1413417, 1311378, 613, 389, 0, 1101824, 0, 0.113009, 0.021731999999999998, 62816, 12152, 0, 0, 152, 20, 71, 0.026763, 0.0179, 59320, 5197, 0, 0, 2000, 47, 40
do_patch, 264848, 0.34, 10, 2, 26, 2, 2653110, 167484, 4307, 418, 0, 184320, 4096, 0.109774, 0.029273, 63204, 13264, 0, 0, 144, 37, 14, 0.26415299999999997, 0.029199, 57500, 66394, 3, 0, 216, 1051, 213
do_populate_sysroot, 1567681, 0.49, 20, 5, 4, 1, 807547, 298692, 1236, 612, 0, 245760, 8192, 0.200892, 0.052083, 70140, 26191, 0, 0, 408, 206, 238, 0.046243, 0.012818, 67344, 8674, 0, 0, 72, 161, 277
do_package_write_rpm, 3091798, 3.81, 18, 7, 333, 22, 2577350, 689082, 2608, 633, 2031616, 466944, 0, 0.18920499999999998, 0.076487, 57172, 23662, 3, 2552, 488, 546, 400, 3.332694, 0.228755, 459976, 148379, 0, 1416, 424, 1837, 1576
do_populate_lic, 745295, 0.31, 16, 3, 1, 2, 749712, 216804, 556, 250, 24576, 135168, 0, 0.16094899999999998, 0.03743, 69700, 18338, 1, 48, 216, 36, 100, 0.019473999999999998, 0.020887, 66616, 5003, 0, 0, 48, 96, 75
do_create_spdx, 1741679, 1.19, 25, 5, 4, 2, 1290859, 631562, 791, 415, 28672, 278528, 0, 0.256745, 0.058351, 73716, 27022, 0, 56, 432, 70, 83, 0.049534999999999996, 0.027073999999999997, 70088, 7109, 1, 0, 112, 404, 140
do_package, 1675527, 6.14, 119, 44, 99, 12, 5842524, 2640454, 5649, 1007, 0, 2347008, 233472, 1.194831, 0.44224199999999997, 66380, 40531, 0, 0, 608, 495, 1735, 0.9917699999999999, 0.126421, 64192, 40109, 1, 0, 3976, 1560, 992
do_deploy_source_date_epoch, 268189, 0.12, 15, 2, 1, 1, 548014, 159314, 472, 283, 0, 114688, 0, 0.155449, 0.028634999999999997, 65016, 18597, 0, 0, 184, 28, 11, 0.013125, 0.01098, 62208, 4664, 0, 0, 40, 122, 29
