Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_create_spdx, 1673853, 1.43, 26, 6, 4, 1, 2275898, 1260060, 876, 404, 4096, 593920, 0, 0.266182, 0.060974999999999994, 73512, 26676, 0, 0, 984, 69, 92, 0.048811, 0.016665, 69892, 6746, 0, 8, 176, 241, 131
do_collect_spdx_deps, 1453140, 0.21, 12, 1, 0, 0, 344170, 43129, 30, 44, 319488, 53248, 0, 0.12224199999999999, 0.015773, 69156, 7005, 0, 624, 104, 22, 62, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_compile, 1538907, 2.12, 13, 0, 34, 5, 4428981, 143988, 10247, 577, 20480, 77824, 0, 0.13302899999999998, 0.008582, 69752, 8126, 0, 0, 120, 120, 77, 0.348838, 0.057342, 67052, 73293, 1, 40, 32, 1392, 850
do_install, 1544465, 3.82, 22, 3, 131, 59, 13407415, 1539084, 57630, 2145, 2265088, 2658304, 77824, 0.220391, 0.03542, 62672, 14034, 0, 0, 416, 813, 92, 1.317679, 0.593362, 60556, 313523, 11, 4424, 4776, 10450, 3633
do_recipe_qa, 28663, 0.06, 7, 1, 0, 0, 462816, 124193, 394, 205, 0, 102400, 0, 0.07650799999999999, 0.012079999999999999, 61328, 15763, 0, 0, 168, 26, 7, 0.008246, 0.00645, 58528, 3996, 0, 0, 32, 166, 5
do_packagedata, 1597850, 0.55, 17, 4, 3, 2, 930836, 342687, 906, 322, 0, 266240, 0, 0.17077199999999998, 0.048261, 71228, 23372, 0, 0, 224, 57, 89, 0.033878, 0.025165, 68428, 6923, 0, 0, 296, 110, 83
do_fetch, 28784, 1.03, 6, 0, 0, 0, 658197, 373736, 464, 602, 0, 376832, 0, 0.067645, 0.003979, 59556, 5668, 0, 0, 120, 31, 5, 0.0040479999999999995, 0.007711, 56152, 914, 0, 0, 616, 199, 6
do_populate_lic, 748136, 0.24, 14, 2, 2, 1, 746898, 217871, 562, 251, 24576, 135168, 0, 0.145729, 0.029144999999999997, 69692, 18341, 1, 48, 216, 32, 40, 0.024457, 0.017075, 66596, 4984, 0, 0, 48, 100, 81
do_package_qa, 3107903, 4.44, 38, 16, 3, 0, 2890158, 210667, 10754, 254, 3559424, 159744, 0, 0.38800799999999996, 0.16361699999999998, 56832, 16916, 479, 6952, 272, 1595, 8007, 0.035872999999999995, 0.009182, 54512, 6456, 0, 0, 40, 100, 89
do_unpack, 174142, 0.18, 12, 0, 3, 2, 4117219, 5253509, 636, 2409, 0, 6807552, 0, 0.124431, 0.007776, 61980, 8489, 0, 0, 128, 8, 133, 0.034273, 0.029158999999999997, 58528, 2242, 0, 0, 13168, 285, 242
do_prepare_recipe_sysroot, 1527353, 0.24, 13, 6, 1, 0, 1743612, 1049440, 529, 300, 36864, 1089536, 0, 0.135432, 0.06156, 68336, 8573, 0, 72, 144, 18, 162, 0.011959, 0.006892, 63264, 1213, 0, 0, 1984, 14, 9
do_patch, 246780, 0.04, 8, 2, 0, 0, 486153, 118418, 184, 79, 0, 131072, 4096, 0.089585, 0.027264999999999998, 62620, 8630, 0, 0, 128, 7, 5, 0.0055439999999999994, 0.0025729999999999998, 56812, 937, 0, 0, 128, 12, 6
do_configure, 1528079, 5.33, 24, 3, 113, 18, 17551331, 2128566, 10692, 5222, 1331200, 1802240, 335872, 0.240585, 0.038804, 70816, 19822, 0, 552, 280, 188, 161, 1.131333, 0.185135, 67908, 124639, 6, 2048, 3240, 2022, 1527
do_populate_sysroot, 1566273, 0.25, 19, 2, 2, 3, 783124, 313119, 855, 547, 4096, 200704, 0, 0.19125999999999999, 0.024947, 70220, 20357, 0, 8, 352, 55, 11, 0.020529, 0.034305999999999996, 67420, 7408, 0, 0, 40, 154, 35
do_create_runtime_spdx, 3108118, 1.11, 21, 2, 3, 0, 1928083, 411030, 859, 252, 446464, 163840, 0, 0.213606, 0.020151, 61688, 22384, 0, 872, 232, 63, 79, 0.035889, 0.009726, 58036, 5349, 0, 0, 88, 103, 68
do_package_write_rpm, 3107632, 7.45, 29, 6, 417, 36, 8580749, 1593813, 10283, 739, 1556480, 868352, 0, 0.295085, 0.063232, 57372, 23721, 5, 1352, 560, 268, 689, 4.173028, 0.361629, 457972, 146323, 2, 1688, 1136, 10166, 2200
do_deploy_source_date_epoch, 247632, 0.14, 14, 2, 1, 1, 546288, 164968, 471, 305, 0, 114688, 0, 0.144303, 0.028058, 64336, 18505, 0, 0, 184, 37, 39, 0.015439, 0.010128999999999999, 61536, 4696, 0, 0, 40, 118, 44
do_package, 1578185, 3.42, 156, 76, 869, 97, 16881047, 6588486, 40836, 1879, 0, 4616192, 0, 1.565722, 0.767045, 65860, 37410, 0, 0, 1264, 32340, 1593, 8.690897, 0.9796309999999999, 438280, 375672, 2, 0, 7752, 31076, 3417
