Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 2299447, 0.06, 12, 1, 0, 0, 373050, 46350, 41, 49, 0, 49152, 0, 0.123622, 0.019315, 70972, 5200, 0, 0, 96, 0, 64, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_packagedata, 2435897, 6.08, 19, 6, 7, 0, 1563912, 875806, 1550, 468, 0, 700416, 0, 0.191859, 0.066412, 72496, 23957, 0, 0, 368, 82, 98, 0.079746, 0.0063939999999999995, 69760, 7162, 0, 0, 1000, 182, 143
do_compile_ptest_base, 2308881, 3.60, 13, 1, 349, 21, 44715660, 8666580, 10754, 3786, 16384, 5373952, 5185536, 0.13680299999999998, 0.019542999999999998, 71720, 8194, 0, 0, 80, 75, 136, 3.490336, 0.21851199999999998, 83240, 78823, 3, 32, 10416, 612, 1106
do_recipe_qa, 55361, 0.05, 7, 1, 1, 0, 511773, 126175, 397, 210, 0, 102400, 0, 0.072683, 0.016151, 63100, 16454, 0, 0, 168, 25, 1, 0.011023999999999999, 0.0028539999999999998, 60288, 3995, 0, 0, 32, 126, 12
do_install, 2323377, 8.77, 31, 4, 854, 235, 134687582, 26472230, 47847, 8551, 8749056, 21606400, 5226496, 0.313527, 0.044788999999999995, 66564, 15029, 0, 0, 728, 666, 273, 8.543313, 2.358473, 83848, 471471, 7, 17088, 41472, 5189, 8497
do_populate_lic, 742714, 0.54, 17, 2, 2, 1, 891030, 257496, 591, 260, 40960, 143360, 0, 0.17918099999999998, 0.025596999999999998, 69948, 18539, 2, 80, 216, 40, 94, 0.028869, 0.015763, 66864, 5037, 1, 0, 64, 164, 51
do_fetch, 55435, 24.58, 21, 1, 3, 3, 11350861, 11058698, 9655, 15523, 0, 11022336, 0, 0.211705, 0.017072, 70420, 9865, 0, 0, 128, 666, 32, 0.037198999999999996, 0.032559, 57872, 904, 0, 0, 21400, 6357, 21
do_compile, 2291616, 7.69, 23, 2, 3714, 351, 286137547, 62154974, 75483, 19227, 6275072, 28708864, 8069120, 0.23712899999999998, 0.022369999999999998, 71880, 6442, 0, 0, 1232, 532, 51, 37.142323, 3.516219, 127604, 1065073, 40, 12256, 54840, 10460, 21386
do_install_ptest_base, 2368246, 7.88, 14, 1, 349, 28, 40633141, 10308732, 14194, 4230, 3121152, 9097216, 5279744, 0.15003, 0.013639, 66540, 11115, 0, 0, 112, 214, 241, 3.493279, 0.28326599999999996, 83764, 74375, 1, 6096, 17656, 2014, 3969
do_patch, 338272, 0.34, 9, 2, 16, 3, 2698947, 850220, 3127, 508, 0, 864256, 4096, 0.093706, 0.027330999999999998, 64352, 13708, 0, 0, 144, 28, 15, 0.168562, 0.03904, 58304, 47401, 2, 0, 1544, 763, 181
do_prepare_recipe_sysroot, 2123605, 0.45, 11, 6, 1, 0, 1889214, 1143694, 583, 328, 659456, 1187840, 0, 0.11759, 0.065328, 69660, 6923, 0, 1280, 152, 42, 97, 0.018816, 0.005617, 64488, 1209, 0, 8, 2168, 18, 45
do_package_write_rpm, 3075562, 34.52, 56, 9, 3661, 178, 133087152, 17731333, 29488, 3761, 7688192, 11546624, 0, 0.562974, 0.093829, 58632, 25686, 2, 1048, 768, 2217, 1004, 36.613697, 1.781586, 2191048, 1067359, 0, 13968, 21784, 30006, 15804
do_unpack, 336797, 0.22, 7, 3, 16, 5, 46637935, 69383102, 4631, 5930, 0, 37834752, 0, 0.070348, 0.031656, 64244, 11381, 0, 0, 80, 20, 58, 0.16527, 0.059236, 60648, 4570, 0, 0, 73816, 1101, 93
do_configure, 2125560, 56.77, 36, 4, 1291, 402, 314558374, 19133186, 143905, 32928, 1990656, 21340160, 13053952, 0.365268, 0.045093999999999995, 71928, 16744, 0, 184, 376, 599, 121, 12.918156, 4.025631, 69212, 1816069, 64, 3704, 41304, 11893, 12643
do_package, 2391817, 15.37, 293, 139, 1295, 257, 192423861, 80629607, 114492, 12796, 8192, 44625920, 13119488, 2.931616, 1.39961, 71360, 142537, 0, 8, 2240, 1738, 28178, 12.954181, 2.575433, 435260, 807261, 29, 8, 84920, 24086, 24082
do_create_spdx, 2458523, 7.25, 60, 19, 17, 10, 4966181, 3928120, 2313, 2975, 20480, 1687552, 0, 0.608926, 0.199072, 75340, 64409, 0, 40, 3008, 182, 1112, 0.174665, 0.107319, 71720, 18355, 0, 0, 288, 1772, 608
do_create_runtime_spdx, 3114769, 4.68, 77, 10, 4, 0, 14277037, 721124, 8423, 331, 1454080, 397312, 0, 0.7705949999999999, 0.10051199999999999, 80340, 32608, 0, 2840, 680, 131, 210, 0.045527, 0.005797, 65232, 5517, 0, 0, 96, 174, 69
do_deploy_source_date_epoch, 377182, 0.42, 20, 1, 1, 0, 574290, 162495, 468, 286, 0, 118784, 0, 0.20976499999999998, 0.019069, 65800, 18812, 0, 0, 192, 29, 94, 0.019143999999999998, 0.009353, 63000, 4671, 0, 0, 40, 76, 49
do_configure_ptest_base, 2290504, 0.04, 13, 0, 0, 0, 331758, 31144, 80, 95, 0, 28672, 0, 0.134996, 0.008180999999999999, 71888, 6131, 0, 0, 56, 13, 62, 0.0, 0.0033539999999999998, 69196, 365, 0, 0, 0, 1, 12
do_package_qa, 3075915, 10.74, 83, 48, 46, 53, 28434801, 743796, 22196, 667, 16232448, 172032, 0, 0.8316669999999999, 0.48871099999999995, 60808, 51603, 725, 31608, 272, 12739, 7656, 0.462292, 0.536009, 58428, 197875, 2, 96, 64, 793, 1350
