Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_recipe_qa, 498138, 0.07, 9, 1, 1, 0, 518972, 124635, 406, 208, 0, 102400, 0, 0.090516, 0.012343, 66652, 16205, 0, 0, 168, 28, 4, 0.011779, 0.0038079999999999998, 63840, 3967, 0, 0, 32, 142, 7
do_collect_spdx_deps, 2642798, 0.25, 15, 1, 0, 0, 368182, 45033, 37, 47, 0, 49152, 0, 0.151776, 0.013009, 71744, 5464, 0, 0, 96, 0, 46, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_packagedata, 2615835, 2.21, 19, 4, 4, 2, 805496, 247188, 870, 316, 0, 212992, 0, 0.193681, 0.04842, 73252, 24155, 0, 0, 232, 52, 98, 0.040977, 0.020694999999999998, 70516, 6894, 0, 0, 184, 113, 95
do_package_write_rpm, 2858349, 4.43, 22, 4, 378, 27, 7016281, 1372806, 3078, 732, 8192, 909312, 0, 0.221738, 0.042642, 69404, 23935, 0, 8, 496, 301, 332, 3.785936, 0.27785499999999996, 488788, 167460, 0, 8, 1280, 2518, 1444
do_compile_ptest_base, 2299637, 0.07, 12, 1, 0, 0, 326512, 30469, 81, 99, 0, 24576, 0, 0.128354, 0.011325, 71592, 7986, 0, 0, 48, 16, 166, 0.0, 0.0034479999999999997, 68876, 365, 0, 0, 0, 1, 14
do_install, 2300690, 1.03, 20, 4, 17, 4, 3718625, 675015, 2878, 445, 53248, 647168, 0, 0.204837, 0.043893, 65968, 14738, 0, 0, 192, 179, 246, 0.17971199999999998, 0.043553, 63872, 27549, 1, 104, 1072, 345, 534
do_compile, 2290016, 2.52, 13, 2, 264, 33, 24106998, 4460378, 7590, 1830, 491520, 1753088, 217088, 0.133126, 0.0208, 71900, 6345, 0, 0, 280, 60, 42, 2.641146, 0.33183199999999996, 69196, 102164, 1, 960, 3144, 1009, 1644
do_install_ptest_base, 2500589, 0.26, 13, 1, 1, 1, 465080, 52138, 682, 196, 73728, 114688, 0, 0.136912, 0.019558, 66692, 11100, 0, 0, 72, 151, 234, 0.012145, 0.011793999999999999, 64616, 2151, 0, 144, 152, 66, 197
do_patch, 530584, 0.09, 6, 1, 5, 0, 1590803, 674824, 1407, 320, 0, 700416, 4096, 0.067943, 0.019983, 65264, 11861, 0, 0, 136, 17, 7, 0.059593999999999994, 0.005983, 59728, 19053, 0, 0, 1232, 298, 17
do_fetch, 498570, 0.02, 6, 0, 0, 0, 307149, 57647, 32, 72, 0, 57344, 0, 0.06335099999999999, 0.003959, 64820, 6812, 0, 0, 112, 0, 4, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_prepare_recipe_sysroot, 2245513, 0.15, 9, 7, 1, 0, 1782350, 1051095, 544, 302, 397312, 1085440, 0, 0.090283, 0.075236, 70192, 7111, 0, 768, 144, 37, 41, 0.014709, 0.005519, 64980, 1192, 0, 8, 1976, 18, 6
do_deploy_source_date_epoch, 569334, 0.33, 17, 3, 2, 0, 584694, 160071, 536, 284, 0, 118784, 0, 0.17862999999999998, 0.031756, 67612, 18913, 0, 0, 192, 68, 62, 0.020871999999999998, 0.009302, 64812, 4671, 0, 0, 40, 87, 109
do_configure, 2246940, 13.36, 24, 2, 307, 53, 46068787, 6014359, 23127, 8717, 516096, 5095424, 2002944, 0.249799, 0.026900999999999998, 72084, 17306, 0, 720, 288, 153, 44, 3.073235, 0.537118, 69248, 300624, 10, 288, 9664, 2664, 2706
do_create_runtime_spdx, 2860399, 1.29, 18, 3, 2, 1, 1164067, 425209, 698, 258, 0, 172032, 0, 0.183225, 0.032979999999999995, 75416, 19079, 0, 0, 248, 51, 87, 0.028332999999999997, 0.014008999999999999, 71956, 5374, 0, 0, 88, 93, 77
do_package_qa, 2860283, 1.56, 27, 3, 3, 5, 2020736, 237895, 1831, 273, 4096, 159744, 0, 0.272354, 0.035718, 69240, 21818, 0, 0, 272, 91, 1067, 0.037947999999999996, 0.053318, 67036, 15268, 0, 8, 40, 112, 181
do_populate_lic, 777108, 0.52, 15, 2, 3, 0, 982630, 274675, 617, 270, 0, 159744, 0, 0.156827, 0.028148, 69904, 16479, 0, 0, 240, 37, 48, 0.034926, 0.007587999999999999, 66884, 5004, 0, 0, 72, 95, 79
do_create_spdx, 2647086, 1.58, 26, 6, 5, 2, 1431609, 732712, 802, 534, 8192, 311296, 0, 0.266432, 0.066608, 75092, 27511, 0, 16, 496, 59, 172, 0.052170999999999995, 0.025439999999999997, 71528, 7128, 0, 0, 112, 497, 152
do_package, 2524605, 3.88, 77, 50, 221, 45, 14906726, 5905215, 10958, 1586, 0, 4341760, 1134592, 0.776127, 0.500602, 68220, 51010, 0, 0, 680, 504, 2386, 2.210367, 0.456221, 304436, 133259, 2, 0, 7800, 3155, 2096
do_unpack, 528870, 0.04, 4, 1, 1, 0, 2407207, 3132746, 447, 375, 0, 1794048, 0, 0.048694999999999995, 0.018729, 64884, 9779, 0, 0, 64, 14, 6, 0.018449, 0.0017729999999999998, 60984, 3018, 0, 0, 3440, 62, 3
