Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 3616853, 0.32, 14, 2, 0, 0, 371949, 47702, 43, 50, 0, 53248, 0, 0.144901, 0.021953999999999998, 58196, 5622, 0, 0, 104, 0, 96, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_prepare_recipe_sysroot, 3562944, 1.15, 15, 11, 3, 0, 2625677, 1798719, 795, 491, 552960, 1851392, 0, 0.156058, 0.116043, 58000, 7617, 2, 1072, 152, 49, 161, 0.030066, 0.003784, 53112, 1280, 0, 8, 3464, 18, 62
do_recipe_qa, 579139, 0.16, 13, 2, 1, 0, 540344, 135397, 387, 213, 0, 110592, 0, 0.132775, 0.025119, 67504, 16421, 0, 0, 184, 23, 64, 0.015037, 0.008982, 64704, 4120, 0, 0, 32, 75, 25
do_package, 3796921, 15.79, 282, 143, 1170, 296, 1937521151, 1085609813, 281228, 86240, 28672, 712888320, 322052096, 2.8240819999999998, 1.434199, 62900, 135274, 0, 40, 9520, 2548, 26198, 11.70756, 2.967643, 335672, 683958, 65, 16, 1382840, 40686, 36783
do_install, 3775239, 43.60, 42, 9, 501, 140, 317297612, 198301962, 77333, 15271, 1089536, 198250496, 4669440, 0.42203599999999997, 0.099302, 58772, 14369, 0, 224, 760, 1754, 488, 5.010397, 1.40085, 64940, 759801, 22, 1904, 386448, 12796, 14692
do_packagedata, 3802859, 0.75, 27, 3, 4, 4, 1702674, 915982, 1442, 457, 16384, 684032, 0, 0.27860399999999996, 0.032302, 59724, 23858, 4, 32, 368, 65, 86, 0.046024999999999996, 0.043801, 56840, 7339, 0, 0, 968, 169, 143
do_compile, 3601122, 282.40, 106, 18, 45224, 3773, 4697944983, 1677852163, 1350200, 624232, 74018816, 932585472, 275562496, 1.066148, 0.186575, 59192, 10312, 148, 3752, 11872, 4040, 122, 452.248656, 37.735923, 503992, 20310063, 730, 140816, 1809584, 241065, 249189
do_fetch, 579816, 74.57, 14, 1, 0, 0, 309998, 101722, 36, 130, 0, 77824, 4096, 0.145206, 0.011169, 65824, 6646, 0, 0, 152, 1, 69, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_patch, 728470, 6.95, 25, 9, 61, 8, 21758997, 12275239, 8695, 3669, 0, 12328960, 4096, 0.257439, 0.097067, 73104, 20636, 0, 0, 168, 55, 149, 0.613081, 0.08864799999999999, 61920, 117130, 3, 0, 23912, 1961, 1045
do_configure, 3566592, 26.91, 32, 9, 206, 37, 29828782, 11337974, 26329, 10576, 17940480, 4075520, 2981888, 0.323189, 0.092917, 59524, 17613, 0, 22640, 352, 1291, 307, 2.06554, 0.378275, 56712, 327813, 11, 12400, 7608, 6886, 5293
do_create_runtime_spdx, 3809007, 0.40, 32, 4, 2, 2, 5558884, 666923, 1595, 318, 4096, 356352, 0, 0.322912, 0.043851999999999995, 61524, 25082, 1, 8, 600, 30, 63, 0.022597, 0.020834, 58564, 5639, 0, 0, 96, 123, 42
do_package_write_rpm, 3803529, 48.83, 50, 7, 10850, 228, 993588551, 148172678, 45683, 9141, 102400, 98234368, 0, 0.500864, 0.079969, 60352, 25087, 0, 192, 808, 1385, 888, 108.508255, 2.2809, 2003920, 1059212, 0, 8, 191056, 28776, 35747
do_unpack, 718052, 9.03, 11, 6, 165, 94, 151164172, 530463168, 10956, 67033, 1015808, 574894080, 8192, 0.112421, 0.065579, 67340, 19985, 0, 0, 120, 51, 117, 1.658354, 0.948719, 139396, 36016, 0, 1984, 1122720, 2516, 2861
do_deploy_source_date_epoch, 739604, 0.59, 22, 1, 2, 1, 620211, 178156, 509, 289, 0, 131072, 0, 0.228045, 0.017540999999999998, 69620, 18873, 0, 0, 216, 52, 151, 0.023406, 0.012884, 66820, 4815, 0, 0, 40, 88, 71
do_populate_lic, 786097, 0.52, 16, 2, 3, 0, 1437113, 396307, 658, 301, 0, 159744, 0, 0.168905, 0.026871, 70020, 16457, 0, 0, 224, 39, 105, 0.037787, 0.007715, 66936, 5242, 0, 0, 88, 135, 85
do_create_spdx, 3803489, 5.94, 110, 32, 13, 11, 7582210, 6918182, 2220, 7603, 1761280, 2613248, 0, 1.109009, 0.32665299999999997, 115136, 68428, 18, 3440, 4800, 209, 3470, 0.136345, 0.115587, 60780, 17201, 2, 0, 304, 1589, 687
do_package_qa, 3803536, 4.55, 73, 46, 38, 69, 209714330, 860922, 21544, 669, 4096, 180224, 0, 0.7315389999999999, 0.468831, 110092, 78393, 1, 8, 288, 5434, 11787, 0.38247, 0.694633, 64128, 203285, 25, 0, 64, 1181, 1419
