Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 626264, 0.03, 15, 3, 0, 0, 592235, 51741, 53, 59, 0, 49152, 0, 0.152009, 0.030400999999999997, 67616, 7029, 0, 0, 96, 0, 61, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_create_spdx, 627337, 0.21, 18, 4, 2, 1, 1430584, 527637, 696, 333, 0, 221184, 0, 0.18706, 0.04776, 70208, 21193, 0, 0, 328, 31, 442, 0.020319999999999998, 0.015757999999999998, 67308, 5249, 0, 0, 104, 100, 40
do_recipe_qa, 409579, 0.31, 20, 3, 2, 0, 733689, 133118, 425, 227, 0, 106496, 0, 0.205069, 0.030952999999999998, 66844, 16634, 0, 0, 176, 44, 71, 0.022064999999999998, 0.004830999999999999, 64040, 4058, 0, 0, 32, 92, 56
do_install, 1274723, 6.06, 30, 2, 102, 21, 23825202, 6991357, 12230, 2183, 2052096, 7061504, 1994752, 0.30672699999999997, 0.0213, 71608, 13925, 0, 0, 312, 283, 79, 1.022666, 0.21021199999999998, 68896, 120409, 4, 4008, 13480, 1629, 1897
do_patch, 626187, 0.68, 12, 3, 18, 3, 2524108, 482658, 3041, 419, 0, 495616, 4096, 0.126801, 0.0317, 66840, 13752, 0, 0, 136, 29, 16, 0.184756, 0.038994999999999995, 61184, 47531, 0, 0, 832, 753, 202
do_unpack, 623461, 1.20, 14, 2, 114, 15, 121915977, 154440831, 18133, 22559, 4096, 87998464, 0, 0.14532299999999998, 0.024912, 66812, 13710, 0, 0, 136, 17, 8, 1.143135, 0.15811999999999998, 63352, 6106, 1, 8, 171736, 6332, 131
do_compile, 1237887, 39.01, 42, 6, 7271, 968, 911764998, 52050455, 268000, 34451, 11411456, 25374720, 905216, 0.42856299999999997, 0.062716, 73872, 10352, 0, 0, 12168, 1114, 97, 72.717449, 9.681001, 69640, 5282243, 149, 22288, 37392, 38534, 48201
do_populate_sysroot, 1276569, 0.99, 34, 9, 13, 7, 11168934, 5596500, 3220, 1208, 0, 3948544, 0, 0.34538199999999997, 0.099247, 72592, 33152, 0, 0, 3584, 242, 429, 0.135357, 0.070711, 70380, 20142, 7, 0, 4128, 380, 435
do_fetch, 409949, 84.56, 13, 1, 0, 0, 531213, 65578, 48, 88, 0, 61440, 0, 0.133152, 0.017993, 65576, 7135, 0, 0, 120, 1, 175, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_prepare_recipe_sysroot, 1183398, 0.72, 24, 13, 2, 0, 2934223, 1892555, 799, 540, 53248, 2023424, 0, 0.240757, 0.13938499999999998, 71384, 8155, 0, 104, 168, 17, 334, 0.025262, 0.008395999999999999, 66496, 656, 0, 0, 3784, 8, 27
do_configure, 1184022, 66.95, 41, 6, 1486, 218, 220426672, 46664759, 119457, 38972, 1028096, 43433984, 21925888, 0.41923099999999996, 0.061137, 72056, 18146, 0, 48, 448, 548, 106, 14.867971, 2.186069, 69132, 1461206, 33, 1960, 84384, 13933, 15081
do_create_runtime_spdx, 773930, 0.11, 13, 3, 1, 1, 1020709, 360547, 433, 254, 0, 139264, 0, 0.139854, 0.031966, 71936, 16812, 0, 0, 192, 33, 22, 0.017747, 0.011276999999999999, 69136, 4245, 0, 0, 80, 79, 37
do_populate_lic, 713885, 0.46, 19, 4, 2, 1, 1193184, 295862, 641, 279, 24576, 159744, 0, 0.190358, 0.047589, 71144, 18836, 0, 0, 224, 49, 244, 0.029190999999999998, 0.014964, 68124, 5101, 0, 48, 88, 149, 68
do_deploy_source_date_epoch, 627946, 0.10, 16, 1, 1, 0, 793485, 164566, 494, 305, 0, 118784, 0, 0.16250299999999998, 0.015853, 68896, 19110, 0, 0, 192, 29, 8, 0.016307, 0.008143, 66096, 4691, 0, 0, 40, 158, 16
