Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 935168, 0.02, 8, 0, 0, 0, 361805, 49322, 46, 54, 0, 53248, 0, 0.089851, 0.008168, 68276, 5038, 0, 0, 104, 0, 56, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_configure, 1120425, 1.81, 22, 3, 80, 7, 8594021, 4510093, 1213, 684, 32768, 4861952, 0, 0.223554, 0.03992, 71000, 18652, 0, 24, 232, 51, 82, 0.8031189999999999, 0.077499, 68280, 11379, 0, 40, 9264, 113, 339
do_recipe_qa, 619048, 0.40, 15, 3, 2, 0, 474120, 126483, 410, 215, 0, 106496, 0, 0.156105, 0.03469, 67480, 16203, 0, 0, 176, 39, 59, 0.022646, 0.006724, 64680, 3919, 0, 0, 32, 85, 61
do_install, 1122254, 0.79, 22, 4, 28, 9, 9159438, 274576, 1394, 231, 172032, 266240, 0, 0.224656, 0.042387999999999995, 60360, 13635, 0, 0, 168, 233, 514, 0.28905, 0.092041, 58284, 11856, 0, 336, 352, 77, 527
do_packagedata, 1356280, 0.56, 20, 2, 3, 2, 734139, 224494, 919, 318, 4096, 188416, 0, 0.206562, 0.027281, 71388, 23161, 0, 8, 216, 87, 74, 0.039188, 0.020531, 68568, 6818, 0, 0, 152, 171, 149
do_compile, 1121251, 0.80, 15, 0, 28, 3, 8926902, 47370, 918, 142, 0, 32768, 0, 0.152557, 0.0042369999999999994, 70756, 6480, 0, 0, 64, 21, 67, 0.286877, 0.035505, 68056, 7262, 0, 0, 0, 10, 50
do_deploy_source_date_epoch, 687643, 0.43, 18, 3, 2, 0, 526829, 154557, 509, 290, 0, 110592, 0, 0.183104, 0.030517, 69128, 18566, 0, 0, 176, 48, 51, 0.025442, 0.0072499999999999995, 66320, 4604, 3, 0, 40, 91, 121
do_fetch, 621833, 0.84, 11, 1, 0, 0, 705856, 405914, 594, 632, 0, 409600, 0, 0.114745, 0.017653, 66216, 8049, 0, 0, 128, 67, 77, 0.009514, 0.00445, 62728, 912, 0, 0, 672, 223, 16
do_patch, 674468, 0.06, 7, 2, 0, 0, 562285, 123833, 230, 87, 0, 126976, 4096, 0.07547, 0.022640999999999998, 67092, 10936, 0, 0, 120, 6, 40, 0.006679999999999999, 0.001215, 61032, 933, 0, 0, 128, 13, 1
do_prepare_recipe_sysroot, 1120276, 0.31, 18, 13, 2, 0, 2738759, 1861370, 750, 521, 53248, 1961984, 0, 0.18772899999999998, 0.130261, 69940, 7127, 0, 104, 152, 16, 38, 0.027302999999999997, 0.0038399999999999997, 65052, 634, 0, 0, 3680, 9, 10
do_unpack, 670564, 0.11, 6, 1, 3, 5, 7811546, 10592953, 1071, 6067, 8192, 18448384, 0, 0.068201, 0.018944, 67076, 10834, 0, 0, 120, 8, 9, 0.035739, 0.051778, 63492, 3133, 0, 16, 35912, 569, 18
do_write_config, 691189, 0.07, 13, 1, 0, 0, 343461, 40772, 120, 87, 0, 36864, 0, 0.130444, 0.011857999999999999, 68772, 8196, 0, 0, 48, 3, 56, 0.001482, 0.004136, 66040, 738, 0, 0, 24, 9, 25
do_create_runtime_spdx, 2752585, 0.75, 18, 3, 3, 1, 1052148, 399259, 673, 259, 299008, 151552, 0, 0.189238, 0.035206999999999995, 75620, 21485, 0, 584, 216, 65, 77, 0.032161999999999996, 0.013012, 72108, 5307, 1, 0, 80, 127, 66
do_package_write_rpm, 2752351, 1.68, 23, 2, 144, 16, 2826463, 722905, 1985, 495, 1957888, 507904, 0, 0.233624, 0.024168, 68476, 21184, 0, 1800, 472, 474, 339, 1.444563, 0.160609, 217848, 77883, 1, 2024, 520, 1221, 769
do_populate_lic, 769417, 0.13, 13, 4, 2, 1, 639995, 198054, 554, 258, 0, 135168, 0, 0.132203, 0.048074, 69732, 18209, 0, 0, 216, 30, 37, 0.021682, 0.014353999999999999, 66632, 4920, 0, 0, 48, 84, 78
do_create_spdx, 1359623, 0.83, 22, 2, 4, 1, 1164927, 528574, 707, 295, 4096, 225280, 0, 0.224985, 0.024104999999999998, 73260, 22187, 0, 8, 336, 51, 90, 0.044029, 0.013914, 69632, 6218, 0, 0, 104, 182, 137
do_package, 1346538, 2.16, 39, 11, 75, 4, 3344833, 1554001, 2787, 636, 184320, 1155072, 0, 0.39138599999999996, 0.11741599999999999, 62376, 31481, 0, 16, 552, 446, 758, 0.752294, 0.049877, 60192, 18647, 2, 344, 1704, 1289, 872
do_package_qa, 2752419, 0.84, 16, 3, 2, 2, 775141, 210131, 853, 266, 524288, 155648, 0, 0.16475599999999999, 0.03802, 68760, 15264, 1, 1016, 264, 129, 390, 0.025887999999999998, 0.021418, 66556, 6682, 0, 8, 40, 112, 68
