Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 493420, 0.02, 7, 0, 0, 0, 563882, 44845, 36, 51, 0, 53248, 0, 0.07103, 0.007892, 65744, 7015, 0, 0, 104, 0, 2, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 38265, 0.05, 8, 1, 1, 0, 694652, 127032, 400, 219, 0, 106496, 0, 0.082478, 0.016495, 62868, 16556, 0, 0, 176, 29, 26, 0.011326, 0.002319, 60068, 4001, 0, 0, 32, 133, 4
do_install, 322990, 0.13, 16, 1, 3, 0, 1114265, 154979, 1146, 296, 0, 151552, 0, 0.16827899999999998, 0.016026, 65700, 14335, 0, 0, 120, 22, 51, 0.036632, 0.006313999999999999, 63008, 8123, 0, 0, 176, 112, 27
do_compile, 321623, 0.18, 10, 2, 26, 2, 5381168, 160412, 1845, 361, 0, 135168, 0, 0.10456, 0.024128999999999998, 66024, 8483, 0, 0, 88, 16, 6, 0.261862, 0.029044, 63320, 26756, 0, 0, 176, 96, 58
do_create_spdx, 494257, 0.12, 12, 3, 2, 0, 1215838, 495681, 613, 289, 4096, 208896, 0, 0.127635, 0.034809, 68196, 21122, 0, 8, 304, 38, 5, 0.022054999999999998, 0.006455, 65296, 5213, 1, 0, 104, 148, 17
do_fetch, 38404, 0.32, 5, 1, 0, 0, 675917, 194974, 381, 360, 0, 196608, 0, 0.057569999999999996, 0.01919, 61692, 8316, 0, 0, 120, 84, 4, 0.0014069999999999998, 0.003355, 57900, 809, 0, 0, 264, 87, 2
do_prepare_recipe_sysroot, 302715, 0.05, 10, 0, 1, 0, 1824633, 1336623, 459, 373, 0, 1372160, 0, 0.103741, 0.008298999999999999, 64692, 8050, 0, 0, 144, 2, 4, 0.019856, 0.0, 58616, 617, 0, 0, 2536, 9, 2
do_patch, 39848, 0.05, 7, 0, 2, 0, 919650, 124698, 669, 137, 0, 151552, 4096, 0.07241399999999999, 0.004259, 61704, 11302, 0, 0, 128, 13, 2, 0.024329, 0.004591, 55968, 9335, 0, 0, 168, 140, 12
do_deploy_source_date_epoch, 41201, 0.07, 10, 0, 1, 0, 748728, 156873, 494, 299, 0, 118784, 0, 0.102882, 0.008572999999999999, 62540, 18625, 0, 0, 192, 33, 2, 0.014253, 0.001784, 59692, 4707, 0, 0, 40, 147, 11
do_configure, 304134, 3.64, 22, 4, 166, 33, 30106224, 3343917, 15811, 7146, 20480, 3280896, 1236992, 0.229647, 0.041754, 65940, 16640, 0, 0, 296, 104, 19, 1.66573, 0.332409, 63052, 239029, 9, 40, 6112, 1877, 1246
do_unpack, 39768, 0.01, 5, 0, 0, 0, 1185555, 997070, 204, 165, 0, 589824, 0, 0.056208999999999995, 0.00432, 61376, 8380, 0, 0, 56, 8, 4, 0.005578, 0.001918, 57464, 1480, 0, 0, 1096, 25, 1
do_populate_sysroot, 324248, 1.37, 66, 9, 5, 1, 1270585, 382892, 1544, 818, 0, 262144, 0, 0.662851, 0.094132, 66464, 30307, 0, 0, 416, 222, 193, 0.054764999999999994, 0.017619, 64268, 10895, 1, 0, 96, 214, 218
do_create_runtime_spdx, 788224, 0.52, 15, 3, 1, 1, 991332, 354496, 439, 246, 0, 135168, 0, 0.151773, 0.031952, 71072, 16149, 0, 0, 184, 49, 170, 0.019955, 0.013158, 68324, 4238, 0, 0, 80, 88, 86
do_populate_lic, 751057, 0.18, 18, 2, 2, 1, 979921, 220725, 565, 264, 24576, 139264, 0, 0.18506599999999998, 0.02103, 70900, 18593, 1, 48, 224, 34, 104, 0.026354, 0.013207, 67880, 5033, 0, 0, 48, 90, 92
