Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 3509315, 0.56, 21, 1, 0, 0, 383071, 46894, 41, 48, 0, 49152, 0, 0.21173899999999998, 0.011549, 59504, 6007, 0, 0, 96, 0, 50, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 620720, 0.32, 16, 4, 2, 0, 549209, 125800, 415, 209, 4096, 102400, 0, 0.16167399999999998, 0.040417999999999996, 67996, 16372, 0, 8, 168, 44, 224, 0.020874, 0.007318, 65196, 3980, 0, 0, 32, 85, 53
do_install, 3551237, 1.53, 26, 2, 27, 8, 11407177, 7609177, 6648, 892, 4096, 7651328, 4096, 0.26868, 0.027242, 59268, 15114, 0, 0, 224, 297, 317, 0.270741, 0.08989, 57180, 54322, 2, 8, 14720, 979, 1337
do_packagedata, 3571700, 1.08, 19, 2, 4, 2, 995719, 359473, 995, 337, 0, 274432, 0, 0.19234199999999999, 0.025644999999999998, 61000, 24228, 0, 0, 240, 77, 67, 0.043164999999999995, 0.021200999999999998, 58072, 6945, 0, 0, 296, 131, 121
do_compile, 3538275, 13.15, 16, 2, 4011, 449, 458723187, 64074593, 104908, 21338, 3178496, 20353024, 606208, 0.16838599999999998, 0.024762, 59820, 6954, 0, 0, 1808, 287, 58, 40.114176, 4.497195, 99368, 1510930, 20, 6208, 37944, 16105, 19225
do_prepare_recipe_sysroot, 3499906, 1.81, 25, 15, 6, 0, 2906456, 1308469, 1313, 400, 778240, 1409024, 16384, 0.25083099999999997, 0.15129499999999999, 59360, 11437, 0, 1520, 184, 112, 136, 0.060363999999999994, 0.0, 54472, 4920, 1, 0, 2568, 112, 58
do_fetch, 624701, 0.42, 14, 2, 0, 0, 1157142, 857886, 767, 1273, 0, 856064, 0, 0.142587, 0.020368999999999998, 65952, 8333, 0, 0, 136, 58, 6, 0.004069, 0.006572, 62148, 893, 0, 0, 1536, 327, 3
do_unpack, 671575, 0.08, 6, 3, 4, 1, 7837544, 12473651, 1692, 1871, 8192, 7155712, 0, 0.064743, 0.034275, 67112, 13600, 0, 0, 136, 18, 6, 0.049738, 0.01444, 63240, 5570, 0, 16, 13840, 647, 6
do_populate_lic, 777511, 0.51, 12, 3, 2, 1, 819196, 220991, 591, 258, 0, 139264, 0, 0.12414199999999999, 0.034246, 70124, 16520, 0, 0, 224, 37, 117, 0.029418999999999997, 0.011852999999999999, 67040, 4967, 0, 0, 48, 140, 55
do_patch, 674905, 0.15, 8, 2, 11, 1, 2495505, 174230, 2628, 289, 0, 188416, 4096, 0.08505, 0.02025, 67540, 13900, 0, 0, 144, 25, 6, 0.118396, 0.0167, 61304, 37840, 1, 0, 224, 595, 46
do_create_spdx, 3573304, 4.89, 63, 14, 5, 3, 2878492, 2820515, 1104, 3382, 36864, 1019904, 0, 0.632856, 0.140132, 63848, 34364, 0, 72, 1840, 76, 974, 0.058552999999999994, 0.036312, 60024, 8140, 0, 0, 152, 461, 178
do_package_write_rpm, 3573356, 14.09, 38, 8, 1013, 35, 64471618, 8269403, 9416, 1372, 28672, 5410816, 0, 0.389632, 0.082649, 60744, 24967, 0, 48, 544, 555, 559, 10.135956, 0.35229499999999997, 754364, 219661, 0, 8, 10024, 3675, 3455
do_deploy_source_date_epoch, 689738, 0.46, 18, 1, 2, 1, 615847, 161482, 514, 285, 0, 114688, 0, 0.18735, 0.01993, 69344, 18682, 0, 0, 184, 55, 54, 0.023698, 0.010577999999999999, 66528, 4658, 0, 0, 40, 62, 82
do_configure, 3502758, 47.15, 30, 6, 614, 72, 117508947, 21121608, 54895, 18340, 1122304, 18923520, 10313728, 0.302274, 0.06122, 60160, 18337, 0, 712, 336, 278, 86, 6.144983, 0.721131, 57256, 495466, 6, 1480, 36624, 7506, 6109
do_package_qa, 3573469, 3.82, 58, 18, 22, 23, 14077163, 483414, 6159, 419, 4096, 163840, 0, 0.5882729999999999, 0.18071099999999998, 62632, 37257, 0, 8, 272, 114, 3650, 0.227429, 0.239915, 60276, 91883, 1, 0, 48, 405, 736
do_create_runtime_spdx, 3580305, 1.10, 25, 3, 3, 1, 3720747, 447967, 1385, 263, 147456, 188416, 0, 0.25362999999999997, 0.030091, 63696, 24033, 0, 288, 280, 83, 125, 0.03334, 0.013465, 59876, 5396, 1, 0, 88, 130, 101
do_package, 3554279, 10.99, 138, 103, 537, 82, 121851487, 54759547, 39139, 7305, 860160, 36761600, 16678912, 1.382079, 1.036559, 61556, 75672, 0, 1592, 1072, 663, 6353, 5.375356, 0.8252919999999999, 59076, 260031, 29, 88, 70728, 5792, 7228
