Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 3034403, 0.41, 18, 2, 0, 0, 347551, 44362, 32, 45, 0, 49152, 0, 0.18009699999999998, 0.026264, 60776, 7405, 0, 0, 96, 0, 209, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_create_runtime_spdx, 3119600, 1.15, 17, 2, 4, 0, 1542847, 411127, 703, 252, 110592, 159744, 0, 0.178586, 0.026133999999999998, 63460, 21564, 3, 216, 224, 42, 81, 0.040642, 0.00475, 59868, 5357, 2, 0, 88, 103, 45
do_recipe_qa, 621055, 0.38, 16, 2, 2, 0, 514869, 124389, 425, 206, 0, 102400, 0, 0.168256, 0.020635999999999998, 67676, 16228, 0, 0, 168, 46, 109, 0.022508999999999998, 0.006816999999999999, 64876, 3985, 0, 0, 32, 95, 106
do_install, 3106089, 6.95, 26, 4, 58, 11, 5831921, 1580074, 8529, 1115, 90112, 1486848, 4096, 0.269198, 0.047761, 56664, 14259, 3, 40, 240, 323, 313, 0.587756, 0.11397399999999999, 54632, 99019, 14, 136, 2664, 1460, 2445
do_deploy_source_date_epoch, 690112, 0.39, 15, 3, 2, 0, 580567, 165211, 488, 315, 0, 114688, 0, 0.159376, 0.036779, 68708, 18499, 0, 0, 184, 44, 95, 0.024458, 0.009689, 65896, 4665, 1, 0, 40, 89, 74
do_unpack, 671812, 0.07, 5, 2, 2, 0, 4060851, 6029393, 942, 945, 12288, 3584000, 0, 0.058224, 0.025473, 66856, 12016, 0, 0, 128, 12, 4, 0.029934, 0.00471, 63236, 3236, 0, 24, 6872, 315, 1
do_packagedata, 3116811, 2.09, 18, 3, 4, 2, 831838, 267819, 854, 318, 110592, 229376, 0, 0.181636, 0.039871, 61556, 23305, 16, 184, 240, 65, 103, 0.044830999999999996, 0.020051, 58672, 6904, 1, 32, 208, 140, 98
do_compile, 3090157, 16.51, 18, 0, 703, 107, 118086406, 10491867, 33830, 6585, 1028096, 4100096, 294912, 0.1871, 0.0060349999999999996, 60992, 6790, 0, 0, 928, 393, 157, 7.037765, 1.076154, 63716, 492912, 16, 2008, 7080, 5329, 5658
do_fetch, 628126, 1.71, 6, 1, 0, 0, 711699, 431744, 560, 677, 0, 434176, 0, 0.06808, 0.012764999999999999, 66204, 8138, 0, 0, 128, 55, 38, 0.008045, 0.0, 62676, 903, 0, 0, 720, 209, 1
do_package_write_rpm, 3117639, 6.46, 27, 5, 392, 15, 13024162, 1803050, 5233, 717, 40960, 1175552, 0, 0.275215, 0.055042999999999995, 58712, 21446, 6, 80, 488, 520, 319, 3.923873, 0.15298499999999998, 370008, 108237, 0, 0, 1808, 1932, 1515
do_package_qa, 3117648, 3.18, 31, 10, 16, 15, 4106813, 371802, 3032, 347, 135168, 163840, 0, 0.317905, 0.107527, 58196, 25056, 5, 264, 272, 135, 1600, 0.167493, 0.152713, 55880, 58048, 1, 0, 48, 315, 466
do_prepare_recipe_sysroot, 3023398, 3.00, 17, 17, 5, 0, 3594177, 2105713, 1431, 605, 266240, 2256896, 16384, 0.17337999999999998, 0.17337999999999998, 61616, 8937, 0, 520, 160, 50, 221, 0.055385, 0.008716999999999999, 56728, 4623, 0, 0, 4248, 102, 67
do_patch, 675077, 0.11, 8, 1, 5, 1, 1386752, 143968, 1317, 179, 0, 172032, 4096, 0.08119799999999999, 0.01282, 67504, 12230, 0, 0, 136, 17, 4, 0.054178, 0.017863999999999998, 61304, 18795, 0, 0, 200, 295, 25
do_configure, 3027768, 69.30, 34, 4, 528, 89, 119148357, 17472316, 55683, 18579, 856064, 16498688, 9289728, 0.349281, 0.049897, 61656, 17801, 0, 1040, 368, 346, 168, 5.28835, 0.898052, 58952, 591303, 20, 632, 31856, 7907, 6557
do_populate_lic, 778204, 0.45, 13, 2, 2, 1, 764857, 219738, 618, 255, 0, 143360, 0, 0.130747, 0.027733999999999998, 69812, 16247, 0, 0, 224, 58, 67, 0.029977, 0.012676, 66716, 5002, 1, 0, 56, 94, 113
do_create_spdx, 3117633, 3.69, 37, 10, 6, 0, 1814853, 1352169, 865, 1438, 884736, 503808, 0, 0.37208399999999997, 0.109717, 64016, 26210, 225, 1720, 864, 318, 666, 0.062338, 0.009526, 60176, 6659, 0, 8, 120, 341, 143
do_package, 3111170, 9.54, 97, 41, 225, 38, 30976180, 10413575, 18663, 2443, 1347584, 6967296, 2940928, 0.9715729999999999, 0.41040499999999996, 58480, 57042, 0, 1792, 720, 889, 3211, 2.25745, 0.381526, 138408, 158504, 33, 840, 12888, 3912, 2880
