Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_populate_lic_deploy, 3997992, 0.02, 8, 1, 0, 0, 518638, 31378, 106, 45, 8192, 28672, 0, 0.084826, 0.016156999999999998, 81252, 13877, 0, 16, 56, 5, 2, 0.001794, 0.0, 74632, 212, 0, 0, 0, 3, 0
do_collect_spdx_deps, 1363324, 0.15, 17, 2, 0, 0, 671576, 114741, 207, 78, 229376, 118784, 0, 0.173455, 0.024779, 71988, 11657, 0, 432, 104, 48, 145, 0.007326, 0.001958, 65824, 827, 0, 16, 128, 13, 12
do_image_ext4, 3997341, 3.68, 221, 17, 41, 32, 361763855, 363652527, 66864, 89336, 1384448, 349847552, 0, 2.218303, 0.17876399999999998, 86428, 24427, 0, 160, 168, 24774, 174, 0.413873, 0.320282, 82216, 5692, 25, 2544, 683128, 71986, 68
do_recipe_qa, 695530, 0.09, 19, 3, 0, 1, 693433, 132520, 457, 220, 4096, 102400, 0, 0.19441, 0.033090999999999995, 71040, 21388, 0, 8, 168, 29, 11, 0.009786999999999999, 0.019802999999999998, 68240, 4282, 1, 0, 32, 88, 28
do_image_tar, 3997357, 2.10, 17, 12, 2701, 109, 671607182, 453890057, 76138, 33919, 81920, 453877760, 342200320, 0.178222, 0.126736, 82248, 14090, 0, 0, 64, 25170, 15, 27.01429, 1.094727, 221520, 543849, 3, 160, 886416, 52698, 1941
do_flush_pseudodb, 3995792, 0.10, 24, 2, 0, 0, 547873, 47196, 154, 96, 0, 32768, 0, 0.248742, 0.023688999999999998, 82156, 13754, 0, 0, 64, 14, 89, 0.004232, 0.003617, 79428, 732, 0, 0, 0, 8, 14
do_create_spdx, 1365400, 0.68, 29, 6, 3, 1, 1194095, 500368, 648, 291, 8192, 208896, 0, 0.29775199999999996, 0.062684, 74068, 26817, 0, 16, 304, 48, 159, 0.034856, 0.016929, 71172, 5834, 0, 0, 104, 129, 105
do_image, 3996803, 0.20, 22, 2, 3, 8, 2088538, 1237362, 3617, 396, 4096, 28672, 0, 0.221074, 0.020468999999999998, 81536, 13435, 1, 8, 56, 25, 541, 0.030483999999999997, 0.08169599999999999, 79428, 9014, 0, 0, 0, 2073, 1160
do_create_runtime_spdx, 3777309, 0.78, 47, 3, 2, 1, 2617638, 371461, 4728, 257, 1617920, 143360, 0, 0.47296699999999997, 0.035695, 63684, 25290, 17, 3056, 192, 164, 88, 0.029254, 0.011826999999999999, 60428, 4834, 0, 104, 88, 137, 78
do_prepare_recipe_sysroot, 1121946, 1.24, 23, 7, 2, 0, 2583692, 1639565, 768, 469, 135168, 1716224, 0, 0.237615, 0.079205, 71372, 12221, 0, 264, 168, 24, 70, 0.028867999999999998, 0.009654, 66484, 1458, 0, 0, 3184, 21, 9
do_image_complete, 3997970, 1.93, 151, 11, 1, 0, 1218125, 114615, 1037, 107, 4096, 135168, 0, 1.51959, 0.11536099999999999, 87816, 26880, 0, 8, 168, 977, 4, 0.019528, 0.009496, 83604, 3736, 0, 0, 96, 85, 4
do_rootfs, 3965573, 77.78, 581, 106, 1882, 633, 2970283110, 626342541, 1050641, 155533, 1024745472, 477597696, 84058112, 5.811247, 1.060385, 101340, 117769, 4, 96232, 5136, 11126, 5662, 18.821777, 6.334421, 92412, 2244627, 464, 1905224, 927672, 159013, 110430
do_image_qa, 3996274, 0.06, 19, 2, 0, 1, 650311, 47657, 659, 77, 0, 45056, 0, 0.192235, 0.026913, 82072, 15061, 0, 0, 88, 91, 505, 0.0013139999999999998, 0.014624, 76624, 1225, 0, 0, 0, 11, 13
do_write_qemuboot_conf, 3995943, 0.01, 16, 1, 0, 0, 563832, 22020, 104, 43, 53248, 16384, 0, 0.167174, 0.016717, 80828, 12209, 0, 104, 32, 5, 70, 0.0035919999999999997, 0.0, 74228, 216, 0, 0, 0, 3, 4
