Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 573184, 0.02, 16, 1, 0, 0, 597521, 49902, 51, 58, 4096, 53248, 0, 0.16859, 0.011493999999999999, 66812, 6964, 0, 8, 104, 1, 26, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 22174, 0.04, 9, 1, 1, 0, 718569, 130836, 412, 226, 0, 106496, 0, 0.09313099999999999, 0.011641, 61312, 16215, 0, 0, 176, 28, 5, 0.010504, 0.0020239999999999998, 58512, 3993, 0, 0, 32, 127, 8
do_install, 665592, 0.26, 10, 1, 19, 2, 8338545, 3856253, 103644, 3392, 2531328, 4263936, 245760, 0.106635, 0.017772, 69216, 14096, 0, 0, 288, 103, 4, 0.19405599999999998, 0.029817, 66516, 46885, 0, 4944, 8040, 1827, 29
do_compile, 647924, 2.85, 16, 1, 1974, 305, 320662330, 7656381, 100663, 12279, 7073792, 5152768, 688128, 0.166849, 0.011375999999999999, 68848, 8693, 0, 0, 1360, 380, 72, 19.749754, 3.055565, 171996, 2023904, 47, 13816, 8704, 19203, 15844
do_fetch, 22609, 6.97, 11, 2, 0, 1, 3259613, 2740536, 2725, 3902, 0, 2727936, 0, 0.11341599999999999, 0.020252, 59988, 8535, 0, 0, 120, 192, 11, 0.008039, 0.013283, 56436, 907, 0, 0, 5208, 1436, 5
do_populate_lic, 751976, 0.21, 16, 4, 2, 0, 854801, 176404, 587, 266, 4096, 131072, 0, 0.164688, 0.043916, 71440, 18863, 1, 8, 224, 42, 286, 0.027163999999999997, 0.009143, 68340, 4958, 0, 0, 32, 80, 71
do_populate_sysroot, 666065, 0.19, 15, 4, 7, 1, 7859223, 3381477, 2800, 1187, 0, 2260992, 16384, 0.154729, 0.044208, 69684, 37972, 0, 0, 2072, 129, 24, 0.072916, 0.018341, 67440, 20279, 0, 0, 2344, 315, 18
do_create_spdx, 573780, 0.23, 21, 4, 1, 1, 1282149, 512619, 652, 315, 0, 217088, 0, 0.219142, 0.043045, 69260, 21258, 0, 0, 320, 49, 108, 0.019622, 0.019322, 66348, 5223, 0, 0, 104, 87, 57
do_prepare_recipe_sysroot, 599897, 0.05, 7, 3, 1, 0, 2033418, 1465706, 506, 412, 0, 1503232, 0, 0.077071, 0.036507, 66848, 8343, 0, 0, 144, 2, 2, 0.012223999999999999, 0.0, 61468, 617, 0, 0, 2792, 9, 0
do_patch, 156838, 0.08, 10, 2, 5, 0, 1335129, 193700, 1271, 213, 0, 212992, 4096, 0.102353, 0.02047, 63092, 11963, 0, 0, 136, 17, 8, 0.058936999999999996, 0.009877, 57244, 19117, 0, 0, 280, 297, 28
do_configure, 600248, 26.85, 26, 3, 1552, 235, 317867531, 48421745, 145481, 40699, 1130496, 44314624, 21000192, 0.26161999999999996, 0.031574, 68792, 17282, 0, 8, 464, 792, 24, 15.521986, 2.359112, 65992, 2192504, 26, 2200, 86088, 17601, 9251
do_create_runtime_spdx, 788524, 0.41, 18, 1, 1, 1, 1024676, 358416, 493, 253, 0, 135168, 0, 0.180843, 0.016822, 71252, 16599, 0, 0, 184, 67, 172, 0.016562999999999998, 0.015642, 68452, 4265, 1, 0, 80, 71, 115
do_deploy_source_date_epoch, 157958, 0.09, 13, 2, 1, 0, 788357, 159639, 489, 300, 0, 118784, 0, 0.135325, 0.028704999999999998, 64452, 18863, 0, 0, 192, 28, 10, 0.013307999999999999, 0.008365, 61640, 4657, 0, 0, 40, 140, 13
do_unpack, 154894, 0.23, 11, 3, 16, 7, 29751645, 49540482, 4734, 9895, 4096, 33005568, 0, 0.11415199999999999, 0.03805, 63052, 13259, 0, 0, 136, 16, 7, 0.16033699999999998, 0.072695, 59396, 5572, 0, 8, 64328, 2176, 200
