Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 2524879, 0.15, 18, 1, 0, 0, 377317, 47232, 43, 50, 0, 49152, 0, 0.183248, 0.017046, 72244, 7360, 0, 0, 96, 0, 58, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_package_write_rpm, 3045305, 40.73, 37, 6, 2215, 98, 254243444, 23994538, 117288, 2515, 135168, 14761984, 0, 0.379949, 0.061947999999999996, 58524, 24912, 0, 264, 864, 436, 592, 22.156476, 0.9855039999999999, 700984, 230726, 0, 0, 27968, 30844, 11759
do_create_spdx, 2972371, 9.55, 215, 25, 9, 1, 15281190, 18436742, 2494, 21323, 16384, 6758400, 0, 2.150582, 0.256723, 72472, 55521, 0, 32, 12480, 81, 7163, 0.09716, 0.013085, 61952, 9363, 0, 0, 720, 515, 194
do_compile_ptest_base, 2787549, 93.48, 34, 7, 8356, 954, 1280363705, 74451605, 398514, 64708, 1683456, 30728192, 4096, 0.34534, 0.074001, 73320, 9495, 0, 0, 7120, 1080, 81, 83.564258, 9.540487, 610244, 6241571, 122, 3288, 52896, 57177, 53647
do_recipe_qa, 35410, 0.05, 6, 2, 1, 0, 502868, 126214, 404, 211, 0, 102400, 0, 0.066717, 0.022239, 62412, 16238, 0, 0, 168, 26, 3, 0.013493999999999999, 0.000366, 59596, 4007, 0, 0, 32, 118, 5
do_unpack, 272716, 0.28, 10, 2, 17, 9, 29531434, 49538628, 4831, 9788, 4096, 33005568, 0, 0.10861, 0.020113, 63392, 13050, 0, 0, 136, 16, 8, 0.17297099999999999, 0.099828, 59964, 5577, 0, 8, 64328, 2247, 95
do_install, 2899856, 7.18, 24, 3, 44, 23, 11603207, 7036958, 108725, 3501, 2658304, 7446528, 258048, 0.24113199999999999, 0.033096, 66188, 14556, 0, 248, 368, 382, 276, 0.446179, 0.23018899999999998, 64096, 74102, 2, 4944, 14176, 4403, 3643
do_packagedata, 2971074, 1.25, 18, 5, 5, 0, 2100352, 962925, 1121, 394, 4096, 589824, 0, 0.180085, 0.053207, 61684, 23646, 0, 0, 232, 72, 104, 0.05622, 0.009675, 58880, 7244, 2, 8, 920, 144, 89
do_compile, 2764432, 13.24, 20, 1, 3085, 382, 392883073, 46049781, 116222, 22190, 7094272, 14520320, 688128, 0.20579399999999998, 0.012598999999999999, 73300, 8779, 0, 0, 2464, 458, 129, 30.855339999999998, 3.826785, 204452, 2089573, 36, 13856, 25896, 26944, 24970
do_install_ptest_base, 2907391, 3.12, 13, 2, 11, 43, 31795496, 30531637, 17095, 3432, 9793536, 37986304, 2826240, 0.13434, 0.026868, 66444, 8487, 0, 0, 168, 105, 398, 0.11567999999999999, 0.43396599999999996, 64356, 5303, 0, 19128, 74024, 2672, 10054
do_fetch, 35459, 0.02, 5, 1, 0, 0, 316282, 59528, 38, 75, 0, 57344, 0, 0.051802999999999995, 0.011954, 60580, 6776, 0, 0, 112, 0, 3, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
