Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_package, 3021058, 8.60, 84, 37, 273, 21, 24874739, 10012713, 11556, 1847, 32768, 6664192, 2740224, 0.843221, 0.37038699999999997, 58776, 46483, 3, 64, 720, 430, 2759, 2.73317, 0.21412499999999998, 56484, 78663, 1, 0, 12296, 2556, 2334
do_collect_spdx_deps, 2952779, 0.42, 18, 0, 0, 0, 353866, 47460, 42, 50, 0, 49152, 0, 0.181118, 0.0, 61004, 5634, 0, 0, 96, 1, 81, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_package_qa, 3033065, 2.31, 34, 6, 8, 3, 3296600, 265288, 2068, 290, 0, 159744, 0, 0.345588, 0.061711999999999996, 58036, 26297, 0, 0, 272, 122, 1160, 0.08163999999999999, 0.037658, 55712, 22189, 0, 0, 40, 146, 203
do_recipe_qa, 61519, 0.06, 7, 2, 0, 0, 496064, 127975, 388, 212, 0, 106496, 0, 0.070252, 0.020662, 62964, 16204, 0, 0, 176, 21, 4, 0.009171, 0.004637, 60164, 4007, 0, 0, 32, 141, 6
do_prepare_recipe_sysroot, 2921715, 2.10, 17, 15, 5, 1, 3676736, 2164581, 1496, 633, 901120, 2347008, 16384, 0.17146799999999998, 0.158607, 61412, 10874, 0, 1360, 152, 90, 100, 0.051630999999999996, 0.018379, 56524, 4623, 2, 400, 4432, 109, 57
do_install, 3013678, 5.43, 20, 4, 39, 6, 4965028, 1477523, 6018, 949, 12288, 1409024, 4096, 0.203918, 0.046730999999999995, 57044, 14779, 2, 24, 224, 322, 327, 0.39155999999999996, 0.065666, 54952, 70843, 2, 0, 2528, 1097, 1764
do_packagedata, 3030158, 1.61, 19, 2, 4, 1, 883853, 330650, 986, 331, 0, 241664, 0, 0.19674, 0.029300999999999997, 62644, 24221, 0, 0, 256, 95, 148, 0.043946, 0.019157999999999998, 59648, 6946, 0, 0, 216, 123, 143
do_compile, 2996187, 19.82, 19, 1, 808, 92, 106434410, 12968467, 30203, 6647, 1589248, 5328896, 888832, 0.195321, 0.017755999999999997, 61612, 8682, 0, 0, 968, 413, 45, 8.081484, 0.926091, 85256, 491069, 24, 3104, 9440, 5872, 5426
do_fetch, 62029, 0.02, 4, 1, 0, 0, 292836, 53316, 37, 67, 0, 53248, 0, 0.042516, 0.019325, 61096, 6660, 0, 0, 104, 0, 3, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_patch, 377336, 0.58, 11, 2, 8, 1, 1708460, 661296, 1419, 320, 0, 704512, 4096, 0.110562, 0.025797, 63972, 12357, 0, 0, 144, 16, 190, 0.08971599999999999, 0.015733999999999998, 57800, 18920, 0, 0, 1232, 307, 127
do_configure, 2925129, 59.63, 31, 3, 577, 67, 113338740, 19031072, 51446, 17296, 647168, 17358848, 9641984, 0.312283, 0.034221999999999995, 62008, 17229, 0, 152, 344, 324, 144, 5.77347, 0.677604, 59208, 518973, 11, 1112, 33560, 7665, 6004
do_package_write_rpm, 3032985, 5.67, 30, 3, 523, 25, 12817878, 2092379, 3628, 870, 0, 1359872, 0, 0.30975199999999997, 0.038718999999999996, 58468, 24037, 0, 0, 504, 428, 643, 5.232602, 0.25607399999999997, 545768, 167113, 2, 0, 2152, 2218, 1960
do_populate_sysroot, 3020958, 2.39, 28, 5, 6, 2, 3405417, 1605365, 1480, 683, 0, 1294336, 172032, 0.287027, 0.055914, 62076, 25524, 0, 0, 1672, 141, 221, 0.066964, 0.026758999999999998, 59824, 11280, 0, 0, 856, 203, 206
do_create_runtime_spdx, 3034568, 1.26, 18, 3, 3, 0, 1361354, 434143, 784, 263, 28672, 180224, 0, 0.18773299999999998, 0.034481, 64508, 21381, 0, 56, 264, 64, 136, 0.035826, 0.008166, 60816, 5425, 0, 0, 88, 130, 128
do_unpack, 69606, 0.03, 4, 0, 1, 0, 4592563, 6913526, 616, 702, 0, 3883008, 0, 0.047036999999999995, 0.008551999999999999, 61228, 8762, 0, 0, 56, 10, 3, 0.015888, 0.006173, 57628, 2031, 0, 0, 7528, 119, 5
do_deploy_source_date_epoch, 483810, 0.19, 10, 2, 1, 0, 563671, 168173, 482, 294, 0, 122880, 0, 0.108803, 0.020148, 65968, 18801, 0, 0, 200, 27, 7, 0.018984, 0.006417, 63164, 4705, 0, 0, 40, 152, 10
do_create_spdx, 3032408, 2.17, 31, 4, 5, 2, 1667797, 962981, 922, 805, 20480, 385024, 0, 0.312373, 0.042212, 65108, 28741, 0, 40, 632, 86, 179, 0.059092, 0.020666999999999998, 61196, 7433, 0, 0, 120, 406, 169
do_populate_lic, 720760, 0.51, 20, 2, 4, 0, 850384, 248594, 623, 264, 57344, 147456, 0, 0.20395, 0.021244, 69588, 18517, 1, 112, 224, 54, 330, 0.042814, 0.003345, 66504, 5029, 0, 0, 64, 96, 67
