Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 595694, 0.02, 18, 0, 0, 0, 601970, 51381, 55, 60, 0, 53248, 0, 0.18767699999999998, 0.007986, 67196, 7015, 0, 0, 104, 0, 5, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 58842, 0.04, 8, 1, 0, 0, 739646, 133256, 415, 228, 0, 106496, 0, 0.089555, 0.015574, 63784, 16652, 0, 0, 176, 26, 23, 0.009030999999999999, 0.00451, 60984, 4052, 0, 0, 32, 145, 10
do_install, 1102075, 9.44, 24, 2, 87, 16, 11190058, 2606868, 16623, 1822, 143360, 2973696, 1097728, 0.24571099999999998, 0.023778, 71840, 12068, 1, 8, 232, 142, 67, 0.879004, 0.162984, 69100, 154492, 4, 272, 5576, 2608, 1564
do_compile, 1078214, 27.00, 30, 3, 4174, 498, 485698857, 28021472, 217879, 28620, 6197248, 19689472, 782336, 0.30691799999999997, 0.038973, 72284, 7373, 0, 0, 3752, 529, 121, 41.749352, 4.982188, 85864, 3633892, 210, 12104, 34704, 41165, 29729
do_fetch, 58908, 0.01, 7, 0, 0, 0, 540945, 59563, 50, 81, 0, 53248, 0, 0.078013, 0.0, 62612, 7239, 0, 0, 104, 0, 2, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_prepare_recipe_sysroot, 1015168, 0.45, 26, 9, 2, 0, 2880690, 1840000, 728, 518, 36864, 1925120, 0, 0.269545, 0.099992, 70804, 9578, 0, 72, 144, 13, 56, 0.022455, 0.009292, 65916, 637, 0, 0, 3616, 11, 114
do_populate_lic, 713116, 0.51, 21, 3, 3, 1, 1120230, 254075, 601, 279, 16384, 151552, 0, 0.219128, 0.030076, 71300, 18910, 0, 8, 232, 36, 92, 0.032984, 0.01073, 68216, 5074, 0, 24, 64, 92, 78
do_patch, 353641, 0.58, 17, 2, 4, 0, 1023421, 198640, 684, 172, 0, 217088, 4096, 0.175591, 0.029959999999999997, 65632, 11591, 0, 0, 136, 13, 1410, 0.04981, 0.00656, 59572, 9338, 0, 0, 288, 146, 67
do_create_spdx, 596064, 0.10, 11, 3, 2, 0, 1312588, 510838, 657, 307, 0, 217088, 0, 0.110223, 0.036740999999999996, 69936, 21283, 0, 0, 320, 35, 16, 0.023431999999999998, 0.0055839999999999996, 67028, 5261, 0, 0, 104, 168, 13
do_configure, 1016079, 89.15, 50, 5, 1635, 232, 184634539, 29513679, 114876, 30731, 1036288, 28758016, 16179200, 0.504945, 0.057009, 72144, 20678, 0, 256, 448, 694, 79, 16.351891, 2.329192, 69324, 1737703, 45, 1768, 55720, 15031, 14184
do_create_runtime_spdx, 772992, 0.11, 20, 3, 1, 1, 1029411, 361139, 427, 255, 0, 139264, 0, 0.207764, 0.03022, 71312, 18930, 0, 0, 192, 28, 60, 0.010376999999999999, 0.018805, 68508, 4284, 0, 0, 80, 93, 34
do_unpack, 351677, 0.35, 13, 3, 9, 2, 12239708, 19491503, 2481, 2890, 0, 11243520, 0, 0.138102, 0.039457, 65276, 12868, 0, 0, 136, 14, 140, 0.09501799999999999, 0.028918, 61408, 5135, 0, 0, 21824, 1176, 1183
do_populate_sysroot, 1107372, 2.72, 35, 10, 26, 10, 11814097, 4776811, 5013, 1470, 0, 3371008, 4096, 0.356048, 0.10890799999999999, 71964, 45282, 0, 0, 3208, 341, 148, 0.26343099999999997, 0.107573, 70048, 42243, 0, 0, 3376, 410, 512
do_deploy_source_date_epoch, 427954, 0.08, 11, 2, 1, 0, 794730, 162987, 499, 305, 0, 122880, 0, 0.117335, 0.027378, 66964, 19314, 0, 0, 200, 30, 5, 0.010946, 0.008446, 64164, 4743, 1, 0, 40, 168, 9
