Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 2959079, 0.49, 15, 1, 0, 0, 343356, 42994, 30, 44, 0, 49152, 0, 0.15381699999999998, 0.010731, 60968, 5551, 0, 0, 96, 0, 59, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 620738, 0.36, 13, 2, 2, 0, 509137, 123185, 404, 205, 0, 102400, 0, 0.135399, 0.023878, 67648, 16257, 0, 0, 168, 42, 46, 0.025362, 0.003901, 64848, 4017, 0, 0, 32, 91, 53
do_package, 2954661, 8.26, 69, 52, 84, 8, 4676650, 2000483, 4705, 922, 20480, 1929216, 77824, 0.692946, 0.522679, 58456, 39593, 2, 40, 584, 406, 1183, 0.8488049999999999, 0.08172299999999999, 56192, 34010, 1, 0, 3184, 903, 970
do_install, 2951089, 1.13, 20, 4, 2, 0, 688125, 162989, 3824, 439, 36864, 126976, 0, 0.208359, 0.041671, 56376, 14069, 9, 72, 184, 966, 1005, 0.028716, 0.009531, 54280, 4983, 0, 0, 64, 46, 215
do_deploy_source_date_epoch, 689799, 0.35, 18, 2, 1, 1, 576377, 176865, 3491, 392, 0, 114688, 0, 0.18503799999999998, 0.020558999999999997, 68668, 18501, 0, 0, 184, 70, 78, 0.017058999999999998, 0.016739, 65856, 4655, 0, 0, 40, 103, 103
do_patch, 674920, 0.05, 7, 0, 0, 0, 1009690, 632798, 317, 204, 0, 647168, 4096, 0.078993, 0.003949, 66844, 10562, 0, 0, 120, 6, 6, 0.009653, 0.000503, 61048, 954, 0, 0, 1144, 12, 0
do_packagedata, 2965904, 1.24, 19, 5, 4, 1, 766670, 228535, 890, 309, 0, 196608, 0, 0.19735899999999998, 0.051167, 62732, 24313, 0, 0, 224, 75, 104, 0.04486, 0.013704, 59892, 6914, 1, 0, 160, 105, 134
do_compile, 2948924, 0.71, 10, 0, 6, 1, 2625853, 162865, 877, 340, 4096, 90112, 0, 0.107364, 0.004667999999999999, 61592, 6611, 0, 0, 88, 41, 64, 0.064537, 0.011706, 58880, 7140, 0, 8, 88, 39, 76
do_unpack, 671636, 0.12, 4, 1, 7, 2, 4570240, 80821, 1608, 146, 0, 233472, 12288, 0.043309, 0.019686, 66716, 12706, 0, 0, 64, 32, 6, 0.078653, 0.024279, 63108, 14805, 0, 0, 392, 37, 12
do_fetch, 627858, 0.42, 10, 2, 5, 3, 3200232, 158884, 1627, 183, 0, 311296, 8192, 0.104238, 0.020045, 66136, 9633, 0, 0, 128, 15, 2, 0.058879, 0.037725, 62672, 12135, 0, 0, 480, 118, 4
do_prepare_recipe_sysroot, 2924496, 1.95, 18, 7, 4, 1, 2126892, 1080595, 1071, 336, 393216, 1163264, 16384, 0.186001, 0.072585, 59904, 10280, 0, 768, 152, 49, 74, 0.041727, 0.011562999999999999, 54912, 4626, 1, 0, 2120, 102, 70
do_configure, 2928727, 17.45, 35, 1, 153, 19, 22384044, 2801230, 12095, 6855, 163840, 2457600, 708608, 0.352796, 0.019384, 62044, 20791, 0, 160, 288, 185, 183, 1.539621, 0.195235, 59180, 157080, 1, 160, 4512, 1843, 1887
do_create_spdx, 2974611, 1.38, 25, 2, 6, 0, 1267198, 573882, 736, 357, 0, 249856, 0, 0.250869, 0.022806, 65012, 23522, 0, 0, 384, 58, 136, 0.062189999999999995, 0.00513, 61156, 6581, 1, 0, 104, 271, 74
do_create_runtime_spdx, 2984531, 1.13, 20, 2, 3, 0, 977440, 409248, 632, 251, 0, 159744, 0, 0.204481, 0.023776, 64168, 21694, 0, 0, 224, 54, 69, 0.039467999999999996, 0.0021349999999999997, 60536, 5334, 0, 0, 88, 102, 68
do_populate_lic, 777640, 0.48, 12, 4, 3, 0, 745511, 216444, 604, 250, 0, 135168, 0, 0.121086, 0.0477, 69648, 16195, 0, 0, 216, 59, 72, 0.033180999999999995, 0.007436, 66564, 4979, 0, 0, 48, 76, 95
do_package_write_rpm, 2982055, 3.25, 33, 6, 264, 14, 1648472, 477541, 2053, 551, 20480, 327680, 0, 0.336685, 0.065694, 57828, 24507, 5, 40, 472, 236, 324, 2.644132, 0.14646599999999999, 304272, 100102, 1, 0, 168, 1364, 970
do_package_qa, 2983808, 1.74, 32, 2, 6, 0, 818575, 222808, 945, 260, 32768, 159744, 0, 0.320724, 0.029155999999999998, 58028, 19148, 4, 64, 272, 124, 365, 0.064371, 0.002634, 55720, 11014, 0, 0, 40, 117, 103
