Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 704246, 0.02, 15, 2, 0, 0, 579408, 45585, 39, 52, 0, 49152, 0, 0.15553999999999998, 0.020465, 68592, 7284, 0, 0, 96, 0, 231, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_patch, 704192, 0.17, 13, 3, 1, 0, 658526, 120649, 181, 85, 0, 126976, 4096, 0.13239299999999998, 0.036774999999999995, 68612, 10464, 0, 0, 120, 6, 140, 0.012509, 0.0, 62508, 942, 0, 0, 128, 13, 10
do_create_runtime_spdx, 786945, 0.42, 17, 3, 2, 1, 1007124, 355687, 426, 247, 0, 135168, 0, 0.175726, 0.038574, 71212, 16699, 0, 0, 184, 40, 59, 0.020756, 0.011947, 68408, 4238, 0, 0, 80, 102, 89
do_recipe_qa, 696646, 0.07, 15, 3, 1, 0, 730629, 127882, 389, 220, 0, 106496, 0, 0.159641, 0.035919, 69724, 16385, 0, 0, 176, 23, 4, 0.012998, 0.0076549999999999995, 66924, 4036, 0, 0, 32, 127, 10
do_install, 789032, 0.54, 17, 2, 6, 1, 1231173, 197532, 2110, 430, 0, 208896, 0, 0.179867, 0.027979, 70448, 11778, 0, 0, 120, 39, 50, 0.06504, 0.011483, 67756, 10868, 6, 0, 288, 177, 118
do_populate_sysroot, 790735, 1.43, 28, 8, 11, 8, 2077843, 553125, 2246, 939, 0, 380928, 0, 0.289308, 0.085308, 70684, 35007, 0, 0, 520, 162, 163, 0.110496, 0.082762, 68748, 24756, 0, 0, 224, 254, 259
do_compile, 787387, 0.62, 16, 2, 30, 6, 4828581, 229771, 1917, 486, 0, 176128, 0, 0.168123, 0.020502, 70660, 6890, 0, 0, 96, 48, 367, 0.302145, 0.06676, 67952, 20768, 2, 0, 248, 102, 602
do_fetch, 696919, 2.53, 12, 1, 15, 4, 5934190, 3007880, 4745, 985, 0, 1175552, 12288, 0.12068599999999999, 0.011314, 67840, 9953, 0, 0, 152, 113, 9, 0.15719, 0.041905, 64700, 12166, 0, 0, 2144, 1083, 37
do_configure, 762802, 7.66, 28, 3, 174, 35, 25408455, 2878944, 15116, 6736, 0, 2633728, 765952, 0.287458, 0.030662, 70920, 20640, 0, 0, 288, 130, 146, 1.7428949999999999, 0.35147999999999996, 68096, 226690, 7, 0, 4856, 1991, 1873
do_prepare_recipe_sysroot, 760701, 0.06, 12, 2, 2, 0, 1840223, 1337635, 462, 374, 0, 1368064, 0, 0.12433999999999999, 0.023313, 68856, 8375, 0, 0, 136, 2, 108, 0.020881, 0.002704, 62980, 616, 0, 0, 2536, 8, 10
do_create_spdx, 704486, 0.47, 20, 4, 3, 1, 1285623, 515032, 626, 288, 8192, 221184, 0, 0.203762, 0.043948, 71860, 21369, 0, 16, 320, 55, 154, 0.032667, 0.012943999999999999, 68324, 5240, 0, 0, 112, 147, 80
do_populate_lic, 786779, 0.43, 15, 2, 3, 0, 973200, 212325, 595, 265, 0, 135168, 0, 0.155779, 0.023965999999999998, 71160, 16646, 0, 0, 216, 48, 70, 0.032160999999999995, 0.009162, 68076, 5017, 0, 0, 48, 122, 63
do_unpack, 703447, 0.18, 10, 3, 11, 3, 4905183, 554759, 1980, 408, 0, 856064, 12288, 0.109942, 0.035338, 68500, 14894, 0, 0, 64, 31, 13, 0.113607, 0.034950999999999996, 64832, 14977, 0, 0, 1608, 46, 15
do_deploy_source_date_epoch, 760651, 0.24, 20, 4, 2, 0, 785371, 162715, 475, 327, 0, 122880, 0, 0.20305399999999998, 0.04061, 70780, 19076, 0, 0, 200, 34, 109, 0.025882, 0.007032999999999999, 67976, 4683, 0, 0, 40, 67, 73
