Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_prepare_recipe_sysroot, 2004471, 0.37, 13, 5, 1, 1, 1864429, 1138706, 572, 327, 73728, 1179648, 0, 0.132123, 0.053675, 69484, 9088, 0, 144, 144, 22, 62, 0.01546, 0.010327, 64416, 1203, 0, 0, 2160, 16, 10
do_collect_spdx_deps, 1475382, 0.24, 16, 0, 0, 0, 369426, 46488, 41, 49, 589824, 53248, 0, 0.163855, 0.0045509999999999995, 69572, 7078, 0, 1152, 104, 32, 51, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_compile_ptest_base, 2297998, 0.05, 11, 2, 0, 0, 328271, 37045, 3686, 131, 0, 24576, 0, 0.115365, 0.027846, 71828, 5999, 0, 0, 48, 27, 25, 0.0, 0.003034, 69108, 365, 0, 0, 0, 1, 27
do_recipe_qa, 490346, 0.08, 9, 1, 1, 0, 518939, 126500, 400, 210, 0, 102400, 0, 0.098939, 0.015221, 66016, 16077, 0, 0, 168, 23, 36, 0.015583, 0.000699, 63196, 4012, 0, 0, 32, 149, 6
do_install, 2299190, 4.59, 21, 1, 55, 16, 11387933, 3541584, 10190, 930, 1531904, 3530752, 0, 0.219414, 0.017207999999999998, 65952, 14795, 0, 0, 224, 691, 448, 0.558314, 0.167104, 63876, 78941, 2, 2992, 6672, 1447, 2127
do_packagedata, 2597458, 1.06, 17, 3, 4, 3, 1282015, 705372, 1430, 440, 0, 585728, 0, 0.176369, 0.037793, 73768, 21609, 0, 0, 360, 73, 74, 0.044149, 0.030514999999999997, 71032, 7091, 1, 0, 784, 144, 159
do_compile, 2216557, 5.44, 18, 1, 1267, 170, 195139841, 25045358, 48273, 10047, 3710976, 13459456, 3440640, 0.184143, 0.016368, 71752, 6339, 0, 0, 1224, 285, 93, 12.670244, 1.70291, 97964, 589118, 12, 7248, 25064, 4671, 7916
do_install_ptest_base, 2316658, 0.75, 12, 3, 2, 0, 965486, 476053, 888, 306, 188416, 557056, 77824, 0.126194, 0.035054, 66292, 11014, 0, 0, 72, 65, 268, 0.026083, 0.009243999999999999, 64216, 4546, 0, 368, 1016, 221, 151
do_configure_ptest_base, 2215110, 0.12, 11, 2, 0, 0, 328283, 37095, 6584, 131, 0, 28672, 0, 0.11481799999999999, 0.024603, 71824, 6022, 0, 0, 56, 27, 38, 0.003036, 0.0, 69104, 366, 0, 0, 0, 1, 26
do_fetch, 490585, 3.51, 7, 1, 0, 1, 1993712, 1695646, 1440, 2419, 0, 1691648, 0, 0.076474, 0.018208, 64164, 8252, 0, 0, 120, 94, 16, 0.004122, 0.010443, 60612, 901, 0, 0, 3184, 866, 4
do_unpack, 508461, 0.25, 10, 3, 11, 2, 16812400, 28245622, 3205, 4457, 4096, 16568320, 0, 0.10339, 0.037219999999999996, 65296, 12045, 0, 0, 128, 11, 130, 0.115863, 0.025679999999999998, 61860, 4592, 0, 8, 32232, 1618, 1469
do_patch, 518629, 0.10, 9, 2, 4, 0, 734298, 133143, 705, 141, 0, 155648, 4096, 0.092971, 0.024253, 65256, 11248, 0, 0, 136, 12, 17, 0.040601, 0.007214, 59668, 9367, 1, 0, 168, 147, 36
do_package_qa, 3019452, 3.05, 35, 11, 7, 4, 7684646, 288812, 5200, 361, 16384, 163840, 0, 0.35948199999999997, 0.111563, 58256, 22108, 0, 32, 280, 82, 3732, 0.07901, 0.04811, 55928, 24472, 0, 0, 40, 190, 190
do_package, 2322211, 6.89, 158, 94, 253, 86, 54820699, 23246534, 38605, 4286, 0, 13500416, 4194304, 1.58709, 0.949179, 69628, 90893, 0, 0, 1352, 1123, 10653, 2.532993, 0.869883, 303476, 202655, 4, 0, 25016, 9939, 5869
do_configure, 2005828, 92.86, 36, 6, 1923, 371, 295551163, 53415628, 136842, 45757, 2932736, 49233920, 25169920, 0.369677, 0.060934999999999996, 71604, 17137, 0, 920, 408, 660, 171, 19.235822, 3.715472, 68728, 1758103, 69, 4808, 95752, 17458, 19645
do_package_write_rpm, 3018464, 17.06, 37, 8, 2683, 125, 35290591, 5808552, 8782, 2773, 630784, 3579904, 0, 0.372649, 0.083808, 57968, 25412, 3, 952, 640, 1611, 941, 26.837147, 1.259271, 1952976, 914016, 0, 280, 6352, 16024, 9039
do_create_runtime_spdx, 3112977, 2.35, 32, 7, 3, 1, 3782695, 674461, 2823, 321, 299008, 368640, 0, 0.32165099999999996, 0.079247, 63536, 23891, 0, 584, 624, 104, 110, 0.036545, 0.011545, 60184, 5474, 0, 0, 96, 128, 75
do_create_spdx, 2636424, 4.31, 42, 8, 19, 5, 2756828, 2015353, 1826, 1743, 8192, 843776, 0, 0.424251, 0.081036, 76032, 54517, 0, 16, 1496, 170, 611, 0.191456, 0.059432, 72464, 16678, 0, 0, 152, 1735, 513
do_populate_lic, 777168, 0.50, 12, 3, 2, 2, 887429, 257787, 604, 260, 0, 143360, 0, 0.12315899999999999, 0.038221, 70000, 16499, 0, 0, 216, 47, 59, 0.021100999999999998, 0.021821999999999998, 66916, 4990, 1, 0, 64, 144, 88
