Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 704071, 0.03, 13, 0, 0, 0, 568915, 47416, 46, 54, 0, 49152, 0, 0.135187, 0.003862, 69384, 7416, 0, 0, 96, 1, 98, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 696135, 0.35, 13, 2, 1, 0, 718330, 128547, 392, 222, 0, 106496, 0, 0.139308, 0.023218, 70632, 16816, 0, 0, 176, 24, 11, 0.017575999999999998, 0.005340999999999999, 67832, 4036, 1, 0, 32, 137, 11
do_install, 1402935, 0.12, 17, 1, 1, 4, 4446721, 3664979, 1508, 1487, 1200128, 3874816, 0, 0.172981, 0.016090999999999998, 73192, 14631, 0, 0, 232, 181, 8, 0.019849, 0.042075, 70468, 4810, 0, 2344, 7336, 161, 7
do_compile, 1402546, 0.17, 9, 2, 141, 13, 26829453, 8824400, 11565, 2722, 94208, 8970240, 6246400, 0.09865199999999999, 0.028773, 72672, 9132, 0, 0, 192, 33, 3, 1.418944, 0.133147, 69944, 81165, 6, 184, 17328, 663, 522
do_prepare_recipe_sysroot, 1402291, 0.29, 25, 14, 2, 1, 3324627, 2092514, 1051, 593, 32768, 2252800, 0, 0.255553, 0.1494, 72296, 10301, 0, 64, 184, 11, 2, 0.0264, 0.011571999999999999, 67408, 977, 0, 0, 4216, 16, 1
do_fetch, 696570, 0.03, 16, 1, 0, 0, 1044465, 71826, 231, 95, 0, 61440, 0, 0.16372899999999999, 0.016371999999999998, 68680, 8687, 0, 0, 120, 5, 33, 0.009115, 0.0065639999999999995, 64960, 1972, 0, 0, 0, 7, 8
do_populate_lic, 759181, 0.30, 18, 2, 2, 1, 985873, 222507, 583, 270, 0, 139264, 0, 0.183745, 0.02088, 71340, 18965, 0, 0, 224, 37, 167, 0.02545, 0.013026, 68248, 5026, 0, 0, 48, 86, 98
do_patch, 699182, 0.28, 9, 5, 23, 5, 2874862, 234635, 4372, 438, 0, 241664, 4096, 0.097573, 0.052538999999999995, 68640, 15388, 0, 0, 144, 37, 12, 0.238649, 0.059656, 62760, 66623, 2, 0, 328, 1068, 60
do_configure, 1402425, 0.20, 20, 2, 6, 3, 7400868, 6568973, 2493, 1064, 6418432, 6803456, 65536, 0.200087, 0.02401, 73120, 11868, 0, 8, 144, 13, 2, 0.06367099999999999, 0.036622999999999996, 70200, 6329, 0, 12528, 13144, 195, 3
do_create_runtime_spdx, 792612, 0.49, 16, 3, 2, 0, 995673, 355728, 434, 249, 0, 135168, 0, 0.160851, 0.030431, 72080, 16594, 0, 0, 184, 41, 233, 0.023259, 0.009212, 69280, 4285, 0, 0, 80, 94, 73
do_generate_toolchain_file, 761812, 0.04, 16, 1, 0, 0, 541284, 42039, 76, 73, 0, 36864, 0, 0.160991, 0.011231, 70704, 8910, 0, 0, 56, 1, 123, 0.003338, 0.0, 68012, 501, 0, 0, 16, 5, 3
do_populate_sysroot, 1403118, 0.23, 19, 5, 5, 3, 5838279, 1671173, 2797, 1085, 0, 425984, 4096, 0.19275599999999998, 0.05622, 73388, 31742, 0, 0, 416, 97, 11, 0.054627999999999996, 0.034811, 71148, 15449, 0, 0, 416, 354, 25
do_create_spdx, 704840, 0.57, 25, 4, 3, 0, 1320058, 521155, 668, 329, 0, 221184, 0, 0.25237899999999996, 0.045510999999999996, 73160, 21715, 0, 0, 328, 42, 82, 0.036718, 0.007868, 69552, 5256, 0, 0, 104, 126, 62
do_unpack, 696817, 0.23, 9, 3, 12, 5, 5167566, 9873060, 7970, 4313, 0, 11440128, 12288, 0.099119, 0.038939, 68712, 18704, 0, 0, 88, 46, 7, 0.129709, 0.059883, 64796, 21123, 0, 0, 22256, 917, 13
do_deploy_source_date_epoch, 761832, 0.19, 23, 3, 1, 1, 774995, 164321, 536, 330, 0, 118784, 0, 0.23544099999999998, 0.030379, 71048, 19363, 0, 0, 192, 64, 47, 0.018808, 0.012143, 68240, 4706, 0, 0, 40, 83, 81
