Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_package, 2597418, 5.01, 63, 47, 111, 21, 18064992, 7304660, 10614, 1697, 0, 5136384, 1437696, 0.6364029999999999, 0.47242199999999995, 68340, 41558, 0, 0, 672, 499, 2487, 1.111484, 0.215417, 66204, 64782, 1, 0, 9360, 1598, 1778
do_collect_spdx_deps, 1479268, 0.13, 15, 0, 0, 0, 359356, 45039, 37, 47, 221184, 53248, 0, 0.153226, 0.0038299999999999996, 69516, 5096, 0, 432, 104, 25, 48, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 645255, 0.09, 12, 3, 1, 0, 531311, 125386, 398, 208, 0, 102400, 0, 0.12620599999999998, 0.038244, 68420, 16361, 0, 0, 168, 26, 13, 0.011545, 0.007461, 65620, 3988, 0, 0, 32, 129, 15
do_install, 2593195, 1.71, 18, 3, 11, 5, 2293128, 1027163, 3525, 501, 266240, 1024000, 0, 0.182193, 0.031685, 66472, 14707, 0, 0, 192, 213, 336, 0.110316, 0.054509999999999996, 64392, 21482, 0, 520, 1808, 227, 1103
do_create_runtime_spdx, 3084193, 1.16, 20, 3, 3, 1, 1127986, 414013, 686, 256, 73728, 167936, 0, 0.20069599999999999, 0.033449, 61840, 19192, 0, 144, 240, 67, 70, 0.034304, 0.011441999999999999, 58308, 5359, 0, 0, 88, 114, 76
do_packagedata, 2622040, 1.03, 19, 4, 4, 1, 799784, 248933, 902, 314, 0, 204800, 0, 0.190381, 0.042307, 73188, 24100, 0, 0, 232, 79, 76, 0.044718, 0.017575, 70388, 6911, 0, 0, 168, 115, 86
do_compile, 2584317, 4.29, 12, 1, 324, 29, 26142665, 4850829, 8362, 2211, 335872, 1634304, 0, 0.123914, 0.010326, 72448, 6368, 0, 0, 320, 75, 113, 3.244898, 0.299081, 69748, 106247, 1, 656, 2872, 1122, 1885
do_fetch, 652617, 0.92, 13, 0, 0, 0, 735949, 385686, 553, 639, 0, 389120, 0, 0.132496, 0.0040149999999999995, 66392, 8056, 0, 0, 120, 57, 44, 0.009802, 0.0026669999999999997, 62604, 937, 1, 0, 640, 170, 1
do_package_qa, 3083910, 2.36, 31, 7, 13, 5, 2707935, 312134, 2262, 307, 16384, 159744, 0, 0.312006, 0.078001, 56728, 24425, 0, 32, 272, 85, 1287, 0.13367099999999998, 0.055390999999999996, 54208, 35333, 0, 0, 40, 238, 266
do_create_spdx, 2714589, 1.11, 28, 3, 5, 2, 1488319, 872989, 815, 736, 4096, 356352, 0, 0.280679, 0.037703, 75184, 24473, 0, 8, 584, 73, 176, 0.051431, 0.020704, 71628, 6864, 0, 0, 112, 355, 176
do_prepare_recipe_sysroot, 2536581, 0.31, 13, 6, 2, 0, 1861366, 1139681, 578, 327, 73728, 1191936, 0, 0.13705599999999998, 0.066387, 70572, 8787, 0, 144, 152, 22, 63, 0.020189, 0.004287, 65380, 1203, 0, 0, 2176, 17, 9
do_patch, 679858, 0.06, 7, 2, 1, 0, 1150799, 635223, 346, 209, 0, 647168, 4096, 0.074171, 0.023422, 67320, 10708, 0, 0, 120, 6, 4, 0.010213, 0.0014069999999999998, 61728, 962, 0, 0, 1144, 13, 4
do_configure, 2538362, 23.82, 26, 5, 276, 62, 39898586, 4748096, 21161, 7982, 548864, 4423680, 1265664, 0.261374, 0.053933999999999996, 73072, 19494, 0, 888, 296, 206, 152, 2.763105, 0.629606, 70172, 287128, 18, 184, 8344, 3216, 3267
do_populate_lic, 743795, 0.48, 16, 2, 3, 0, 877908, 255915, 600, 258, 0, 143360, 0, 0.160552, 0.025349999999999998, 69760, 18381, 0, 0, 216, 50, 75, 0.032084, 0.009477, 66668, 5009, 1, 0, 64, 119, 47
do_package_write_rpm, 3083157, 4.35, 29, 6, 323, 19, 9032583, 1505402, 3314, 681, 2043904, 995328, 0, 0.293555, 0.062018, 56920, 24463, 1, 1360, 488, 364, 532, 3.238438, 0.197133, 470848, 139661, 0, 2632, 1456, 1968, 1210
do_deploy_source_date_epoch, 693550, 0.14, 17, 2, 1, 1, 593063, 162061, 493, 284, 0, 114688, 0, 0.17035899999999998, 0.028392999999999998, 69132, 18762, 0, 0, 184, 44, 50, 0.018386, 0.010971999999999999, 66308, 4659, 0, 0, 40, 78, 57
do_unpack, 673577, 0.02, 5, 0, 1, 0, 2135435, 2860932, 281, 380, 0, 1703936, 0, 0.050401999999999995, 0.0084, 66656, 7467, 0, 0, 56, 7, 1, 0.010562, 0.00248, 62800, 996, 0, 0, 3272, 43, 1
