Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_package_qa, 3017855, 10.06, 103, 46, 29, 40, 46085117, 677315, 31685, 581, 319488, 176128, 0, 1.030704, 0.465479, 64984, 61584, 3, 624, 288, 1541, 22510, 0.29365399999999997, 0.40976999999999997, 58384, 148152, 5, 0, 56, 730, 1027
do_create_spdx, 2714736, 3.22, 76, 20, 11, 14, 6769422, 5749364, 2305, 4445, 12288, 2424832, 0, 0.764558, 0.208152, 82400, 66315, 0, 24, 4352, 174, 1120, 0.117808, 0.14154999999999998, 73000, 16901, 0, 0, 384, 1892, 752
do_collect_spdx_deps, 2574852, 0.12, 14, 0, 0, 0, 376862, 48032, 45, 51, 0, 49152, 0, 0.144505, 0.0, 72468, 5508, 0, 0, 96, 0, 119, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_compile_ptest_base, 2651630, 3.13, 14, 1, 1, 0, 479221, 195095, 509, 350, 16384, 172032, 0, 0.141841, 0.013297, 72556, 8619, 0, 0, 56, 55, 113, 0.016825, 0.004652, 69856, 2344, 0, 32, 280, 69, 80
do_recipe_qa, 54962, 0.06, 8, 0, 0, 0, 515293, 127511, 408, 212, 0, 102400, 0, 0.085461, 0.008139, 63148, 16581, 0, 0, 168, 26, 23, 0.008206, 0.005582, 60348, 3994, 0, 0, 32, 158, 7
do_install, 2654195, 11.28, 31, 5, 153, 37, 60716896, 36213753, 30296, 3943, 32768, 36257792, 18264064, 0.31153, 0.051920999999999995, 67608, 15338, 0, 0, 424, 1298, 131, 1.53851, 0.377335, 65508, 242103, 0, 64, 70392, 4623, 3687
do_compile, 2573921, 44.45, 34, 4, 5224, 616, 507234026, 105258231, 144365, 33705, 10584064, 45150208, 11608064, 0.34669099999999997, 0.043336, 72944, 8858, 0, 0, 2232, 726, 296, 52.243979, 6.160057, 74424, 1968981, 68, 20672, 85952, 22481, 32651
do_packagedata, 2710915, 2.19, 21, 5, 4, 2, 1777944, 951269, 1499, 454, 0, 704512, 0, 0.21571099999999999, 0.056766, 74124, 23771, 0, 0, 336, 79, 187, 0.047739, 0.02795, 71324, 7205, 0, 0, 1040, 170, 147
do_install_ptest_base, 2665974, 2.93, 18, 2, 15, 39, 12876860, 12523482, 26953, 4345, 12644352, 17969152, 3928064, 0.18900899999999998, 0.025200999999999998, 67256, 11857, 0, 0, 2272, 401, 356, 0.156615, 0.399833, 65180, 5247, 0, 24696, 32824, 3075, 20270
do_patch, 338107, 0.17, 8, 2, 10, 2, 1952241, 713344, 1967, 385, 0, 741376, 4096, 0.08745599999999999, 0.022813999999999997, 64404, 12568, 0, 0, 144, 21, 9, 0.103519, 0.023986, 58816, 28567, 0, 0, 1304, 457, 51
do_fetch, 55080, 0.03, 5, 0, 0, 0, 899687, 64459, 232, 80, 0, 57344, 0, 0.059107999999999994, 0.008444, 61424, 8165, 0, 0, 112, 3, 4, 0.008608, 0.0034709999999999997, 57884, 1963, 0, 0, 0, 7, 0
do_configure, 2435347, 68.55, 33, 5, 852, 219, 213313750, 15815572, 95320, 24786, 3018752, 16588800, 10989568, 0.335798, 0.053533, 72300, 17232, 0, 168, 360, 430, 167, 8.523757, 2.194518, 69424, 1040993, 48, 5728, 32040, 10809, 10293
do_populate_lic, 719216, 0.44, 19, 2, 3, 0, 1089138, 300421, 682, 282, 176128, 163840, 0, 0.19564499999999999, 0.027948999999999998, 69700, 18796, 3, 344, 256, 57, 79, 0.034217, 0.009634, 66680, 5045, 0, 0, 64, 126, 101
do_prepare_recipe_sysroot, 2430142, 1.62, 13, 7, 1, 1, 1968468, 1143593, 612, 331, 147456, 1191936, 0, 0.137552, 0.07053899999999999, 70436, 7407, 0, 280, 152, 40, 148, 0.011191999999999999, 0.0144, 65520, 1219, 0, 8, 2176, 43, 23
do_create_runtime_spdx, 3112456, 3.38, 46, 7, 3, 1, 13391863, 680669, 4411, 322, 2015232, 364544, 0, 0.467744, 0.07070499999999999, 82136, 33215, 1, 3936, 616, 163, 131, 0.030806999999999998, 0.016745, 66712, 5481, 1, 0, 96, 136, 94
do_package_write_rpm, 3017826, 29.58, 45, 8, 3714, 157, 243083150, 34514367, 40822, 4582, 200704, 22167552, 0, 0.458982, 0.08020999999999999, 58532, 25880, 0, 304, 880, 1918, 1671, 37.145107, 1.5709689999999998, 2208372, 1006048, 0, 88, 42416, 30394, 16260
do_populate_sysroot, 2671146, 2.16, 32, 5, 20, 9, 19128529, 9433650, 3984, 1344, 4096, 5144576, 565248, 0.32023799999999997, 0.052697, 72968, 28079, 0, 0, 4760, 153, 107, 0.209365, 0.095534, 71152, 23939, 2, 8, 5288, 397, 277
do_package, 2670108, 25.71, 513, 218, 2755, 399, 346341936, 118137273, 177338, 16232, 8192, 68001792, 16449536, 5.135408, 2.184203, 73040, 162303, 0, 16, 8728, 1801, 46238, 27.552175, 3.998814, 507444, 1372481, 20, 0, 124088, 87812, 30680
do_configure_ptest_base, 2573039, 0.09, 16, 3, 0, 0, 335796, 38439, 5894, 133, 0, 28672, 0, 0.16406099999999998, 0.036458, 72820, 8352, 0, 0, 56, 27, 45, 0.0036609999999999998, 0.0, 70096, 365, 0, 0, 0, 1, 27
do_unpack, 58807, 0.26, 4, 2, 16, 6, 4908546, 25909611, 2605, 4065, 0, 32485376, 12288, 0.046904999999999995, 0.028863999999999997, 61412, 18533, 0, 0, 80, 40, 2, 0.16721, 0.063069, 57876, 28337, 0, 0, 63368, 104, 43
do_deploy_source_date_epoch, 371239, 0.27, 17, 2, 1, 1, 578118, 163970, 492, 288, 0, 118784, 0, 0.17862499999999998, 0.023816, 65844, 18818, 0, 0, 192, 40, 413, 0.014223, 0.015361999999999999, 63044, 4670, 0, 0, 40, 78, 80
