Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_install, 2638112, 12.98, 23, 3, 83, 15, 21459161, 15137067, 12781, 1745, 8065024, 15155200, 53248, 0.23598, 0.035619, 67536, 15349, 0, 0, 280, 454, 391, 0.8398019999999999, 0.15398199999999998, 65424, 145027, 10, 15752, 29320, 2281, 2702
do_create_runtime_spdx, 3090409, 1.85, 18, 5, 3, 0, 2420452, 427314, 837, 260, 139264, 172032, 0, 0.18204499999999998, 0.054225999999999996, 62812, 22698, 0, 272, 248, 47, 123, 0.036155, 0.009726, 59112, 5360, 0, 0, 88, 106, 79
do_collect_spdx_deps, 2573723, 0.23, 17, 1, 0, 0, 357433, 46426, 40, 49, 0, 53248, 0, 0.17205199999999998, 0.020006, 72316, 7336, 0, 0, 104, 0, 64, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_create_spdx, 2669018, 1.67, 38, 10, 5, 2, 2582423, 2764133, 990, 3381, 12288, 983040, 0, 0.380681, 0.107667, 76248, 28046, 0, 16, 1768, 80, 1426, 0.054814999999999996, 0.023311, 72628, 7333, 1, 8, 152, 399, 102
do_recipe_qa, 41265, 0.05, 8, 0, 1, 0, 489390, 126040, 403, 210, 0, 102400, 0, 0.086633, 0.0, 61940, 15917, 0, 0, 168, 27, 1, 0.013465999999999999, 0.000388, 59124, 3983, 0, 0, 32, 150, 6
do_package, 2655496, 11.16, 114, 60, 408, 84, 186241360, 73978118, 37844, 8568, 8192, 42553344, 15437824, 1.143851, 0.607181, 69376, 63620, 0, 16, 864, 1034, 5176, 4.086775, 0.846517, 443012, 243716, 3, 0, 82248, 8781, 7047
do_packagedata, 2667450, 0.88, 20, 2, 4, 1, 916746, 333614, 940, 331, 0, 241664, 0, 0.20673999999999998, 0.022959, 74064, 21519, 0, 0, 224, 71, 66, 0.049936999999999995, 0.011344, 71264, 6964, 0, 0, 248, 108, 108
do_compile, 2579520, 32.57, 15, 2, 1682, 254, 244339645, 40297819, 79430, 16813, 1896448, 25849856, 7192576, 0.154369, 0.025727999999999997, 73328, 6680, 0, 0, 1248, 288, 83, 16.822982, 2.5433399999999997, 70628, 1077663, 25, 3704, 49240, 13859, 12320
do_fetch, 41363, 2.48, 11, 1, 2, 2, 2562460, 2279839, 2548, 3277, 0, 2269184, 0, 0.11921899999999999, 0.012773, 60072, 8187, 0, 0, 128, 185, 11, 0.022729, 0.02435, 56588, 908, 0, 0, 4304, 1416, 5
do_populate_sysroot, 2655132, 3.55, 95, 8, 13, 8, 16294663, 7773641, 3908, 1166, 0, 6696960, 1024000, 0.9544769999999999, 0.088229, 73004, 28915, 0, 0, 8624, 100, 65, 0.132178, 0.087223, 70916, 33413, 0, 0, 4456, 325, 139
do_prepare_recipe_sysroot, 2429330, 1.90, 12, 6, 2, 0, 1802380, 1056178, 578, 307, 262144, 1101824, 0, 0.121018, 0.06915299999999999, 70456, 7254, 0, 504, 160, 35, 64, 0.025807, 0.0, 65356, 1201, 0, 8, 1992, 36, 42
do_patch, 307591, 0.14, 11, 1, 6, 2, 2181832, 748064, 1510, 342, 0, 778240, 4096, 0.11483099999999999, 0.015837999999999998, 63536, 12404, 0, 0, 144, 17, 10, 0.06934, 0.024273, 57468, 18761, 0, 0, 1376, 287, 38
do_package_write_rpm, 3089555, 25.04, 26, 9, 1035, 29, 105834847, 8266751, 8424, 1248, 2056192, 5488640, 0, 0.264721, 0.09207599999999999, 57436, 25898, 0, 648, 528, 744, 472, 10.355188, 0.29342599999999996, 660088, 197058, 12, 3368, 10192, 3419, 4102
do_configure, 2435027, 72.97, 35, 4, 891, 166, 215034500, 27340926, 93317, 26523, 987136, 26185728, 16695296, 0.355714, 0.045488, 72404, 17908, 0, 696, 384, 421, 192, 8.915969, 1.666468, 69508, 994003, 35, 1232, 50760, 10494, 8887
do_unpack, 42072, 0.06, 4, 1, 4, 1, 14467498, 23591482, 1714, 1836, 0, 12337152, 0, 0.041122, 0.012336, 60092, 9562, 0, 0, 64, 14, 1, 0.047622, 0.010987, 56536, 2990, 0, 0, 24032, 382, 4
do_package_qa, 3089603, 3.76, 32, 12, 16, 16, 18946651, 400899, 4993, 370, 15577088, 163840, 0, 0.327914, 0.12491899999999999, 60204, 30036, 161, 29584, 272, 492, 3007, 0.167207, 0.161461, 57892, 62728, 1, 840, 48, 357, 469
do_populate_lic, 745111, 0.40, 15, 2, 1, 2, 831775, 245258, 599, 259, 24576, 143360, 0, 0.159239, 0.026539, 69808, 18423, 1, 48, 216, 47, 125, 0.018799, 0.022532999999999997, 66724, 5006, 0, 0, 64, 142, 68
do_deploy_source_date_epoch, 313321, 0.14, 16, 3, 2, 0, 558020, 162478, 481, 289, 0, 114688, 0, 0.16241999999999998, 0.039613999999999996, 65352, 18691, 0, 0, 184, 29, 16, 0.020196, 0.006128, 62552, 4672, 1, 0, 40, 90, 43
