Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_patch, 31172, 0.05, 7, 0, 2, 0, 945674, 134077, 672, 140, 0, 159744, 4096, 0.074983, 0.004164999999999999, 61240, 11220, 0, 0, 128, 13, 4, 0.026312, 0.002675, 55408, 9361, 0, 0, 184, 142, 6
do_collect_spdx_deps, 580983, 0.01, 10, 2, 0, 0, 579568, 45701, 39, 52, 8192, 53248, 0, 0.109966, 0.020364, 67052, 6954, 0, 16, 104, 2, 88, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 26979, 0.05, 8, 2, 0, 0, 704734, 126580, 398, 220, 0, 106496, 0, 0.08061299999999999, 0.020153, 61748, 16467, 0, 0, 176, 27, 7, 0.009101999999999999, 0.004582999999999999, 58948, 4009, 0, 0, 32, 123, 10
do_install, 258143, 0.24, 17, 0, 13, 4, 11338719, 8956972, 3011, 809, 0, 8904704, 4096, 0.171623, 0.0041849999999999995, 64920, 14483, 0, 0, 144, 63, 18, 0.138125, 0.049039, 62228, 35161, 3, 0, 17248, 510, 147
do_create_spdx, 581450, 0.21, 17, 3, 2, 1, 1261352, 495908, 616, 291, 0, 212992, 0, 0.174683, 0.03573, 69360, 21166, 0, 0, 312, 41, 153, 0.025042, 0.014192, 66224, 5225, 0, 0, 104, 85, 57
do_populate_lic, 753231, 0.20, 19, 3, 2, 0, 840468, 173430, 578, 261, 4096, 135168, 0, 0.197652, 0.033643, 71012, 18625, 0, 8, 232, 45, 134, 0.028090999999999998, 0.00869, 67948, 4967, 0, 0, 32, 78, 62
do_compile, 241863, 2.98, 21, 0, 456, 76, 48360405, 12166848, 31782, 6337, 0, 12263424, 2715648, 0.21997, 0.003859, 64696, 8553, 0, 0, 344, 251, 25, 4.566038, 0.76012, 61988, 510012, 9, 0, 23608, 6148, 3768
do_fetch, 27045, 12.12, 9, 0, 99, 18, 34493699, 35158082, 44667, 13258, 0, 12517376, 12288, 0.09659999999999999, 0.007728, 60672, 10131, 0, 0, 160, 230, 15, 0.99373, 0.188049, 56736, 16366, 0, 0, 24288, 19432, 199
do_populate_sysroot, 260159, 0.31, 22, 4, 10, 5, 28483592, 9914861, 5758, 1900, 8192, 1081344, 0, 0.223432, 0.048748, 65416, 32613, 0, 8, 824, 111, 18, 0.107542, 0.058096999999999996, 63200, 20904, 2, 8, 1288, 250, 95
do_prepare_recipe_sysroot, 173061, 0.08, 13, 0, 1, 0, 1848084, 1338736, 468, 375, 0, 1376256, 0, 0.137211, 0.008315, 63828, 8109, 0, 0, 152, 2, 150, 0.014796, 0.004017, 57892, 615, 0, 0, 2536, 8, 32
do_configure, 174158, 12.26, 27, 3, 568, 124, 132258623, 16823770, 67042, 17877, 0, 16883712, 8474624, 0.276298, 0.03299, 64720, 16723, 0, 0, 328, 275, 418, 5.683483, 1.248737, 61824, 948014, 47, 0, 32648, 7542, 3886
do_create_runtime_spdx, 789170, 0.45, 16, 2, 2, 1, 1006648, 354567, 425, 247, 0, 135168, 0, 0.160801, 0.022971, 71340, 16552, 0, 0, 184, 40, 182, 0.020037, 0.012352, 68524, 4262, 1, 0, 80, 83, 60
do_unpack, 31112, 0.14, 7, 0, 9, 2, 4920417, 2823685, 2209, 1106, 0, 4730880, 12288, 0.074657, 0.008783, 61548, 17347, 0, 0, 72, 34, 15, 0.09249099999999999, 0.024811, 57892, 16422, 0, 0, 9168, 88, 31
do_deploy_source_date_epoch, 31290, 0.07, 8, 2, 1, 0, 758185, 156421, 502, 300, 0, 118784, 0, 0.084784, 0.028260999999999998, 62436, 18515, 0, 0, 192, 31, 1, 0.014920999999999999, 0.001818, 59564, 4681, 0, 0, 40, 141, 12
