Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 1475433, 0.29, 22, 0, 0, 0, 369137, 46613, 41, 49, 376832, 53248, 0, 0.222028, 0.004269, 69572, 7060, 0, 736, 104, 29, 53, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_populate_lic, 777268, 0.43, 13, 2, 2, 1, 887211, 257868, 608, 260, 0, 143360, 0, 0.133619, 0.020877, 69992, 16485, 0, 0, 216, 48, 114, 0.025414, 0.017018, 66908, 5002, 0, 0, 64, 108, 101
do_compile_ptest_base, 2298185, 0.06, 10, 1, 0, 0, 328060, 25809, 57, 59, 0, 24576, 0, 0.10485399999999999, 0.016131, 71792, 5997, 0, 0, 48, 2, 183, 0.0, 0.003012, 69096, 363, 0, 0, 0, 1, 0
do_recipe_qa, 490431, 0.08, 9, 3, 1, 0, 518937, 126608, 399, 210, 0, 102400, 0, 0.09048199999999999, 0.03016, 66024, 16075, 0, 0, 168, 26, 6, 0.012036, 0.0052759999999999994, 63204, 3987, 0, 0, 32, 130, 15
do_packagedata, 2599746, 1.29, 22, 3, 4, 3, 1343624, 748448, 1456, 450, 0, 618496, 0, 0.229185, 0.036187, 73548, 24067, 0, 0, 368, 65, 114, 0.045773, 0.031222999999999997, 70796, 7085, 1, 0, 840, 117, 85
do_deploy_source_date_epoch, 558851, 0.08, 10, 1, 0, 0, 585598, 163813, 486, 289, 0, 118784, 0, 0.102168, 0.011788, 67500, 18902, 0, 0, 192, 29, 2, 0.009124, 0.007927, 64700, 4686, 0, 0, 40, 142, 3
do_install, 2299310, 5.49, 24, 2, 98, 31, 16903795, 4378874, 13954, 1257, 1581056, 4341760, 4096, 0.247055, 0.025063, 65960, 14805, 0, 0, 264, 417, 337, 0.985854, 0.3198, 63880, 124199, 6, 3088, 8216, 2349, 2967
do_compile, 2266989, 9.99, 21, 3, 1600, 231, 258832796, 35372616, 63508, 13195, 4579328, 20164608, 5832704, 0.21115399999999998, 0.035856, 71664, 8455, 0, 0, 1640, 426, 87, 16.000893, 2.311432, 97960, 784426, 31, 8944, 37744, 6491, 9610
do_install_ptest_base, 2317076, 0.34, 13, 2, 0, 1, 624131, 126718, 723, 187, 135168, 180224, 4096, 0.133674, 0.024304, 66292, 10938, 0, 0, 64, 179, 210, 0.006612, 0.017561, 64216, 2517, 0, 264, 288, 179, 88
do_fetch, 490656, 1.61, 10, 1, 1, 0, 2416597, 2119039, 1558, 3002, 0, 2113536, 0, 0.104317, 0.012036, 64212, 8430, 0, 0, 120, 111, 5, 0.013158999999999999, 0.001418, 60368, 901, 0, 0, 4008, 785, 3
do_package_qa, 2862845, 3.89, 54, 10, 7, 5, 9151958, 290944, 6150, 367, 0, 163840, 0, 0.5482469999999999, 0.103722, 70396, 22376, 0, 0, 280, 141, 4399, 0.07725599999999999, 0.055548, 68168, 24652, 0, 0, 40, 180, 205
do_create_spdx, 2636826, 4.38, 40, 13, 13, 12, 2994307, 2208681, 1957, 1866, 8192, 913408, 0, 0.404889, 0.134963, 76084, 57602, 0, 16, 1624, 179, 553, 0.13905599999999999, 0.127301, 72516, 17510, 1, 0, 160, 1888, 540
do_prepare_recipe_sysroot, 2005640, 0.46, 17, 6, 1, 0, 1873196, 1144067, 579, 329, 61440, 1191936, 0, 0.17122199999999999, 0.060878999999999996, 69548, 9277, 0, 120, 152, 23, 103, 0.015208, 0.008452, 64416, 1203, 0, 0, 2176, 16, 45
do_patch, 518993, 0.10, 9, 1, 3, 0, 738307, 136589, 681, 142, 0, 159744, 4096, 0.09737, 0.016228, 65232, 11174, 0, 0, 136, 13, 9, 0.038951, 0.006993999999999999, 59668, 9276, 0, 0, 176, 141, 39
do_configure, 2007751, 102.95, 42, 5, 2669, 507, 430843803, 74223233, 188873, 61703, 3518464, 69468160, 36876288, 0.42497799999999997, 0.055805, 71636, 16774, 0, 424, 464, 878, 123, 26.699188, 5.07438, 68756, 2454426, 86, 6448, 135216, 18488, 19602
do_create_runtime_spdx, 2862965, 1.50, 30, 7, 3, 1, 8532593, 693040, 2427, 326, 4096, 380928, 0, 0.306648, 0.074696, 90560, 28332, 0, 8, 648, 43, 141, 0.032924999999999996, 0.012093999999999999, 78120, 5476, 0, 0, 96, 137, 65
do_configure_ptest_base, 2263282, 0.06, 11, 1, 0, 0, 328071, 25859, 56, 59, 4096, 28672, 0, 0.111672, 0.01718, 71568, 8041, 0, 8, 56, 2, 258, 0.0, 0.003114, 68840, 364, 0, 0, 0, 1, 0
do_package_write_rpm, 2862583, 19.04, 53, 7, 2935, 155, 41798837, 6750307, 9589, 2976, 122880, 4186112, 0, 0.534667, 0.074388, 70032, 25581, 0, 152, 680, 1699, 881, 29.356054, 1.554139, 1592392, 976233, 0, 88, 7496, 20994, 9282
do_package, 2321156, 6.41, 152, 88, 255, 78, 63945479, 28498275, 41492, 4913, 81920, 16809984, 5812224, 1.5208439999999999, 0.8871589999999999, 69796, 90205, 0, 160, 1472, 1239, 12402, 2.55002, 0.7811009999999999, 300872, 184312, 5, 0, 31360, 6203, 8197
do_unpack, 509312, 0.27, 11, 1, 13, 5, 21924950, 36921883, 4272, 6123, 0, 23187456, 0, 0.11780399999999999, 0.016829, 65256, 12073, 0, 0, 128, 12, 38, 0.13636099999999998, 0.052341, 61860, 6633, 1, 0, 45160, 2246, 2281
