Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 574908, 0.04, 11, 1, 0, 0, 567761, 47463, 42, 54, 0, 53248, 0, 0.12003, 0.011615, 66852, 7017, 0, 0, 104, 0, 75, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_install, 349959, 0.60, 19, 1, 5, 0, 1411546, 364666, 2102, 644, 0, 344064, 0, 0.19025499999999998, 0.016987, 65924, 14319, 0, 0, 128, 107, 156, 0.059036, 0.008971, 63232, 10481, 0, 0, 544, 160, 146
do_recipe_qa, 43551, 0.05, 9, 0, 0, 0, 701761, 129136, 412, 222, 0, 106496, 0, 0.091653, 0.0038179999999999998, 62720, 16582, 0, 0, 176, 27, 2, 0.008355999999999999, 0.005607, 59920, 4019, 0, 0, 32, 136, 8
do_unpack, 317092, 0.08, 12, 2, 1, 0, 2230567, 2523371, 522, 468, 0, 1617920, 0, 0.121151, 0.020888, 65172, 11097, 0, 0, 128, 8, 21, 0.018518, 0.00883, 61756, 1747, 0, 0, 3032, 126, 3
do_fetch, 43611, 1.33, 7, 0, 0, 0, 707334, 204228, 274, 316, 0, 204800, 0, 0.078827, 0.003941, 61588, 8075, 0, 0, 112, 19, 0, 0.006536999999999999, 0.0, 58004, 903, 0, 0, 288, 69, 0
do_compile, 348742, 0.71, 17, 2, 29, 3, 3573920, 221341, 1638, 458, 0, 151552, 0, 0.17596399999999998, 0.022951, 66240, 8489, 0, 0, 104, 59, 128, 0.291937, 0.034726, 63544, 18153, 1, 0, 192, 104, 215
do_prepare_recipe_sysroot, 328628, 0.09, 8, 2, 1, 0, 1306596, 826490, 338, 252, 0, 860160, 0, 0.088131, 0.029377, 64944, 8002, 0, 0, 144, 2, 79, 0.011047, 0.003695, 59344, 597, 0, 0, 1536, 10, 10
do_patch, 317742, 0.06, 9, 2, 0, 0, 647041, 122228, 184, 87, 0, 126976, 4096, 0.096638, 0.028186, 65152, 10354, 0, 0, 120, 6, 67, 0.00697, 0.002185, 59564, 936, 0, 0, 128, 13, 8
do_configure, 329096, 9.67, 29, 2, 276, 53, 51034515, 5961233, 28615, 10007, 0, 6434816, 4001792, 0.297938, 0.025536999999999997, 66228, 16623, 0, 0, 304, 208, 151, 2.769614, 0.539052, 63360, 418155, 25, 0, 12264, 2985, 2603
do_populate_sysroot, 351441, 0.91, 28, 3, 7, 3, 2435550, 689430, 2102, 941, 0, 352256, 0, 0.284389, 0.037093999999999995, 66300, 31572, 0, 0, 480, 228, 143, 0.07627199999999999, 0.03401, 64168, 15192, 0, 0, 208, 235, 260
do_create_runtime_spdx, 765592, 0.12, 15, 3, 1, 1, 995379, 356731, 440, 249, 4096, 139264, 0, 0.159128, 0.035803, 71100, 18435, 0, 8, 192, 42, 31, 0.017636, 0.012348, 68300, 4263, 0, 0, 80, 84, 50
do_populate_lic, 765534, 0.13, 19, 3, 1, 1, 986993, 216888, 622, 275, 40960, 147456, 0, 0.190277, 0.036435999999999996, 71052, 18622, 1, 80, 240, 40, 35, 0.019433, 0.019187, 67956, 5013, 2, 0, 48, 92, 64
do_deploy_source_date_epoch, 328284, 0.12, 16, 1, 1, 1, 759458, 158474, 470, 296, 0, 118784, 0, 0.16350699999999999, 0.012263, 66120, 18767, 0, 0, 192, 28, 14, 0.012577999999999999, 0.01273, 63264, 4676, 0, 0, 40, 77, 31
do_create_spdx, 575333, 0.33, 18, 3, 1, 2, 1241333, 495315, 599, 287, 0, 212992, 0, 0.18393199999999998, 0.032699, 69092, 21143, 0, 0, 312, 34, 115, 0.017803, 0.020841, 66192, 5230, 0, 0, 104, 87, 66
