Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 2572964, 0.24, 14, 1, 0, 0, 346638, 44870, 34, 46, 0, 53248, 0, 0.15007399999999999, 0.011840999999999999, 72104, 7172, 0, 0, 104, 0, 95, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_patch, 273340, 0.08, 11, 0, 4, 0, 1357562, 640645, 877, 261, 0, 675840, 4096, 0.114503, 0.007896, 63224, 9839, 0, 0, 136, 14, 8, 0.042664, 0.005703, 57516, 9334, 0, 0, 1184, 142, 15
do_recipe_qa, 35862, 0.06, 7, 0, 1, 0, 473077, 124767, 378, 207, 0, 102400, 0, 0.07787899999999999, 0.008653, 62200, 16149, 0, 0, 168, 23, 3, 0.011089, 0.002833, 59392, 4013, 0, 0, 32, 139, 7
do_install, 2628806, 12.50, 23, 3, 101, 21, 9347448, 2114856, 15413, 2229, 278528, 2072576, 4096, 0.233235, 0.039531, 66836, 15026, 0, 0, 312, 525, 445, 1.011539, 0.21958699999999998, 64724, 186267, 17, 544, 3736, 3264, 3919
do_packagedata, 2664655, 0.86, 18, 3, 6, 1, 905366, 349925, 890, 329, 0, 241664, 0, 0.187615, 0.034110999999999995, 73624, 21505, 0, 0, 240, 47, 76, 0.061704999999999996, 0.012482, 70824, 6931, 0, 0, 232, 146, 58
do_compile, 2574662, 30.80, 16, 3, 1440, 170, 283010831, 16423324, 85845, 12775, 1298432, 5378048, 131072, 0.169236, 0.030375, 72904, 8473, 0, 0, 1128, 278, 67, 14.405517, 1.707313, 70212, 991098, 44, 2536, 9376, 13510, 10465
do_fetch, 35915, 18.31, 10, 0, 2, 0, 2479652, 2191912, 2241, 3166, 0, 2187264, 0, 0.100214, 0.0, 60848, 6344, 0, 0, 120, 282, 15, 0.029363, 0.004638, 56968, 906, 0, 0, 4152, 897, 8
do_populate_lic, 719966, 0.26, 14, 4, 2, 1, 755034, 186468, 587, 252, 110592, 135168, 0, 0.14868399999999998, 0.041936, 69500, 18475, 1, 216, 224, 42, 72, 0.026045, 0.018635, 66408, 4977, 0, 0, 40, 81, 53
do_prepare_recipe_sysroot, 2428712, 2.03, 14, 6, 2, 0, 1877988, 1140529, 597, 326, 643072, 1191936, 0, 0.145695, 0.06901299999999999, 70132, 6972, 0, 1248, 152, 48, 53, 0.020495, 0.004183, 65100, 1207, 0, 8, 2176, 34, 18
do_configure, 2434665, 69.78, 29, 5, 947, 158, 187108589, 29095285, 87881, 26157, 1503232, 26644480, 14901248, 0.297605, 0.057975, 72028, 16584, 0, 920, 376, 428, 192, 9.472394, 1.585308, 69172, 947083, 50, 2016, 51664, 10823, 9554
do_deploy_source_date_epoch, 290787, 0.16, 17, 3, 1, 1, 548565, 162017, 464, 283, 0, 114688, 0, 0.17149399999999998, 0.035893999999999995, 64728, 18423, 0, 0, 184, 27, 20, 0.011304, 0.015679, 61928, 4667, 0, 0, 40, 119, 59
do_populate_sysroot, 2649925, 10.55, 36, 4, 6, 3, 5453844, 2810834, 1715, 730, 0, 2195456, 311296, 0.36591999999999997, 0.047728, 72688, 25214, 0, 0, 2712, 112, 98, 0.065839, 0.03369, 70656, 11711, 1, 0, 1576, 234, 152
do_create_runtime_spdx, 2896570, 1.07, 21, 2, 4, 0, 1329442, 429001, 715, 258, 0, 176128, 0, 0.211412, 0.027922, 63496, 19287, 0, 0, 256, 58, 83, 0.042228999999999996, 0.00225, 59912, 5377, 0, 0, 88, 86, 90
do_package_qa, 2896486, 3.00, 36, 13, 14, 14, 5128443, 371537, 4031, 350, 0, 163840, 0, 0.367666, 0.13289099999999998, 67460, 28540, 0, 0, 272, 112, 2428, 0.14995799999999998, 0.149565, 65248, 59022, 1, 0, 48, 298, 470
do_unpack, 40291, 0.05, 4, 0, 3, 1, 11107297, 16533649, 1185, 2100, 0, 10407936, 0, 0.042321, 0.0076939999999999995, 60320, 8209, 0, 0, 56, 8, 5, 0.030521, 0.014938, 56732, 1483, 0, 0, 20272, 263, 12
do_package_write_rpm, 2895961, 5.47, 33, 3, 629, 29, 18276901, 2972718, 6754, 936, 77824, 1925120, 0, 0.332494, 0.03855, 67448, 23935, 0, 88, 520, 519, 515, 6.296979, 0.290929, 584996, 174980, 1, 64, 3240, 3563, 2600
do_create_spdx, 2666061, 1.96, 28, 6, 5, 2, 1850388, 1219797, 957, 1096, 8192, 487424, 0, 0.289437, 0.060299, 75908, 26830, 0, 16, 824, 100, 308, 0.051663999999999995, 0.029935, 72280, 7458, 0, 0, 128, 421, 231
do_package, 2650162, 14.21, 96, 55, 284, 50, 39239577, 14411398, 23006, 2889, 24576, 9777152, 3526656, 0.9646859999999999, 0.554016, 68792, 57827, 0, 32, 920, 693, 4925, 2.840932, 0.5002449999999999, 217868, 155881, 12, 16, 18176, 4708, 4241
