Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_create_spdx, 2615941, 3.48, 47, 14, 11, 8, 4578441, 3120992, 1696, 1567, 0, 1449984, 0, 0.477496, 0.14043999999999998, 76052, 51665, 0, 0, 2528, 123, 194, 0.11522299999999999, 0.089969, 72424, 13371, 0, 0, 304, 1199, 365
do_fetch, 406464, 35.50, 18, 1, 3, 2, 7033548, 6729989, 5096, 9492, 0, 6721536, 0, 0.190021, 0.017925999999999997, 68768, 9240, 0, 0, 128, 380, 70, 0.034963, 0.029264, 60088, 901, 0, 0, 13000, 3280, 41
do_collect_spdx_deps, 2611705, 0.14, 14, 0, 0, 0, 370574, 45683, 39, 48, 0, 53248, 0, 0.150009, 0.004285, 72060, 5349, 0, 0, 104, 0, 51, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_populate_lic, 777346, 0.54, 13, 2, 2, 1, 888531, 255566, 575, 259, 0, 143360, 0, 0.137707, 0.026052, 69984, 16449, 0, 0, 216, 34, 52, 0.028754, 0.013611999999999999, 66900, 5031, 1, 0, 64, 124, 61
do_deploy_source_date_epoch, 528098, 0.11, 11, 3, 1, 0, 581987, 161836, 474, 288, 0, 114688, 0, 0.11293399999999999, 0.032267, 67104, 18873, 0, 0, 184, 27, 6, 0.011744, 0.00915, 64304, 4684, 0, 0, 40, 142, 12
do_prepare_recipe_sysroot, 2234589, 0.14, 10, 3, 2, 0, 1880073, 1137853, 576, 325, 139264, 1179648, 0, 0.10737999999999999, 0.03717, 70212, 6963, 0, 264, 152, 37, 204, 0.020173, 0.00381, 65028, 1204, 0, 8, 2152, 17, 32
do_compile_ptest_base, 2485964, 0.11, 17, 1, 0, 0, 329106, 36037, 5354, 130, 0, 24576, 0, 0.17459, 0.01027, 71588, 7923, 0, 0, 48, 27, 60, 0.003155, 0.0, 68892, 366, 0, 0, 0, 1, 27
do_recipe_qa, 405703, 0.09, 13, 2, 1, 0, 516023, 125093, 390, 209, 0, 106496, 0, 0.13243, 0.026486, 66108, 16314, 0, 0, 176, 23, 28, 0.016478, 0.004902, 63292, 3979, 0, 0, 32, 88, 14
do_install, 2486992, 14.87, 20, 4, 140, 29, 20600397, 7727492, 23781, 1396, 4157440, 7839744, 57344, 0.20077399999999998, 0.046332, 66132, 14054, 0, 0, 256, 399, 339, 1.408033, 0.294554, 64056, 234175, 8, 8120, 15056, 3214, 5523
do_packagedata, 2573833, 1.08, 20, 5, 6, 1, 1351253, 671998, 1262, 404, 0, 512000, 0, 0.203709, 0.053789, 73708, 23560, 0, 0, 304, 73, 116, 0.06762, 0.011382999999999999, 70948, 7077, 1, 0, 696, 144, 112
do_configure, 2235631, 66.50, 35, 4, 1308, 256, 296457211, 37707848, 131035, 37048, 3629056, 35651584, 19677184, 0.351128, 0.04282, 72100, 17112, 0, 400, 416, 467, 102, 13.087834, 2.56213, 69200, 1464075, 33, 6688, 69216, 14876, 14273
do_compile, 2442134, 21.25, 16, 2, 2462, 161, 134425189, 37452457, 41220, 11602, 2531328, 12845056, 1699840, 0.167074, 0.027093, 71684, 8461, 0, 0, 864, 176, 77, 24.621523, 1.611325, 99216, 731624, 6, 4944, 24224, 9796, 13703
do_install_ptest_base, 2516580, 11.12, 28, 4, 88, 61, 9229280, 3247138, 31155, 7400, 5636096, 9404416, 2822144, 0.28651499999999996, 0.042272, 66708, 8503, 0, 0, 992, 1041, 318, 0.883945, 0.6116269999999999, 64464, 131941, 6, 11008, 17376, 5378, 14076
do_package_write_rpm, 2863077, 17.48, 30, 5, 2226, 124, 80822666, 11023908, 27566, 2524, 40960, 6991872, 0, 0.305822, 0.054773999999999996, 69448, 25306, 0, 8, 688, 1278, 712, 22.261236, 1.249887, 1932464, 664802, 1, 72, 12968, 26501, 10443
do_package_qa, 2864811, 7.98, 61, 35, 20, 19, 16518730, 431530, 22904, 429, 0, 163840, 0, 0.612522, 0.358023, 70956, 31400, 0, 0, 280, 2924, 15273, 0.201873, 0.198757, 68736, 79252, 3, 0, 40, 417, 655
do_unpack, 527438, 0.15, 5, 1, 11, 4, 33259700, 50728719, 3274, 5274, 0, 31309824, 0, 0.05525, 0.016999999999999998, 65132, 8464, 0, 0, 64, 8, 33, 0.11355, 0.047573, 61312, 1507, 0, 0, 61088, 842, 19
do_patch, 527927, 0.04, 5, 2, 1, 0, 979047, 638758, 322, 214, 0, 647168, 4096, 0.058004999999999994, 0.025377, 65264, 10093, 0, 0, 120, 6, 5, 0.010534, 0.0, 59676, 969, 0, 0, 1144, 13, 1
do_configure_ptest_base, 2441287, 0.13, 13, 3, 0, 0, 329119, 25231, 58, 61, 0, 28672, 0, 0.13619399999999998, 0.032256, 71612, 8214, 0, 0, 56, 3, 61, 0.0, 0.0031999999999999997, 68888, 363, 0, 0, 0, 1, 1
do_create_runtime_spdx, 2867819, 3.69, 44, 7, 4, 0, 4913674, 579144, 5100, 297, 36864, 290816, 0, 0.443667, 0.07994, 78596, 24868, 0, 72, 472, 64, 171, 0.043296999999999995, 0.003335, 73988, 5431, 0, 0, 96, 133, 54
do_package, 2540951, 15.77, 294, 131, 1504, 207, 124305457, 52085517, 102412, 7885, 217088, 33165312, 7790592, 2.949319, 1.311761, 70688, 90468, 0, 416, 7640, 3042, 27062, 15.041067, 2.072189, 422400, 752172, 17, 8, 57136, 33381, 20076
