Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_prepare_recipe_sysroot, 1397631, 0.06, 9, 3, 1, 0, 2043872, 1431422, 563, 400, 32768, 1474560, 0, 0.09477999999999999, 0.032966999999999996, 68088, 8302, 0, 64, 152, 7, 49, 0.015444, 0.0, 62976, 636, 0, 0, 2728, 9, 9
do_package, 1440887, 10.62, 323, 123, 1661, 127, 758720827, 355919436, 160883, 35407, 24576, 181899264, 49291264, 3.236682, 1.230508, 66488, 82720, 0, 8, 2264, 39009, 11035, 16.616745, 1.273545, 394612, 414638, 0, 40, 353008, 43275, 32127
do_collect_spdx_deps, 1401171, 0.04, 15, 0, 0, 0, 390298, 48054, 50, 53, 0, 49152, 0, 0.15534599999999998, 0.008176, 69724, 7258, 0, 0, 96, 0, 17, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 19857, 0.06, 8, 1, 1, 0, 503891, 127846, 408, 214, 0, 102400, 0, 0.08656799999999999, 0.012366, 60412, 16019, 0, 0, 168, 27, 5, 0.013489, 0.000547, 57612, 3995, 0, 0, 32, 141, 4
do_packagedata, 1446255, 3.84, 22, 2, 5, 0, 1395796, 635787, 1187, 389, 12288, 503808, 0, 0.223354, 0.023511, 71220, 23877, 0, 0, 256, 67, 75, 0.05996, 0.005085, 68456, 7060, 2, 24, 728, 184, 95
do_deploy_source_date_epoch, 758299, 0.33, 20, 1, 2, 0, 645751, 176763, 607, 382, 0, 118784, 0, 0.205088, 0.016406999999999998, 69860, 19048, 0, 0, 184, 62, 145, 0.02387, 0.009909, 67060, 5071, 0, 0, 48, 90, 95
do_install, 1438690, 4.96, 28, 2, 225, 114, 222746655, 172038254, 68745, 10318, 4104192, 173174784, 90148864, 0.284261, 0.026889, 62348, 15009, 0, 0, 840, 1198, 72, 2.252542, 1.144819, 60272, 553881, 12, 8016, 337392, 25144, 4830
do_compile, 1422325, 45.10, 33, 5, 17855, 1638, 2703135230, 1407276241, 485792, 292727, 14852096, 1143627776, 313499648, 0.33285899999999996, 0.057061, 72476, 9967, 0, 0, 11240, 1441, 26, 178.554651, 16.3873, 494800, 8250106, 180, 29008, 2222408, 57989, 54721
do_package_write_rpm, 1493530, 53.83, 35, 5, 5619, 93, 456250971, 66749606, 27584, 4400, 8192, 44007424, 0, 0.359737, 0.059197, 64532, 24576, 0, 16, 736, 518, 636, 56.191734, 0.935843, 895944, 415647, 0, 0, 85216, 17907, 13526
do_populate_sysroot, 1440879, 2.17, 48, 12, 123, 15, 220088570, 106582435, 28416, 8084, 0, 45047808, 2883584, 0.487158, 0.128609, 70812, 26452, 0, 0, 46168, 194, 181, 1.239454, 0.150448, 127792, 54205, 4, 0, 41816, 2255, 387
do_create_runtime_spdx, 1494191, 1.17, 32, 4, 5, 0, 3777906, 478738, 1132, 276, 0, 212992, 0, 0.328549, 0.048534999999999995, 73692, 23249, 0, 0, 328, 56, 177, 0.050315, 0.0, 70788, 5403, 1, 0, 88, 126, 78
do_configure, 1397837, 59.89, 46, 6, 1522, 501, 511626917, 40860883, 344479, 102897, 5447680, 45371392, 32378880, 0.462035, 0.065455, 70212, 27434, 0, 0, 1192, 1353, 113, 15.224322, 5.01378, 67296, 4763951, 56, 10640, 87424, 45875, 5151
do_populate_lic, 750546, 0.23, 15, 3, 3, 0, 1032893, 292480, 616, 273, 4096, 151552, 0, 0.159346, 0.031869, 70136, 18807, 0, 8, 216, 34, 128, 0.032905, 0.008964999999999999, 67052, 5034, 1, 0, 80, 92, 60
do_create_spdx, 1447563, 3.15, 70, 12, 8, 4, 5430025, 4957685, 1568, 3944, 16384, 2027520, 0, 0.7045929999999999, 0.12582, 100420, 44790, 0, 32, 3664, 86, 938, 0.086356, 0.042860999999999996, 69536, 9954, 0, 0, 296, 805, 218
do_package_qa, 1494143, 5.18, 71, 31, 11, 8, 97939927, 328819, 21959, 345, 0, 163840, 0, 0.719057, 0.311591, 94900, 45037, 0, 0, 280, 7345, 12494, 0.118783, 0.088521, 68440, 33252, 3, 0, 40, 247, 244
