Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_recipe_qa, 465555, 0.18, 13, 2, 1, 0, 508740, 130036, 398, 215, 0, 102400, 0, 0.132008, 0.023295, 66272, 16347, 0, 0, 168, 26, 255, 0.017955, 0.005411, 63472, 3998, 0, 0, 32, 93, 64
do_collect_spdx_deps, 3180531, 0.71, 23, 1, 0, 0, 360064, 50061, 48, 53, 294912, 53248, 0, 0.238918, 0.016477, 58156, 5815, 0, 576, 104, 72, 81, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_prepare_recipe_sysroot, 3130136, 3.90, 19, 21, 7, 1, 4306077, 2371357, 1728, 688, 1810432, 2555904, 16384, 0.19370199999999999, 0.215224, 61688, 9960, 4, 1576, 152, 115, 157, 0.074915, 0.011968, 56800, 5193, 1, 1960, 4840, 157, 125
do_install, 3284935, 29.72, 27, 3, 200, 54, 23334967, 8559667, 35280, 2382, 200704, 8626176, 4096, 0.274725, 0.035833, 55588, 15292, 1, 8, 328, 576, 319, 2.002549, 0.5435719999999999, 53504, 347716, 20, 384, 16520, 4901, 13667
do_populate_lic, 724534, 0.51, 20, 1, 3, 0, 809268, 236153, 599, 263, 0, 139264, 0, 0.200143, 0.018194, 69628, 18327, 0, 0, 216, 45, 122, 0.038182, 0.004017, 66544, 5018, 1, 0, 56, 134, 72
do_packagedata, 3354395, 6.02, 27, 2, 7, 3, 1836243, 1274143, 2141, 606, 61440, 1081344, 0, 0.273929, 0.029053, 59836, 24198, 11, 120, 536, 77, 118, 0.071862, 0.035793, 56864, 7313, 0, 0, 1576, 156, 106
do_compile, 3207409, 34.00, 22, 5, 1667, 183, 197941256, 35818338, 56230, 12102, 11005952, 23031808, 2437120, 0.227217, 0.055732, 58684, 8680, 0, 0, 1168, 464, 162, 16.67358, 1.831893, 73700, 790891, 19, 21496, 43816, 9975, 12038
do_fetch, 469406, 34.40, 15, 1, 0, 1, 1930648, 1642916, 1797, 2390, 0, 1638400, 0, 0.15861899999999998, 0.015106, 64436, 8394, 0, 0, 136, 225, 96, 0.008268, 0.014790999999999999, 60884, 930, 0, 0, 3064, 834, 10
do_patch, 570027, 0.68, 13, 3, 15, 3, 2131664, 280357, 2499, 311, 0, 294912, 4096, 0.139673, 0.032864, 65748, 13714, 0, 0, 136, 25, 66, 0.156496, 0.032926, 59956, 38692, 1, 0, 440, 603, 179
do_package_qa, 3361355, 5.52, 63, 13, 16, 8, 12051347, 378008, 5659, 499, 32768, 163840, 0, 0.63108, 0.13107, 61124, 27108, 6, 64, 280, 129, 3894, 0.164351, 0.087827, 58792, 45676, 0, 0, 40, 261, 378
do_configure, 3133252, 105.60, 34, 5, 653, 78, 170226884, 23903796, 73858, 24587, 22777856, 22532096, 13099008, 0.349466, 0.057506999999999996, 61204, 18271, 2, 1688, 400, 383, 169, 6.537265, 0.784859, 58508, 696084, 134, 42800, 43608, 11074, 8347
do_populate_sysroot, 3333661, 3.03, 28, 4, 10, 7, 6857752, 3163799, 2251, 833, 24576, 2437120, 372736, 0.286781, 0.047141999999999996, 59668, 26792, 2, 48, 2952, 138, 188, 0.104446, 0.07085, 57448, 18903, 0, 0, 1808, 228, 197
do_create_runtime_spdx, 3369486, 4.02, 62, 7, 4, 0, 3104850, 1006787, 2032, 409, 143360, 630784, 0, 0.628545, 0.076651, 63572, 23991, 3, 280, 1128, 53, 184, 0.046506, 0.004247, 59896, 5625, 0, 0, 104, 116, 57
do_package_write_rpm, 3361181, 28.53, 68, 7, 5568, 302, 67535277, 9946343, 14907, 5503, 36864, 6045696, 0, 0.688479, 0.079249, 60480, 26772, 1, 72, 832, 3782, 1349, 55.687558, 3.029914, 2045388, 1935047, 2, 0, 10976, 41999, 18728
do_create_spdx, 3361047, 10.33, 58, 28, 34, 17, 3555596, 2149479, 3081, 1588, 196608, 962560, 0, 0.5812419999999999, 0.281246, 63828, 95854, 7, 384, 1720, 323, 604, 0.344421, 0.178639, 59988, 29855, 3, 0, 160, 4299, 987
do_package, 3333462, 26.78, 130, 98, 228, 73, 84656958, 36979451, 49943, 5921, 815104, 18731008, 4513792, 1.3080910000000001, 0.986429, 62740, 128921, 4, 1440, 2000, 2330, 15495, 2.285116, 0.730321, 96868, 199155, 7, 152, 34584, 8135, 11212
do_deploy_source_date_epoch, 571669, 0.24, 16, 2, 2, 0, 580403, 167389, 479, 288, 0, 118784, 0, 0.16205999999999998, 0.027667999999999998, 67316, 18769, 0, 0, 192, 28, 54, 0.025071, 0.004581, 64500, 4680, 0, 0, 40, 77, 91
do_unpack, 569300, 0.44, 13, 3, 11, 4, 16783364, 28927970, 3106, 3912, 4096, 15220736, 0, 0.13244699999999998, 0.033111, 65768, 12994, 0, 8, 136, 17, 183, 0.11319, 0.049367, 62148, 5614, 0, 0, 29592, 1550, 1512
