Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_populate_lic, 747424, 0.24, 20, 2, 2, 1, 1078881, 248653, 593, 287, 36864, 147456, 0, 0.204474, 0.028065, 71540, 19084, 1, 72, 232, 32, 76, 0.026978, 0.016121, 68456, 5041, 0, 0, 56, 112, 44
do_collect_spdx_deps, 579566, 0.02, 15, 0, 0, 0, 587181, 57363, 63, 69, 0, 53248, 0, 0.152481, 0.004121, 67688, 7219, 0, 0, 104, 0, 169, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_create_runtime_spdx, 787598, 0.49, 22, 2, 1, 1, 1014867, 366264, 465, 264, 0, 135168, 0, 0.22533199999999998, 0.026288, 72172, 17150, 0, 0, 184, 48, 55, 0.016416999999999998, 0.016944999999999998, 69436, 4271, 0, 0, 80, 87, 90
do_recipe_qa, 55235, 0.05, 10, 0, 1, 0, 724767, 138497, 422, 237, 0, 106496, 0, 0.108276, 0.004331, 63060, 16633, 0, 0, 176, 26, 17, 0.010513999999999999, 0.003381, 60260, 4037, 0, 0, 32, 142, 4
do_install, 1069399, 2.43, 24, 2, 43, 7, 13877981, 3428800, 2288, 1583, 0, 3526656, 0, 0.24936599999999998, 0.025359, 72028, 12479, 0, 0, 296, 144, 48, 0.43607799999999997, 0.078503, 69328, 16644, 0, 0, 6592, 118, 259
do_compile, 1062785, 7.17, 24, 1, 1752, 273, 425771147, 13524406, 84454, 8405, 5427200, 10944512, 4526080, 0.240811, 0.010702, 71948, 7289, 0, 0, 1288, 242, 53, 17.529331, 2.7303379999999997, 69192, 1071213, 15, 10600, 20088, 3721, 9635
do_fetch, 55347, 46.39, 8, 0, 0, 0, 526155, 66456, 58, 90, 0, 57344, 0, 0.08244399999999999, 0.003925, 62632, 7200, 0, 0, 112, 1, 3, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_write_config, 378090, 0.06, 20, 2, 0, 0, 563948, 56524, 127, 111, 0, 40960, 0, 0.20213499999999998, 0.020626, 66068, 8663, 0, 0, 64, 11, 74, 0.000726, 0.002744, 63376, 577, 0, 0, 16, 5, 12
do_prepare_recipe_sysroot, 1050434, 0.65, 22, 12, 1, 0, 2452122, 1267162, 676, 385, 49152, 1372160, 0, 0.22858099999999998, 0.12365799999999999, 71184, 10237, 0, 96, 272, 16, 374, 0.019958, 0.003214, 66296, 926, 0, 0, 2408, 13, 62
do_populate_sysroot, 1070277, 4.68, 40, 22, 33, 19, 7141850, 2276465, 6202, 1467, 4096, 1671168, 8192, 0.40416799999999997, 0.229287, 72184, 60434, 0, 8, 1672, 423, 170, 0.334912, 0.19386199999999998, 70300, 61108, 2, 0, 1592, 508, 628
do_patch, 341842, 0.29, 15, 1, 7, 1, 1309124, 181294, 1327, 214, 0, 196608, 4096, 0.15533, 0.015931, 65596, 12411, 0, 0, 136, 17, 241, 0.070267, 0.018709, 59520, 19007, 0, 0, 248, 295, 102
do_configure, 1052316, 12.00, 22, 0, 250, 43, 30102439, 9425122, 16219, 10925, 122880, 10014720, 765952, 0.222774, 0.004546, 72208, 11969, 0, 8, 176, 37, 88, 2.507656, 0.43423999999999996, 69452, 193802, 4, 232, 19384, 4933, 4797
do_create_spdx, 579910, 0.23, 22, 3, 3, 0, 1348242, 518603, 684, 318, 0, 217088, 0, 0.223957, 0.035993, 70060, 21596, 0, 0, 320, 41, 379, 0.031409, 0.0073019999999999995, 67160, 5228, 0, 0, 104, 106, 78
do_unpack, 336500, 0.25, 15, 0, 19, 5, 33860368, 51627975, 5539, 6652, 8192, 27369472, 0, 0.15761799999999998, 0.009271, 65596, 13086, 0, 0, 136, 14, 55, 0.19134099999999998, 0.055505, 61456, 5153, 0, 16, 53320, 2221, 199
do_deploy_source_date_epoch, 379561, 0.11, 19, 3, 1, 1, 779029, 167991, 496, 311, 0, 118784, 0, 0.194045, 0.033747, 66512, 19215, 0, 0, 192, 31, 153, 0.016312999999999998, 0.012339, 63712, 4693, 0, 0, 40, 143, 15
