Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_create_spdx, 45013, 0.07, 7, 1, 1, 0, 952652, 489393, 598, 279, 0, 208896, 0, 0.075264, 0.011288999999999999, 63344, 20326, 0, 0, 304, 36, 12, 0.017258, 0.001764, 60188, 5222, 0, 0, 104, 167, 8
do_collect_spdx_deps, 44999, 0.01, 3, 0, 0, 0, 333055, 40712, 28, 43, 0, 49152, 0, 0.036675, 0.0, 60196, 4302, 0, 0, 96, 0, 3, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_patch, 44798, 0.02, 4, 0, 0, 0, 413164, 119035, 170, 80, 0, 126976, 4096, 0.042138999999999996, 0.0, 60428, 7460, 0, 0, 120, 6, 4, 0.00456, 0.000619, 54696, 943, 0, 0, 128, 13, 4
do_recipe_qa, 7871, 0.13, 9, 2, 2, 0, 442043, 122621, 379, 211, 1167360, 110592, 0, 0.097799, 0.028523999999999997, 58876, 15120, 2, 40, 184, 35, 46, 0.020064, 0.003385, 56076, 3997, 14, 2240, 32, 77, 65
do_install, 44876, 0.05, 6, 1, 1, 0, 660056, 237937, 539, 253, 0, 245760, 0, 0.060703999999999994, 0.011382, 61668, 13293, 0, 0, 104, 24, 5, 0.010725, 0.0008749999999999999, 58968, 3393, 0, 0, 376, 40, 3
do_deploy_source_date_epoch, 44810, 0.07, 6, 1, 1, 0, 518273, 150716, 477, 291, 0, 114688, 0, 0.069079, 0.015349999999999999, 62192, 17911, 0, 0, 184, 29, 14, 0.014827, 0.00149, 59392, 4696, 0, 0, 40, 154, 8
do_compile, 44870, 0.03, 5, 0, 0, 0, 291363, 22827, 49, 83, 0, 20480, 0, 0.051585, 0.003968, 61884, 7835, 0, 0, 40, 2, 3, 0.001401, 0.0, 59192, 376, 0, 0, 0, 1, 1
do_populate_sysroot, 44902, 0.11, 7, 3, 2, 0, 1546027, 514488, 1208, 761, 0, 212992, 0, 0.077702, 0.037001, 62104, 25913, 0, 0, 304, 76, 5, 0.022508999999999998, 0.009417, 59728, 8935, 0, 0, 112, 219, 15
do_fetch, 8279, 101.30, 38, 6, 10, 14, 26507960, 26215513, 23404, 36685, 0, 26177536, 0, 0.384055, 0.062069, 81820, 9332, 0, 0, 128, 1548, 62, 0.100836, 0.143349, 53520, 901, 0, 0, 51000, 15493, 84
do_prepare_recipe_sysroot, 44776, 0.01, 3, 0, 0, 0, 274180, 67057, 22, 45, 0, 69632, 0, 0.034755, 0.0, 60392, 4298, 0, 0, 136, 0, 3, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_populate_lic, 753134, 0.21, 11, 3, 1, 1, 583388, 167125, 541, 251, 8192, 131072, 0, 0.11384, 0.039255, 69380, 17851, 1, 16, 224, 30, 132, 0.019656999999999997, 0.016054, 66296, 4973, 0, 0, 32, 113, 82
do_configure, 44862, 0.03, 5, 0, 0, 0, 305387, 63270, 87, 112, 0, 69632, 0, 0.052017999999999995, 0.008002, 62196, 8174, 0, 0, 128, 4, 0, 0.002264, 0.0, 59252, 600, 0, 0, 8, 6, 1
do_create_runtime_spdx, 789133, 0.44, 11, 3, 1, 1, 759632, 350363, 414, 238, 0, 135168, 0, 0.11266, 0.034963, 69348, 15303, 0, 0, 184, 39, 79, 0.019961, 0.014893, 66544, 4274, 0, 0, 80, 72, 73
do_unpack, 44775, 0.57, 3, 1, 49, 16, 166250717, 274304288, 17242, 24180, 0, 151613440, 0, 0.033424999999999996, 0.018569, 60396, 7908, 0, 0, 64, 9, 2, 0.494496, 0.161162, 56684, 1517, 0, 0, 296056, 4205, 22
