Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 49441, 0.01, 7, 0, 0, 0, 582942, 48173, 47, 56, 0, 49152, 0, 0.07940599999999999, 0.00397, 62208, 6885, 0, 0, 96, 0, 3, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_compile, 593970, 114.46, 55, 7, 10707, 1433, 1791757573, 92510173, 573414, 100596, 61665280, 61857792, 12578816, 0.554389, 0.072311, 69688, 9861, 0, 8, 7944, 2562, 227, 107.077121, 14.337089, 94708, 10821029, 427, 120432, 112872, 110732, 67618
do_populate_lic, 749203, 0.18, 21, 3, 2, 1, 1301812, 305805, 645, 285, 45056, 163840, 0, 0.214332, 0.035722, 71300, 18845, 3, 88, 240, 36, 164, 0.027985, 0.012735999999999999, 68200, 5049, 0, 0, 80, 97, 54
do_recipe_qa, 20880, 0.04, 8, 1, 1, 0, 703638, 130098, 401, 224, 0, 106496, 0, 0.084854, 0.019285, 61052, 16062, 0, 0, 176, 26, 2, 0.010740999999999999, 0.0036309999999999997, 58252, 4026, 1, 0, 32, 135, 1
do_install, 817533, 67.43, 59, 6, 928, 188, 117659291, 24515728, 205715, 21427, 16109568, 27619328, 114688, 0.594374, 0.060738999999999994, 71908, 12517, 0, 0, 3008, 2233, 73, 9.286815, 1.888275, 68392, 2229097, 98, 31464, 50936, 38826, 10352
do_create_spdx, 49531, 0.07, 10, 2, 1, 0, 1284061, 518124, 664, 323, 0, 217088, 0, 0.102863, 0.023736999999999998, 64416, 20876, 0, 0, 320, 37, 19, 0.017314, 0.003519, 61500, 5226, 0, 0, 104, 166, 9
do_fetch, 21016, 90.22, 7, 0, 0, 0, 521919, 66188, 42, 89, 0, 61440, 0, 0.076692, 0.004118, 59996, 6744, 0, 0, 120, 1, 4, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_unpack, 44786, 1.04, 7, 2, 55, 10, 166603870, 274361418, 17453, 24228, 0, 151662592, 0, 0.071236, 0.026244, 61912, 12962, 0, 0, 72, 19, 8, 0.5547489999999999, 0.109668, 57684, 4038, 0, 0, 296144, 4208, 43
do_configure, 191622, 109.66, 65, 8, 6278, 803, 1131372400, 304367395, 696393, 238185, 2809856, 281911296, 127385600, 0.654562, 0.08236199999999999, 65328, 18340, 0, 0, 1096, 2600, 220, 62.782392, 8.034447, 62440, 7847874, 238, 5488, 549512, 91071, 34466
do_prepare_recipe_sysroot, 191174, 0.40, 13, 1, 1, 0, 1846333, 1342479, 478, 380, 0, 1380352, 0, 0.139398, 0.013068, 64120, 8116, 0, 0, 144, 2, 211, 0.017069, 0.003509, 57832, 614, 0, 0, 2552, 8, 3
do_patch, 45289, 0.12, 6, 2, 11, 1, 2384320, 268588, 3089, 379, 0, 303104, 4096, 0.068879, 0.026785999999999997, 62004, 13695, 0, 0, 136, 29, 34, 0.113063, 0.013328, 55752, 47354, 0, 0, 456, 772, 26
do_populate_sysroot, 880248, 1.11, 34, 23, 72, 37, 46526462, 23821141, 12629, 2692, 0, 15097856, 4096, 0.34439, 0.23779299999999998, 71220, 74812, 0, 0, 9560, 313, 59, 0.724827, 0.37967999999999996, 69312, 105987, 4, 0, 19928, 721, 447
do_create_runtime_spdx, 787627, 0.44, 17, 0, 2, 1, 1010425, 357616, 437, 251, 0, 135168, 0, 0.177559, 0.008661, 71100, 16179, 0, 0, 184, 41, 172, 0.020135999999999998, 0.011625, 68300, 4240, 0, 0, 80, 59, 63
do_deploy_source_date_epoch, 45814, 0.06, 11, 1, 1, 0, 770772, 159105, 503, 301, 0, 118784, 0, 0.110899, 0.011472, 63148, 18749, 0, 0, 192, 33, 20, 0.012012, 0.003885, 60324, 4693, 0, 0, 40, 159, 6
