Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 298919, 0.01, 15, 0, 0, 0, 592504, 57670, 63, 70, 0, 49152, 0, 0.155226, 0.00398, 65444, 7262, 0, 0, 96, 0, 2, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_populate_sysroot, 1013895, 2.38, 43, 18, 46, 27, 44164349, 19330286, 11103, 2333, 0, 11784192, 4096, 0.43290599999999996, 0.18720199999999998, 72088, 56717, 0, 0, 10592, 306, 146, 0.46021999999999996, 0.276545, 69924, 68680, 10, 0, 12424, 623, 483
do_recipe_qa, 29253, 0.05, 9, 1, 1, 0, 719902, 139042, 419, 238, 0, 106496, 0, 0.099517, 0.014743, 62392, 16295, 0, 0, 176, 27, 5, 0.013481, 0.000596, 59592, 4043, 0, 0, 32, 134, 3
do_install, 1013319, 1.27, 24, 0, 43, 7, 27271123, 18320008, 2018, 1866, 143360, 18919424, 20480, 0.245358, 0.004089, 71420, 14330, 0, 0, 592, 30, 99, 0.436749, 0.076718, 68728, 8471, 0, 280, 36360, 35, 46
do_fetch, 29351, 90.06, 16, 2, 0, 5, 5940206, 5445817, 6120, 7752, 0, 5406720, 0, 0.166822, 0.024412999999999997, 65332, 9150, 0, 0, 144, 730, 25, 0.009433, 0.058188, 57412, 920, 0, 0, 10416, 3182, 20
do_compile, 1001092, 21.50, 64, 5, 15859, 1773, 2707410605, 102743442, 547748, 61240, 43687936, 68259840, 10825728, 0.6413789999999999, 0.057829, 74868, 10641, 0, 0, 7600, 1357, 547, 158.593736, 17.73802, 133372, 7687491, 280, 85328, 125720, 25223, 75937
do_prepare_recipe_sysroot, 957239, 0.43, 22, 14, 0, 0, 2192503, 1144860, 559, 355, 32768, 1216512, 0, 0.22320199999999998, 0.140535, 70224, 7493, 0, 64, 144, 10, 91, 0.009222, 0.009706, 65336, 633, 0, 0, 2232, 11, 80
do_create_spdx, 300969, 0.12, 19, 1, 1, 1, 1354150, 549623, 712, 368, 0, 225280, 0, 0.196986, 0.01608, 67720, 21411, 0, 0, 336, 35, 35, 0.019056, 0.012194, 64820, 5223, 3, 0, 104, 110, 22
do_patch, 178586, 0.36, 19, 3, 31, 5, 4451468, 840942, 6302, 742, 0, 839680, 4096, 0.19206099999999998, 0.03201, 64044, 17007, 0, 0, 152, 49, 5, 0.310735, 0.055282, 58216, 94714, 1, 0, 1488, 1529, 110
do_configure, 957821, 30.28, 20, 1, 991, 219, 162894613, 24329101, 85904, 35362, 1126400, 27308032, 5865472, 0.207719, 0.019233, 70684, 11816, 0, 0, 240, 39, 90, 9.915955, 2.191372, 67812, 1153426, 47, 2200, 53096, 14165, 15733
do_unpack, 176383, 0.40, 18, 3, 33, 9, 59874043, 103255887, 11134, 13748, 0, 55087104, 0, 0.187387, 0.036662, 63628, 16590, 0, 0, 152, 30, 10, 0.335703, 0.099511, 59984, 9299, 1, 0, 107440, 5675, 91
do_populate_lic, 751506, 0.25, 22, 4, 2, 1, 1195977, 262426, 674, 297, 49152, 151552, 0, 0.228076, 0.0448, 71548, 19137, 2, 96, 240, 55, 331, 0.022508, 0.018524, 68528, 5078, 0, 0, 56, 87, 81
do_write_config, 30191, 0.02, 8, 0, 0, 0, 568647, 53230, 112, 94, 0, 36864, 0, 0.088782, 0.007719999999999999, 62144, 8269, 0, 0, 56, 4, 1, 0.000563, 0.001646, 59432, 569, 0, 0, 16, 5, 0
do_create_runtime_spdx, 788316, 0.51, 18, 2, 2, 1, 1019610, 365809, 491, 265, 0, 135168, 0, 0.18173599999999998, 0.023704, 71696, 17024, 0, 0, 184, 60, 154, 0.020997, 0.013704, 68896, 4279, 0, 0, 80, 94, 79
do_deploy_source_date_epoch, 181919, 0.17, 25, 0, 1, 1, 783043, 168361, 521, 321, 0, 118784, 0, 0.256907, 0.008152, 64956, 18980, 0, 0, 192, 41, 31, 0.015347999999999999, 0.013510999999999999, 62156, 4715, 0, 0, 40, 95, 69
