Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_compile, 2552500, 43.02, 57, 5, 22460, 2574, 3437307772, 371028862, 675612, 132540, 43192320, 137371648, 19709952, 0.571812, 0.051053999999999995, 75648, 10137, 0, 0, 10800, 1335, 183, 224.608637, 25.743058, 197300, 8941939, 151, 84360, 257504, 69321, 121112
do_collect_spdx_deps, 2572527, 0.18, 17, 0, 0, 0, 372300, 53665, 55, 60, 0, 49152, 0, 0.174372, 0.004151, 72624, 7501, 0, 0, 96, 0, 93, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_packagedata, 2710961, 4.00, 26, 5, 6, 6, 3656848, 2626382, 2605, 800, 0, 1671168, 0, 0.263135, 0.056386, 74448, 23999, 0, 0, 712, 59, 572, 0.06807099999999999, 0.06713, 71644, 7691, 1, 0, 2552, 230, 192
do_compile_ptest_base, 2631557, 0.19, 17, 0, 0, 0, 330509, 42924, 1527, 142, 0, 28672, 0, 0.171076, 0.003978, 73296, 8634, 0, 0, 56, 27, 76, 0.0, 0.003379, 70600, 366, 0, 0, 0, 1, 30
do_install, 2634087, 5.83, 21, 4, 73, 51, 72738418, 56400009, 17025, 5106, 4177920, 59355136, 1638400, 0.21448399999999998, 0.045960999999999995, 67608, 15353, 0, 0, 1256, 274, 322, 0.737764, 0.512251, 65532, 13141, 0, 8160, 114672, 1053, 10236
do_recipe_qa, 30264, 0.05, 6, 2, 0, 0, 491994, 133188, 426, 222, 0, 102400, 0, 0.06963, 0.024575, 61804, 16326, 0, 0, 168, 30, 4, 0.008808999999999999, 0.0049369999999999995, 59004, 4028, 0, 0, 32, 135, 6
do_install_ptest_base, 2644386, 0.32, 14, 3, 1, 0, 413628, 53998, 610, 207, 4096, 32768, 0, 0.148053, 0.0329, 67560, 8492, 0, 0, 56, 83, 334, 0.011615, 0.003701, 65480, 1695, 0, 8, 8, 21, 92
do_populate_sysroot, 2645749, 2.81, 42, 5, 24, 9, 50079495, 32309485, 6452, 2013, 0, 25288704, 3751936, 0.42647999999999997, 0.051815, 73308, 27915, 0, 0, 31184, 153, 239, 0.24448799999999998, 0.095942, 71172, 26013, 3, 0, 18208, 413, 429
do_fetch, 30313, 87.32, 5, 1, 0, 0, 311271, 84191, 50, 105, 0, 65536, 0, 0.059479, 0.011887, 60144, 6628, 0, 0, 128, 1, 6, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_write_config, 31831, 0.03, 8, 0, 0, 0, 365519, 63746, 140, 110, 0, 49152, 0, 0.081524, 0.0, 61996, 8121, 0, 0, 64, 6, 3, 0.002868, 0.000272, 59268, 792, 0, 0, 32, 10, 3
