Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 1371140, 0.06, 14, 1, 0, 0, 381790, 47842, 48, 52, 0, 53248, 0, 0.146372, 0.01428, 69776, 5342, 0, 0, 104, 0, 124, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 10239, 0.06, 10, 0, 0, 0, 496353, 129366, 412, 214, 0, 102400, 0, 0.102092, 0.004253, 59812, 15657, 0, 0, 168, 24, 6, 0.008949, 0.0042699999999999995, 57012, 3974, 0, 0, 32, 139, 7
do_unpack, 346629, 2.96, 12, 5, 102, 42, 85379231, 323454912, 7077, 37049, 589824, 335839232, 8192, 0.128347, 0.054299999999999994, 64408, 24530, 0, 0, 120, 62, 269, 1.023855, 0.428763, 103584, 43462, 1, 1152, 655816, 1375, 1568
do_install, 1313191, 82.59, 86, 14, 5100, 1674, 1116314338, 220794768, 812659, 51412, 32423936, 209690624, 58028032, 0.862413, 0.14601699999999998, 61864, 14450, 0, 160, 3240, 6708, 368, 51.009908, 16.744575, 59080, 6876163, 1012, 63168, 406312, 84432, 87905
do_packagedata, 1391480, 0.58, 24, 4, 6, 1, 2564900, 1380764, 1321, 445, 0, 851968, 0, 0.24617799999999998, 0.047624, 71660, 23689, 0, 0, 288, 45, 180, 0.061446999999999995, 0.019424999999999998, 68860, 7399, 1, 0, 1376, 150, 128
do_compile, 1161999, 243.28, 274, 46, 58326, 11203, 12123913602, 1233544782, 4148733, 487915, 68440064, 826707968, 151769088, 2.743355, 0.46219499999999997, 121852, 22101, 3, 32, 119144, 10147, 186, 583.263523, 112.038688, 227604, 38036591, 2102, 133640, 1495520, 234915, 443176
do_populate_sysroot, 1387238, 2.43, 31, 6, 127, 14, 184439808, 80153024, 26627, 7638, 0, 19042304, 0, 0.31299299999999997, 0.061071, 70232, 25891, 0, 0, 648, 167, 191, 1.272171, 0.141953, 134300, 44050, 0, 0, 36544, 1965, 376
do_fetch, 10589, 181.35, 27, 1, 10, 26, 40463760, 40184724, 35056, 56218, 0, 40087552, 0, 0.276339, 0.01812, 58120, 7836, 0, 0, 168, 2338, 86, 0.10359, 0.265654, 54724, 895, 0, 0, 78128, 23710, 135
do_package_qa, 1391830, 6.46, 146, 119, 36, 49, 109572224, 744718, 69580, 668, 0, 172032, 0, 1.463035, 1.196294, 88628, 80514, 0, 0, 272, 30762, 36963, 0.369987, 0.49055, 67412, 191894, 12, 0, 64, 1305, 982
do_create_runtime_spdx, 1393715, 0.40, 32, 2, 2, 1, 11880740, 520295, 2683, 285, 0, 241664, 0, 0.321683, 0.027798999999999997, 89504, 38060, 0, 0, 384, 87, 115, 0.023746, 0.016596, 84028, 5420, 7, 0, 88, 153, 129
do_stash_locale, 1386917, 2.32, 28, 6, 169, 29, 393333524, 239170345, 41697, 13165, 4096, 151138304, 32284672, 0.281497, 0.062554, 70212, 22449, 0, 0, 696, 65, 93, 1.696174, 0.297021, 191196, 55933, 1, 8, 294496, 2546, 1513
do_prepare_recipe_sysroot, 1145005, 0.20, 15, 5, 1, 0, 1467450, 920709, 425, 274, 57344, 962560, 0, 0.153051, 0.052474, 69048, 6610, 0, 112, 152, 16, 37, 0.018175, 0.0, 63552, 614, 0, 0, 1728, 8, 4
do_patch, 351086, 3.20, 25, 8, 56, 10, 7379537, 1463684, 9906, 1169, 4096, 1499136, 16384, 0.25659699999999996, 0.086911, 67124, 23538, 0, 0, 208, 70, 97, 0.566296, 0.101865, 63508, 143007, 9, 8, 2720, 2363, 674
do_configure, 1145163, 17.99, 36, 12, 208, 56, 16759667, 1720924, 23354, 9372, 946176, 2002944, 1294336, 0.361091, 0.120363, 70776, 28055, 0, 144, 280, 360, 199, 2.08032, 0.562613, 67868, 396002, 13, 1704, 3632, 4410, 2884
do_populate_lic, 750642, 0.22, 20, 3, 2, 1, 1047668, 306669, 641, 273, 77824, 147456, 0, 0.20524099999999998, 0.032838, 70104, 18793, 4, 152, 216, 49, 39, 0.02524, 0.014442, 67072, 5038, 0, 0, 72, 89, 66
do_package_write_rpm, 1391819, 16.73, 31, 5, 4074, 146, 513706822, 72971032, 51945, 5640, 4096, 47140864, 0, 0.312063, 0.057789, 63652, 24566, 0, 8, 1096, 586, 1080, 40.746203, 1.4652159999999999, 1258640, 543816, 1, 0, 90976, 29658, 15477
do_create_spdx, 1391802, 4.88, 169, 41, 12, 4, 15878191, 18319411, 3086, 17664, 57344, 7073792, 0, 1.699377, 0.413796, 94180, 71174, 1, 112, 12992, 115, 6780, 0.126082, 0.048465, 73332, 12880, 0, 0, 824, 1011, 353
