Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_configure, 935568, 2.12, 18, 3, 55, 13, 10516155, 1902682, 8635, 15490, 86016, 1974272, 520192, 0.180358, 0.030059, 71488, 9760, 0, 0, 144, 24, 391, 0.551314, 0.13183899999999998, 68588, 57733, 2, 168, 3712, 593, 528
do_collect_spdx_deps, 490870, 0.01, 9, 1, 0, 0, 553597, 43872, 35, 49, 0, 53248, 0, 0.09632399999999999, 0.012039999999999999, 65468, 6959, 0, 0, 104, 0, 4, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 36515, 0.08, 18, 1, 1, 0, 682996, 125479, 383, 217, 0, 106496, 0, 0.18151899999999999, 0.011344, 62832, 16180, 0, 0, 176, 25, 2, 0.019851999999999998, 0.004007999999999999, 60024, 4042, 0, 0, 32, 95, 9
do_install, 949730, 0.34, 20, 5, 2, 3, 10660120, 8060703, 1954, 1561, 8192, 8110080, 0, 0.20385599999999998, 0.058244, 71200, 15239, 0, 8, 176, 105, 360, 0.02272, 0.031134, 68500, 3525, 0, 8, 15664, 22, 161
do_compile, 936461, 27.87, 14, 1, 12863, 661, 464847839, 49686297, 58772, 19565, 5828608, 29290496, 839680, 0.149309, 0.016589, 71196, 7198, 0, 0, 336, 88, 41, 128.637434, 6.618452, 450216, 2969611, 9, 11384, 56872, 6198, 54795
do_generate_toolchain_file, 302199, 0.02, 10, 1, 0, 0, 526520, 40819, 70, 74, 0, 36864, 0, 0.107902, 0.01245, 65444, 8441, 0, 0, 56, 3, 2, 0.000317, 0.002029, 62740, 508, 0, 0, 16, 4, 3
do_fetch, 36579, 109.89, 16, 2, 928, 99, 240186160, 243114931, 160882, 89494, 0, 82243584, 8192, 0.166292, 0.025866999999999998, 61628, 10155, 0, 0, 184, 349, 37, 9.286519, 0.9919, 57644, 26135, 0, 0, 160448, 114565, 3024
do_create_runtime_spdx, 772390, 0.15, 17, 1, 1, 1, 980583, 353286, 417, 244, 0, 139264, 0, 0.175174, 0.016295, 71060, 18612, 0, 0, 192, 35, 34, 0.013122, 0.017217, 68260, 4281, 0, 0, 80, 90, 45
do_prepare_recipe_sysroot, 935279, 0.40, 20, 9, 1, 0, 2354323, 1517732, 552, 419, 0, 1568768, 0, 0.208843, 0.092372, 69740, 7240, 0, 0, 144, 3, 54, 0.017675, 0.0045709999999999995, 64852, 633, 0, 0, 2920, 8, 6
do_patch, 283300, 0.07, 16, 0, 3, 0, 923851, 135731, 693, 142, 0, 163840, 4096, 0.16733199999999998, 0.007968, 64440, 11459, 0, 0, 128, 13, 3, 0.037093999999999995, 0.007571, 58248, 9299, 0, 0, 192, 143, 13
do_populate_sysroot, 950093, 2.53, 29, 10, 33, 13, 42489640, 22724412, 6576, 1902, 4096, 15421440, 4096, 0.290354, 0.10986299999999999, 71236, 39791, 0, 0, 13688, 215, 120, 0.33929699999999996, 0.13805, 69348, 33122, 2, 8, 16432, 386, 371
do_populate_lic, 710642, 0.49, 17, 3, 3, 1, 1140989, 260007, 600, 266, 61440, 147456, 0, 0.171258, 0.031547, 70920, 18830, 2, 120, 224, 37, 173, 0.035716, 0.011626, 67836, 5074, 2, 0, 64, 92, 71
do_deploy_source_date_epoch, 302646, 0.09, 18, 1, 1, 1, 744442, 155002, 473, 291, 0, 118784, 0, 0.185879, 0.016163, 65768, 18889, 0, 0, 192, 29, 13, 0.013392, 0.010872, 62964, 4711, 0, 0, 40, 120, 13
do_create_spdx, 491151, 0.10, 13, 2, 2, 0, 1224380, 495783, 617, 288, 0, 212992, 0, 0.132573, 0.021381999999999998, 67892, 21036, 0, 0, 312, 34, 55, 0.021627, 0.008584, 64984, 5249, 0, 0, 104, 147, 8
do_unpack, 278517, 0.39, 13, 2, 21, 11, 5005793, 38222496, 6086, 6854, 12288, 45608960, 12288, 0.138384, 0.020967, 64424, 15804, 0, 0, 80, 31, 86, 0.218361, 0.116307, 60440, 28229, 0, 24, 89000, 2260, 2299
