Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 47383, 0.02, 6, 0, 0, 0, 567413, 46519, 42, 54, 0, 53248, 0, 0.069108, 0.004065, 61900, 6867, 0, 0, 104, 0, 4, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_populate_lic, 754056, 0.20, 17, 2, 2, 1, 1399799, 318936, 611, 283, 106496, 151552, 0, 0.174065, 0.024866, 71012, 18683, 6, 208, 224, 30, 266, 0.026244999999999997, 0.012849999999999999, 67928, 5084, 1, 0, 72, 93, 60
do_create_spdx, 47445, 0.08, 9, 2, 1, 0, 1220897, 503945, 647, 305, 0, 217088, 0, 0.091121, 0.02377, 64140, 20851, 0, 0, 320, 40, 2, 0.0179, 0.002369, 61240, 5206, 0, 0, 104, 160, 8
do_recipe_qa, 7881, 0.12, 15, 2, 1, 0, 679052, 128336, 403, 222, 0, 106496, 0, 0.15614799999999998, 0.027326, 59784, 16052, 0, 0, 176, 28, 98, 0.012152, 0.008801, 56984, 4006, 0, 0, 32, 80, 37
do_install, 159363, 1.15, 12, 3, 37, 8, 10310676, 1656628, 5747, 1238, 0, 1527808, 8192, 0.129333, 0.039192, 64032, 14193, 0, 0, 200, 180, 26, 0.372355, 0.085217, 61332, 63918, 5, 0, 2784, 732, 755
do_prepare_recipe_sysroot, 69963, 0.03, 6, 1, 1, 0, 1828116, 1338291, 465, 376, 0, 1368064, 0, 0.064511, 0.012095, 62300, 7983, 0, 0, 136, 2, 1, 0.012204999999999999, 0.0, 56416, 617, 0, 0, 2536, 9, 2
do_compile, 120139, 4.97, 27, 3, 3538, 631, 486251627, 15099660, 229695, 37255, 8192, 15581184, 2547712, 0.274713, 0.036358999999999995, 63652, 8905, 0, 0, 2472, 1171, 157, 35.386983, 6.310216, 64692, 5671128, 222, 16, 27960, 59658, 40120
do_unpack, 38796, 0.54, 5, 2, 26, 3, 22001282, 35795215, 5399, 8415, 270336, 21454848, 0, 0.050057, 0.025027999999999998, 61688, 9474, 0, 0, 72, 13, 6, 0.269707, 0.036178, 57776, 3328, 0, 528, 41832, 3278, 12
do_fetch, 8967, 63.52, 16, 1, 0, 1, 3236170, 2995205, 2528, 4819, 0, 2785280, 0, 0.16361699999999998, 0.015581999999999999, 58460, 9321, 0, 0, 272, 706, 16, 0.006669, 0.015849, 54496, 1684, 0, 0, 5168, 611, 10
do_deploy_source_date_epoch, 39119, 0.07, 9, 1, 1, 0, 750109, 157039, 507, 299, 0, 118784, 0, 0.097939, 0.011752, 62524, 18644, 0, 0, 192, 33, 3, 0.013241, 0.002668, 59724, 4690, 0, 0, 40, 145, 6
do_configure, 69972, 10.31, 20, 4, 732, 180, 222208751, 30353170, 147921, 31279, 331776, 29138944, 15421440, 0.208168, 0.043204, 63884, 17113, 0, 0, 400, 557, 19, 7.322986, 1.8012199999999998, 61192, 2143440, 50, 648, 56512, 19114, 3183
do_patch, 38927, 0.09, 6, 1, 7, 0, 1856841, 444489, 1928, 326, 0, 462848, 4096, 0.064525, 0.01612, 61696, 12521, 0, 0, 136, 21, 3, 0.071143, 0.004726999999999999, 55660, 28638, 0, 0, 768, 456, 15
do_create_runtime_spdx, 789815, 0.48, 19, 1, 2, 0, 994459, 355649, 429, 249, 0, 135168, 0, 0.19261399999999998, 0.016749, 70992, 16057, 0, 0, 184, 40, 60, 0.024206, 0.008411, 68184, 4248, 1, 0, 80, 74, 44
do_populate_sysroot, 165696, 0.40, 30, 6, 9, 3, 5998250, 2634516, 2251, 1058, 0, 1785856, 4096, 0.301856, 0.062723, 64500, 31550, 0, 0, 1576, 140, 191, 0.093827, 0.034416999999999996, 62284, 16796, 0, 0, 1912, 227, 180
