Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_prepare_recipe_sysroot, 1527426, 0.22, 11, 6, 1, 0, 1750824, 1049700, 535, 301, 368640, 1085440, 0, 0.110454, 0.065454, 68312, 8654, 0, 72, 144, 25, 25, 0.017258, 0.004229, 63148, 1200, 0, 648, 1976, 23, 9
do_collect_spdx_deps, 1454801, 0.14, 13, 3, 0, 0, 347213, 43965, 34, 46, 77824, 53248, 0, 0.132965, 0.031024999999999997, 68992, 6985, 0, 152, 104, 19, 24, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_deploy_source_date_epoch, 264161, 0.17, 16, 2, 1, 1, 547234, 159384, 463, 283, 0, 114688, 0, 0.161623, 0.027594, 64680, 18553, 0, 0, 184, 28, 51, 0.014849999999999999, 0.013927, 61880, 4676, 0, 0, 40, 97, 58
do_package_qa, 2903627, 2.87, 41, 16, 3, 7, 8371576, 250745, 8144, 280, 16384, 159744, 0, 0.41762299999999997, 0.16858099999999998, 68268, 24189, 0, 32, 272, 1089, 5313, 0.034053, 0.077237, 66056, 19879, 0, 0, 40, 127, 172
do_recipe_qa, 32016, 0.05, 7, 1, 0, 0, 468511, 123730, 401, 207, 0, 102400, 0, 0.072308, 0.012051, 61672, 15844, 0, 0, 168, 28, 1, 0.009533, 0.004144, 58852, 3979, 0, 0, 32, 129, 5
do_configure, 1528113, 97.32, 34, 6, 1391, 301, 319819832, 40408316, 174820, 38308, 4546560, 37691392, 22290432, 0.34535, 0.064515, 70648, 17176, 0, 576, 456, 673, 427, 13.916185, 3.010678, 74404, 2095800, 56, 8304, 73160, 22606, 15427
do_install, 1838786, 2.17, 18, 2, 35, 14, 9458706, 3727784, 6739, 1363, 536576, 3596288, 8192, 0.190107, 0.026092999999999998, 64856, 11942, 0, 0, 256, 574, 257, 0.35609999999999997, 0.14771499999999999, 62768, 66863, 2, 1048, 6768, 908, 1668
do_packagedata, 1862949, 0.76, 17, 4, 4, 1, 933925, 372156, 902, 329, 0, 249856, 0, 0.174362, 0.048624, 72596, 23293, 0, 0, 224, 61, 88, 0.049755, 0.019093, 69796, 6918, 0, 0, 264, 140, 126
do_compile, 1736677, 29.79, 39, 3, 5340, 786, 599068238, 59216345, 260536, 50284, 2146304, 38502400, 11812864, 0.39188599999999996, 0.033866, 71728, 7010, 0, 0, 6528, 1338, 68, 53.403815, 7.863919, 85016, 5442619, 156, 4192, 68672, 70619, 51220
do_package_write_rpm, 2903256, 6.27, 26, 6, 526, 31, 32818653, 5134078, 5756, 1022, 364544, 3293184, 0, 0.268188, 0.064735, 66984, 23820, 0, 624, 528, 481, 388, 5.261885, 0.311901, 525572, 147835, 0, 88, 5904, 4316, 1946
do_fetch, 32067, 17.32, 4, 0, 0, 0, 286178, 54208, 29, 67, 0, 53248, 0, 0.048222, 0.0, 59788, 4487, 0, 0, 104, 1, 2, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_patch, 262065, 0.19, 10, 3, 10, 2, 2389190, 958800, 2085, 447, 0, 987136, 4096, 0.10475899999999999, 0.038799, 63216, 10954, 0, 0, 144, 21, 18, 0.102849, 0.029235999999999998, 57076, 28654, 1, 0, 1784, 455, 57
do_create_runtime_spdx, 2904175, 1.29, 21, 1, 3, 0, 1847877, 423842, 735, 257, 385024, 172032, 0, 0.215389, 0.016893, 62684, 20056, 0, 752, 248, 48, 82, 0.030885, 0.009956999999999999, 59112, 5361, 0, 0, 88, 108, 87
do_package, 1850486, 3.75, 100, 62, 241, 31, 54656106, 26071235, 31036, 7088, 0, 16379904, 5734400, 1.003573, 0.627717, 67408, 45855, 0, 0, 1080, 4299, 8421, 2.417917, 0.317974, 65284, 69997, 0, 0, 30912, 3402, 4676
do_populate_sysroot, 1847655, 1.51, 32, 2, 7, 3, 8500190, 4969951, 1919, 804, 0, 4161536, 532480, 0.324716, 0.026740999999999997, 71296, 24463, 0, 0, 5432, 157, 392, 0.07626999999999999, 0.039667999999999995, 69196, 14385, 0, 0, 2696, 203, 217
do_populate_lic, 720054, 0.44, 18, 3, 2, 1, 1080049, 314092, 607, 268, 106496, 147456, 0, 0.181895, 0.031633, 69504, 18429, 6, 208, 216, 37, 89, 0.029466, 0.015472, 66412, 5062, 0, 0, 72, 128, 65
do_create_spdx, 2003596, 1.50, 38, 9, 5, 2, 2528128, 1990987, 918, 1681, 20480, 823296, 0, 0.38088099999999997, 0.09733599999999999, 73884, 28951, 0, 40, 1432, 61, 640, 0.053937, 0.029896, 70252, 7335, 1, 0, 176, 394, 125
do_unpack, 38798, 0.29, 4, 1, 26, 3, 21781071, 35792915, 5557, 8407, 0, 21450752, 0, 0.043482, 0.019325, 60312, 9048, 0, 0, 64, 12, 1, 0.268397, 0.032274, 56688, 3288, 0, 0, 41832, 3554, 5
