Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 20727, 0.01, 4, 1, 0, 0, 543616, 41542, 28, 46, 0, 49152, 0, 0.041675, 0.011365, 59556, 4873, 0, 0, 96, 0, 5, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_create_spdx, 20732, 0.08, 8, 2, 1, 0, 1144943, 488861, 602, 282, 0, 208896, 0, 0.08284, 0.023667999999999998, 61756, 21807, 0, 0, 304, 40, 9, 0.017533999999999998, 0.002466, 58856, 5182, 0, 0, 104, 169, 6
do_recipe_qa, 7869, 0.14, 13, 2, 1, 0, 653663, 123340, 398, 214, 0, 106496, 0, 0.138211, 0.023693, 59076, 15578, 0, 0, 176, 39, 38, 0.017571, 0.003715, 56272, 3941, 0, 0, 32, 81, 67
do_install, 11839, 0.05, 8, 0, 0, 0, 670021, 144807, 212, 156, 0, 135168, 0, 0.088513, 0.008428999999999999, 59452, 13733, 0, 0, 72, 11, 8, 0.005607, 0.001856, 56752, 1717, 0, 0, 192, 15, 5
do_fetch, 8936, 3.45, 9, 2, 29, 5, 7094535, 4486039, 6329, 1120, 0, 1740800, 12288, 0.091968, 0.022992, 58396, 11608, 0, 0, 144, 134, 14, 0.292554, 0.052544999999999994, 54536, 13224, 1, 0, 3256, 1157, 113
do_populate_lic, 737295, 0.44, 14, 4, 2, 1, 855225, 170437, 588, 255, 61440, 135168, 0, 0.148077, 0.046761, 70632, 18068, 0, 112, 232, 54, 113, 0.025245, 0.014211, 67568, 4904, 0, 8, 32, 94, 95
do_prepare_recipe_sysroot, 10673, 0.01, 5, 0, 0, 0, 484739, 67890, 22, 48, 0, 69632, 0, 0.054157, 0.003868, 58764, 4748, 0, 0, 136, 0, 67, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_patch, 11201, 0.02, 5, 0, 0, 0, 623862, 122533, 170, 84, 0, 131072, 4096, 0.053492, 0.008229, 58504, 7820, 0, 0, 128, 6, 2, 0.004455, 0.000971, 52420, 941, 0, 0, 128, 13, 1
do_configure, 11523, 0.04, 7, 1, 0, 0, 516140, 64319, 84, 115, 0, 69632, 0, 0.071905, 0.011353, 59704, 8426, 0, 0, 128, 4, 4, 0.002254, 0.0, 56792, 600, 0, 0, 8, 6, 0
do_populate_sysroot, 12544, 0.13, 12, 2, 2, 0, 1411315, 414203, 1213, 793, 0, 229376, 4096, 0.128158, 0.022095999999999998, 59912, 26605, 0, 0, 328, 75, 5, 0.029207999999999998, 0.005599, 57508, 9925, 0, 0, 120, 246, 18
do_create_runtime_spdx, 786660, 0.49, 15, 4, 2, 0, 970111, 351116, 417, 241, 0, 135168, 0, 0.153156, 0.040304, 70756, 15831, 0, 0, 184, 41, 55, 0.024420999999999998, 0.00622, 67956, 4205, 0, 0, 80, 84, 48
do_unpack, 10668, 0.12, 5, 1, 7, 2, 4791694, 352390, 1654, 174, 28672, 524288, 12288, 0.05101, 0.019618999999999998, 58764, 12877, 0, 0, 72, 33, 8, 0.078372, 0.024332, 54860, 15611, 1, 56, 952, 41, 10
do_deploy_source_date_epoch, 11269, 0.07, 9, 1, 1, 0, 710505, 151613, 481, 291, 0, 114688, 0, 0.09308999999999999, 0.012142, 59700, 17904, 0, 0, 184, 31, 4, 0.013526, 0.0014529999999999999, 56900, 4624, 0, 0, 40, 121, 5
