Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_unpack, 157852, 0.54, 10, 3, 40, 13, 70995747, 121867739, 11911, 21371, 73728, 77873152, 0, 0.10911, 0.038967999999999996, 63244, 13194, 0, 0, 136, 16, 23, 0.407875, 0.136414, 59204, 5601, 0, 144, 151960, 6257, 1614
do_collect_spdx_deps, 673196, 0.01, 9, 0, 0, 0, 585755, 52673, 56, 61, 16384, 53248, 0, 0.09444699999999999, 0.008211999999999999, 67924, 6960, 0, 32, 104, 4, 9, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_prepare_recipe_sysroot, 1003028, 0.47, 19, 7, 1, 1, 2776901, 1880286, 726, 531, 28672, 1978368, 0, 0.192028, 0.080011, 69604, 9286, 0, 56, 176, 7, 108, 0.016048, 0.015688999999999998, 64716, 648, 0, 0, 3688, 8, 8
do_recipe_qa, 25729, 0.04, 8, 2, 1, 0, 711222, 134149, 411, 229, 0, 106496, 0, 0.080264, 0.022931999999999998, 61648, 16232, 0, 0, 176, 28, 5, 0.01175, 0.0018369999999999999, 58848, 4044, 0, 0, 32, 125, 16
do_install, 1200262, 11.74, 26, 2, 201, 54, 33645719, 10350578, 290782, 10079, 7254016, 12120064, 20480, 0.26544999999999996, 0.028152999999999997, 70452, 14915, 0, 0, 624, 338, 107, 2.014947, 0.5400159999999999, 67736, 214394, 6, 14168, 23048, 55317, 50930
do_compile, 1145156, 50.25, 49, 8, 7555, 942, 1199703862, 47819463, 334997, 43501, 12775424, 35364864, 5804032, 0.49565099999999995, 0.089575, 73100, 8000, 0, 0, 7104, 1425, 41, 75.556633, 9.421574, 72588, 6081654, 287, 24952, 61968, 63199, 57238
do_create_runtime_spdx, 775472, 0.14, 16, 3, 2, 0, 1014283, 361845, 440, 256, 0, 139264, 0, 0.167268, 0.03186, 71356, 16636, 0, 0, 192, 33, 64, 0.022735, 0.005926, 68548, 4281, 1, 0, 80, 80, 44
do_fetch, 25783, 9.38, 17, 0, 2, 2, 7083416, 6543076, 10376, 9232, 0, 6512640, 0, 0.17274399999999998, 0.009932, 64764, 9144, 0, 0, 120, 1494, 10, 0.027452999999999998, 0.021773, 56452, 907, 0, 0, 12600, 3914, 8
do_create_spdx, 673364, 0.10, 13, 4, 2, 0, 1361382, 518494, 690, 317, 0, 221184, 0, 0.133345, 0.044418, 70992, 21334, 0, 0, 328, 34, 105, 0.022158, 0.0058189999999999995, 68080, 5259, 0, 0, 104, 156, 14
do_configure, 1003490, 197.67, 56, 6, 4488, 586, 545821115, 130573650, 280427, 81054, 3829760, 119283712, 59555840, 0.562267, 0.064118, 71980, 20816, 0, 192, 568, 1043, 123, 44.880563, 5.869772, 69064, 3764435, 73, 7288, 232408, 34872, 39059
do_patch, 161534, 0.58, 13, 2, 11, 2, 1664359, 240316, 1901, 274, 0, 258048, 4096, 0.136218, 0.028894, 63660, 12613, 0, 0, 136, 20, 173, 0.116408, 0.023579, 57428, 28395, 1, 0, 368, 457, 211
do_populate_sysroot, 1211900, 1.66, 35, 13, 23, 15, 23505416, 11395404, 5238, 1623, 0, 7925760, 0, 0.35711299999999996, 0.134909, 70876, 43716, 0, 0, 7184, 308, 209, 0.236537, 0.153997, 68640, 39532, 4, 0, 8296, 419, 653
do_deploy_source_date_epoch, 168243, 0.11, 17, 2, 1, 1, 780028, 165841, 494, 307, 0, 118784, 0, 0.17754899999999998, 0.024211, 64636, 18948, 0, 0, 192, 29, 13, 0.011927, 0.014750999999999998, 61836, 4689, 0, 0, 40, 91, 24
do_populate_lic, 718357, 0.47, 18, 3, 3, 1, 1391698, 328565, 668, 288, 69632, 155648, 0, 0.18215099999999998, 0.03643, 71256, 18903, 4, 136, 224, 55, 114, 0.031306, 0.013696999999999999, 68172, 5106, 0, 0, 80, 108, 120
