Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 2526215, 0.15, 18, 2, 0, 0, 365553, 49813, 48, 53, 0, 49152, 0, 0.181394, 0.021092, 72264, 7294, 0, 0, 96, 0, 85, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_fetch, 38066, 0.02, 5, 0, 0, 0, 304520, 62085, 43, 78, 0, 57344, 0, 0.058141, 0.008305, 60680, 6694, 0, 0, 112, 0, 3, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_deploy_source_date_epoch, 300861, 0.12, 18, 1, 1, 1, 569731, 168969, 494, 294, 0, 114688, 0, 0.181167, 0.016468999999999998, 65336, 18787, 0, 0, 184, 29, 10, 0.01256, 0.010615, 62532, 4700, 0, 0, 40, 90, 28
do_unpack, 288593, 0.54, 9, 4, 36, 18, 70775538, 121865941, 11498, 21302, 36864, 77873152, 0, 0.098231, 0.042709, 63220, 12984, 0, 0, 136, 17, 4, 0.360875, 0.189059, 59392, 5599, 0, 72, 151960, 5688, 635
do_recipe_qa, 38003, 0.06, 7, 1, 0, 0, 495772, 129599, 414, 215, 0, 102400, 0, 0.07330199999999999, 0.016288999999999998, 62424, 16356, 0, 0, 168, 27, 3, 0.009989999999999999, 0.0041719999999999995, 59624, 4004, 0, 0, 32, 137, 5
do_compile_ptest_base, 3150265, 3.65, 13, 1, 4, 0, 1895913, 43577, 577, 187, 1306624, 28672, 0, 0.136848, 0.017657, 57928, 8504, 6, 864, 56, 71, 77, 0.048212, 0.0032679999999999996, 54764, 3427, 0, 1688, 0, 34, 38
do_prepare_recipe_sysroot, 2508912, 0.77, 18, 14, 2, 1, 3228028, 2107269, 935, 584, 278528, 2215936, 0, 0.18512399999999998, 0.143985, 72296, 9726, 0, 536, 176, 39, 175, 0.029141999999999998, 0.012306, 67408, 1243, 0, 8, 4152, 18, 20
do_create_spdx, 3376291, 26.88, 355, 68, 15, 6, 19973209, 29393255, 3598, 40071, 12197888, 9961472, 0, 3.555411, 0.6867869999999999, 68608, 80217, 976, 23808, 18760, 1017, 16028, 0.15837299999999999, 0.06682099999999999, 60364, 15193, 1, 16, 696, 1324, 423
do_install, 3151434, 36.16, 25, 4, 234, 75, 37076924, 19608186, 298829, 9794, 23969792, 21581824, 12288, 0.257776, 0.049746, 53888, 15018, 31, 2200, 656, 889, 319, 2.3449429999999998, 0.754347, 51776, 225429, 8, 44616, 41496, 58234, 66127
do_package_write_rpm, 3376534, 70.32, 43, 6, 4441, 134, 497721854, 34511025, 126224, 4006, 3731456, 21905408, 0, 0.430595, 0.068712, 60080, 25602, 11, 776, 928, 1160, 827, 44.415242, 1.343913, 1574460, 636677, 0, 6512, 41856, 42554, 15292
do_package, 3307879, 76.82, 559, 572, 2613, 1434, 1296046709, 462124075, 512799, 76840, 13144064, 312270848, 140296192, 5.599063, 5.724042, 66376, 684947, 2, 25184, 4544, 4071, 61712, 26.133785, 14.343107, 161784, 4277427, 383, 488, 605360, 53256, 88713
do_packagedata, 3374370, 1.31, 19, 5, 5, 2, 2759324, 1503534, 1546, 512, 184320, 905216, 0, 0.190577, 0.0557, 57480, 23593, 30, 336, 336, 115, 98, 0.058872, 0.021932, 54576, 7323, 1, 24, 1432, 201, 118
do_compile, 2946270, 240.51, 47, 7, 17460, 1432, 1459814678, 215656304, 373093, 73043, 22585344, 129114112, 49582080, 0.47017299999999995, 0.07737, 61428, 7923, 187, 4288, 9480, 1815, 162, 174.602345, 14.326867, 535832, 7955956, 192, 39824, 242696, 77411, 90347
do_install_ptest_base, 3166689, 78.84, 44, 5, 14929, 2807, 1947226233, 239460892, 785829, 105977, 7057408, 146608128, 180224, 0.44797099999999995, 0.058235999999999996, 57964, 13219, 59, 696, 15376, 2577, 412, 149.296843, 28.078166, 377220, 12975460, 285, 13088, 270968, 127050, 183738
do_configure, 2511804, 305.02, 47, 6, 4001, 576, 635185903, 125514908, 287071, 85866, 11223040, 112594944, 55373824, 0.47162, 0.06550199999999999, 73240, 17258, 0, 1920, 600, 1171, 196, 40.013726, 5.767728, 70520, 3234193, 71, 20000, 219312, 37873, 39776
do_patch, 295268, 0.16, 12, 1, 10, 2, 1449756, 239438, 1887, 268, 0, 258048, 4096, 0.128997, 0.016124, 63388, 12283, 0, 0, 136, 21, 9, 0.100532, 0.020783, 57552, 28362, 1, 0, 368, 453, 38
do_populate_sysroot, 3307802, 2.53, 35, 5, 14, 6, 24782529, 17657903, 3045, 1281, 155648, 14934016, 2203648, 0.354999, 0.056975, 58988, 26186, 3, 32, 18600, 126, 159, 0.144203, 0.06594599999999999, 56628, 18727, 4, 272, 10568, 279, 288
