Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 49099, 0.02, 6, 1, 0, 0, 563899, 44663, 36, 51, 0, 53248, 0, 0.061170999999999996, 0.012234, 61956, 6880, 0, 0, 104, 0, 2, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_patch, 14451, 0.07, 7, 0, 4, 0, 1462496, 352724, 1299, 238, 0, 376832, 4096, 0.0783, 0.00783, 58964, 11648, 0, 0, 128, 17, 2, 0.046606999999999996, 0.006665, 52968, 19150, 0, 0, 608, 297, 7
do_recipe_qa, 9608, 0.05, 7, 2, 1, 0, 679734, 126615, 384, 219, 0, 106496, 0, 0.07128999999999999, 0.023763, 60108, 16073, 0, 0, 176, 25, 27, 0.010425, 0.0028179999999999998, 57308, 4019, 1, 0, 32, 140, 10
do_install, 126279, 0.19, 15, 1, 2, 0, 1135809, 414385, 633, 278, 0, 397312, 0, 0.151144, 0.015909, 63624, 14313, 0, 0, 120, 24, 75, 0.023354, 0.0054919999999999995, 60932, 3948, 0, 0, 656, 59, 76
do_compile, 102870, 0.44, 11, 0, 117, 10, 9844366, 775878, 3245, 774, 114688, 430080, 4096, 0.112814, 0.008355999999999999, 63788, 8492, 0, 0, 96, 33, 9, 1.171012, 0.10856299999999999, 61088, 75826, 6, 224, 744, 265, 96
do_fetch, 9723, 1.24, 7, 1, 0, 0, 1778023, 1283823, 1059, 1841, 0, 1282048, 0, 0.076122, 0.011418, 59096, 8109, 0, 0, 120, 71, 16, 0.008694, 0.0, 55400, 898, 0, 0, 2384, 479, 3
do_create_spdx, 49165, 0.08, 8, 2, 1, 0, 1217250, 498077, 618, 295, 0, 208896, 0, 0.088809, 0.028256999999999997, 64216, 20784, 0, 0, 304, 39, 6, 0.017329999999999998, 0.003348, 61308, 5222, 1, 0, 104, 131, 11
do_deploy_source_date_epoch, 14745, 0.07, 9, 1, 1, 0, 732930, 154844, 492, 293, 0, 118784, 0, 0.099156, 0.012393999999999999, 60172, 18329, 0, 0, 192, 34, 25, 0.014201, 0.000841, 57364, 4665, 0, 0, 40, 139, 5
do_prepare_recipe_sysroot, 70028, 0.03, 6, 1, 1, 0, 1824603, 1336337, 459, 373, 0, 1368064, 0, 0.063564, 0.011918, 62580, 8060, 0, 0, 136, 2, 3, 0.012156, 0.0, 56496, 618, 0, 0, 2536, 9, 0
do_unpack, 14240, 0.03, 4, 2, 1, 0, 5247750, 6841382, 606, 646, 0, 3723264, 0, 0.043657, 0.023812999999999997, 58932, 8611, 0, 0, 56, 10, 5, 0.019195, 0.005079, 55272, 2031, 0, 0, 7216, 119, 2
do_configure, 70055, 7.66, 15, 2, 272, 50, 60431583, 6713075, 41214, 23636, 0, 6475776, 2543616, 0.156416, 0.021724, 63800, 18299, 0, 0, 352, 209, 12, 2.722674, 0.503582, 60992, 565053, 5, 0, 12296, 5708, 1748
do_populate_sysroot, 128794, 0.32, 23, 4, 4, 2, 1953125, 667751, 1287, 831, 0, 475136, 0, 0.232678, 0.048139999999999995, 64096, 29921, 0, 0, 592, 79, 191, 0.048059, 0.022232, 61852, 11071, 1, 0, 336, 177, 78
do_create_runtime_spdx, 783015, 0.48, 16, 4, 2, 1, 990921, 353873, 408, 246, 0, 135168, 0, 0.167813, 0.041953, 71120, 16210, 0, 0, 184, 29, 117, 0.02311, 0.010773, 68280, 4257, 0, 0, 80, 87, 97
do_populate_lic, 731436, 0.52, 20, 3, 3, 1, 1141008, 259887, 583, 271, 49152, 151552, 0, 0.200068, 0.034794, 70736, 18547, 2, 96, 232, 37, 55, 0.031895, 0.013364, 67652, 5033, 1, 0, 64, 109, 60
