Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_configure, 1011698, 50.89, 41, 2, 978, 149, 148707588, 28974192, 82372, 22087, 1224704, 27054080, 14024704, 0.41631399999999996, 0.029436, 71680, 20986, 0, 88, 384, 425, 248, 9.785409, 1.499839, 68804, 1033210, 39, 2304, 52456, 12861, 13157
do_collect_spdx_deps, 696065, 0.03, 14, 2, 0, 0, 665172, 113706, 149, 78, 0, 114688, 0, 0.149413, 0.029051999999999998, 67492, 8209, 0, 0, 96, 2, 42, 0.0014119999999999998, 0.004776, 62152, 597, 0, 0, 128, 9, 0
do_patch, 697618, 0.44, 9, 5, 37, 7, 4211243, 331264, 6694, 663, 0, 319488, 4096, 0.091208, 0.051552, 68672, 16197, 0, 0, 152, 50, 7, 0.37211, 0.072096, 62760, 104345, 5, 0, 472, 1676, 122
do_recipe_qa, 676504, 0.06, 9, 3, 1, 0, 721731, 133866, 406, 227, 0, 106496, 0, 0.096789, 0.032263, 69348, 16430, 0, 0, 176, 24, 5, 0.015536999999999999, 0.002448, 66544, 4036, 0, 0, 32, 127, 9
do_install, 1077393, 4.24, 20, 2, 56, 8, 14420606, 6089211, 4810, 1639, 487424, 5971968, 12288, 0.207637, 0.028971999999999998, 71624, 11832, 0, 0, 240, 213, 79, 0.568507, 0.081665, 68920, 52062, 2, 952, 11424, 793, 641
do_compile, 1050537, 43.21, 28, 0, 2363, 165, 136318662, 34795100, 43550, 12004, 1675264, 15081472, 274432, 0.28253, 0.008693, 71016, 8853, 0, 0, 664, 343, 217, 23.630973, 1.653184, 319816, 976800, 19, 3272, 28792, 10929, 12848
do_fetch, 677610, 0.01, 8, 0, 0, 0, 512063, 83514, 47, 112, 0, 61440, 0, 0.090015, 0.007826999999999999, 67724, 6888, 0, 0, 120, 0, 4, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_create_runtime_spdx, 783584, 0.44, 18, 3, 2, 1, 1001585, 360514, 456, 254, 0, 135168, 0, 0.185991, 0.030997999999999998, 71296, 16195, 0, 0, 184, 50, 226, 0.020671, 0.011791, 68496, 4289, 0, 0, 80, 66, 89
do_unpack, 678005, 0.37, 9, 4, 32, 4, 12853131, 20205993, 3542, 4496, 4096, 11866112, 0, 0.095981, 0.046071, 67732, 15467, 0, 0, 80, 28, 8, 0.320582, 0.042749999999999996, 64272, 7348, 0, 8, 23096, 2003, 83
do_prepare_recipe_sysroot, 1011221, 0.39, 18, 9, 2, 1, 3239200, 2311719, 829, 629, 8192, 2404352, 0, 0.184363, 0.098065, 69388, 9404, 0, 16, 248, 4, 65, 0.021294, 0.016977, 64500, 640, 0, 0, 4448, 8, 52
do_populate_sysroot, 1080423, 2.42, 37, 9, 17, 7, 16297070, 8372395, 4041, 1404, 0, 6176768, 8192, 0.37967, 0.099044, 71800, 40751, 0, 0, 8368, 225, 189, 0.172916, 0.078122, 69940, 26364, 0, 0, 3696, 341, 343
do_deploy_source_date_epoch, 703229, 0.09, 13, 2, 2, 0, 782905, 166959, 491, 305, 0, 118784, 0, 0.137573, 0.027514, 69924, 19042, 0, 0, 192, 29, 10, 0.024145999999999997, 0.003568, 67080, 4708, 1, 0, 40, 134, 15
do_populate_lic, 732367, 0.51, 22, 2, 3, 0, 1346202, 291156, 689, 287, 0, 155648, 0, 0.229174, 0.026961, 71052, 18798, 0, 0, 240, 52, 73, 0.039762, 0.0042049999999999995, 67968, 5077, 0, 0, 64, 114, 75
do_create_spdx, 696223, 0.27, 18, 4, 1, 1, 1332018, 542094, 681, 358, 0, 225280, 0, 0.18748299999999998, 0.045913999999999996, 70756, 21048, 0, 0, 336, 36, 9, 0.016481, 0.013196999999999999, 67612, 5241, 0, 0, 104, 151, 20
