Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_package, 3950901, 2.19, 84, 50, 95, 17, 10190006, 3463013, 7312, 1042, 847872, 2416640, 770048, 0.849602, 0.5025809999999999, 64012, 43501, 0, 1656, 624, 2350, 203, 0.955788, 0.17429899999999998, 61616, 46338, 13, 0, 4096, 2792, 618
do_collect_spdx_deps, 3959283, 0.39, 41, 1, 0, 0, 349024, 47602, 37, 50, 0, 49152, 0, 0.41579699999999997, 0.011767, 62180, 8205, 0, 0, 96, 0, 180, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_fetch, 647975, 1.57, 9, 0, 13, 5, 6086658, 3742673, 4713, 1413, 0, 1445888, 12288, 0.094514, 0.008218, 66792, 10179, 0, 0, 144, 200, 34, 0.132371, 0.053337999999999997, 63460, 12115, 0, 0, 2680, 910, 148
do_deploy_source_date_epoch, 693190, 0.13, 18, 1, 1, 1, 581191, 162500, 478, 287, 0, 114688, 0, 0.182971, 0.019888, 69100, 18724, 0, 0, 184, 33, 113, 0.016567, 0.015082, 66300, 4689, 0, 0, 40, 75, 58
do_create_spdx, 3959468, 0.88, 47, 7, 2, 4, 1609991, 856494, 803, 755, 36864, 339968, 0, 0.479504, 0.075294, 66132, 26973, 0, 72, 552, 54, 272, 0.022144, 0.041426, 62228, 6659, 1, 0, 112, 246, 104
do_recipe_qa, 643674, 0.17, 13, 1, 1, 0, 519155, 126577, 421, 211, 0, 102400, 0, 0.131745, 0.019374, 68412, 16605, 0, 0, 168, 43, 75, 0.014993, 0.008539, 65612, 4017, 0, 0, 32, 76, 85
do_install, 3945279, 0.32, 22, 2, 12, 3, 9325979, 416956, 1286, 155, 8192, 417792, 0, 0.2206, 0.020054, 61780, 14985, 1, 8, 152, 475, 12, 0.12549, 0.030022999999999998, 59700, 11486, 0, 8, 664, 142, 6
do_configure, 3940643, 4.03, 18, 2, 91, 11, 18330558, 5437537, 5941, 2076, 409600, 5812224, 139264, 0.182248, 0.023771, 61880, 13024, 0, 24, 160, 13, 3, 0.9123549999999999, 0.11703699999999999, 58984, 64500, 0, 776, 11192, 799, 580
do_packagedata, 3954026, 0.16, 16, 3, 2, 1, 832160, 268534, 871, 319, 4096, 200704, 0, 0.164064, 0.036913999999999995, 62572, 24303, 0, 0, 224, 52, 19, 0.025942, 0.018538, 59676, 6882, 0, 8, 168, 119, 47
do_compile, 3944856, 0.69, 5, 0, 190, 30, 81720109, 5307887, 12495, 2875, 1056768, 2453504, 659456, 0.056864, 0.008747999999999999, 61760, 6410, 0, 0, 200, 19, 0, 1.900251, 0.307851, 125696, 164861, 12, 2064, 4592, 550, 159
do_unpack, 673398, 0.19, 9, 1, 8, 5, 4635739, 1859721, 1844, 517, 8192, 2613248, 8192, 0.09146499999999999, 0.014440999999999999, 66668, 17517, 0, 0, 72, 35, 13, 0.083688, 0.057186999999999995, 63096, 16115, 1, 16, 5032, 47, 25
do_prepare_recipe_sysroot, 3940290, 0.39, 22, 17, 2, 0, 4046048, 1501310, 1588, 456, 471040, 1638400, 16384, 0.22308599999999998, 0.176121, 64372, 11315, 1, 920, 224, 75, 12, 0.027555999999999997, 0.003427, 59484, 4938, 0, 0, 2976, 96, 5
do_patch, 679443, 0.10, 10, 4, 3, 0, 1422158, 647625, 904, 271, 0, 679936, 4096, 0.10546499999999999, 0.044619, 67400, 11810, 0, 0, 136, 13, 7, 0.039591999999999995, 0.008875, 61392, 9472, 0, 0, 1192, 142, 18
do_write_config, 695710, 0.04, 12, 0, 0, 0, 342693, 55183, 107, 79, 0, 49152, 0, 0.12820199999999998, 0.004006, 68692, 8087, 0, 0, 64, 1, 3, 0.0016259999999999998, 0.003538, 65976, 780, 0, 0, 32, 10, 1
do_create_runtime_spdx, 3960030, 0.18, 15, 2, 2, 1, 1914636, 413464, 1464, 257, 32768, 163840, 0, 0.155728, 0.023958, 66452, 19760, 1, 64, 232, 32, 32, 0.024773, 0.010967, 63064, 5384, 0, 0, 88, 155, 7
do_populate_lic, 739941, 0.36, 16, 4, 3, 0, 762493, 211450, 626, 257, 0, 139264, 0, 0.169125, 0.043179999999999996, 69756, 18598, 0, 0, 224, 63, 111, 0.037385, 0.004925, 66688, 5054, 1, 0, 48, 100, 147
do_package_write_rpm, 3954594, 2.11, 44, 5, 312, 16, 4743603, 882111, 2454, 605, 12288, 593920, 0, 0.442314, 0.057337, 64368, 25232, 0, 24, 480, 635, 149, 3.122401, 0.163604, 300556, 102324, 1, 0, 680, 2736, 903
do_package_qa, 3954664, 0.44, 37, 3, 2, 5, 1578063, 241691, 1233, 274, 8192, 159744, 0, 0.376791, 0.039661999999999996, 64656, 21536, 2, 16, 272, 384, 375, 0.022640999999999998, 0.053779999999999994, 62300, 15580, 0, 0, 40, 198, 117
